reference_gap,count,positive_count,mean_delta_all_psnr,min_delta_all_psnr,max_delta_all_psnr,mean_rate_mib_per_frame
4,4,3,0.025675568904931723,-0.000555582328463089,0.06357661189149155,0.12188942649147727
8,4,1,-0.01731893196183698,-0.10978492809701024,0.08340300738787576,0.06551069779829546
16,4,3,0.08385793318004975,0.0,0.26277712715562274,0.03811479048295455
