reference_gap,target_middle_psnr,base_method,codec,setting_label,keep_fraction,side_bits,task_count,mean_base_psnr,mean_sideinfo_psnr,mean_delta_psnr_vs_base,base_gap_to_target,sideinfo_gap_to_target,positive_delta_count,positive_delta_fraction,entropy_sideinfo_mib_per_intermediate_frame,entropy_sideinfo_payload_bytes_per_intermediate_frame,entropy_direct_total_mib_per_frame,entropy_amortized_total_mib_per_frame,uniform_intermediate_frame_ratio,q12_main_anchor_mib_per_frame,rate_counted,transmitted_index_payload_counted,decision
4,23.004337221027775,stage65_adapter,q12,q6_top10_entropy_index_value,0.1,6,18,20.041732308843873,22.841151135422116,2.7994188265782376,-2.9626049121839024,-0.16318608560565906,18,1.0,0.033147705925835505,34757.88888888889,0.21508592669374865,0.20679900021228975,0.75,0.18193822076791313,1,1,promote_for_stage148_revalidation
8,21.56004909948801,stage65_adapter,q12,q6_top10_entropy_index_value,0.1,6,19,18.706547218120296,21.39901144086742,2.692464222747122,-2.8535018813677127,-0.1610376586205895,19,1.0,0.033867986578690376,35513.15789473684,0.13149337333220473,0.12725987500986843,0.875,0.09762538675351436,1,1,promote_for_stage148_revalidation
