sample,codec,bits,reference_gap,method,total_frames,keyframe_count,middle_count,anchor_mib_per_frame_with_metadata,all_psnr,middle_psnr,given_psnr,all_ssim,middle_ssim,given_ssim
DAVIS/val/bmx-trees,float32,32,4,dense_direct,80,21,59,0.47989583015441895,30.656413272594556,30.664987361114886,30.63232416675173,0.8966157399117947,0.8973023214582669,0.8946867727098011
DAVIS/val/bmx-trees,float32,32,4,linear,80,21,59,0.47989583015441895,20.43161052439851,16.80084804152703,30.63232416675173,0.41149073019623755,0.2395056981151387,0.8946867727098011
DAVIS/val/bmx-trees,float32,32,4,adapter,80,21,59,0.47989583015441895,20.75448108653642,17.23863863425639,30.63232416675173,0.4418882684782147,0.28072269917544673,0.8946867727098011
DAVIS/val/bmx-trees,float32,32,8,dense_direct,80,11,69,0.2513740062713623,30.656413272594556,30.651288526780057,30.688559405431,0.8966157399117947,0.8971302509307861,0.8933883526108481
DAVIS/val/bmx-trees,float32,32,8,linear,80,11,69,0.2513740062713623,17.88226093599828,15.84067712203074,30.688559405431,0.3113222299143672,0.21852907991927603,0.8933883526108481
DAVIS/val/bmx-trees,float32,32,8,adapter,80,11,69,0.2513740062713623,18.178185642535045,16.183778231058874,30.688559405431,0.34539464469999076,0.25803332894608594,0.8933883526108481
DAVIS/val/bmx-trees,float32,32,16,dense_direct,80,6,74,0.13711309432983398,30.656413272594556,30.654574291598525,30.679094038212313,0.8966157399117947,0.8973184823989868,0.8879485825697581
DAVIS/val/bmx-trees,float32,32,16,linear,80,6,74,0.13711309432983398,16.07072737363107,14.886265211637994,30.679094038212313,0.24965370884165167,0.19790007043126467,0.8879485825697581
DAVIS/val/bmx-trees,float32,32,16,adapter,80,6,74,0.13711309432983398,16.295022551265163,15.128746484755938,30.679094038212313,0.28324256744235754,0.23421234999959534,0.8879485825697581
DAVIS/val/bmx-trees,q8,8,4,dense_direct,80,21,59,0.11998372077941895,28.078386973548856,28.096608344793694,28.027193597194323,0.8097796939313412,0.8110047427274413,0.8063378901708693
DAVIS/val/bmx-trees,q8,8,4,linear,80,21,59,0.11998372077941895,19.72716646774132,16.77291952335974,28.027193597194323,0.3761263554915786,0.22300021602945813,0.8063378901708693
DAVIS/val/bmx-trees,q8,8,4,adapter,80,21,59,0.11998372077941895,20.070097715317623,17.23791104549711,28.027193597194323,0.41618807036429645,0.2773211853483976,0.8063378901708693
DAVIS/val/bmx-trees,q8,8,8,dense_direct,80,11,69,0.06284861564636231,28.078386973548856,28.0772046463611,28.08580338954481,0.8097796939313412,0.8106378161388895,0.80439692735672
DAVIS/val/bmx-trees,q8,8,8,linear,80,11,69,0.06284861564636231,17.509492299488954,15.823413719914832,28.08580338954481,0.2868175458163023,0.20430489078811978,0.80439692735672
DAVIS/val/bmx-trees,q8,8,8,adapter,80,11,69,0.06284861564636231,17.822039666501944,16.18578747877047,28.08580338954481,0.330829001031816,0.25533266495103424,0.80439692735672
DAVIS/val/bmx-trees,q8,8,16,dense_direct,80,6,74,0.03428106307983399,28.078386973548856,28.083716221784286,28.012659578645298,0.8097796939313412,0.8108454435258299,0.7966354489326477
DAVIS/val/bmx-trees,q8,8,16,linear,80,6,74,0.03428106307983399,15.868150419292437,14.883460487453016,28.012659578645298,0.23154951883479952,0.18573174071875778,0.7966354489326477
DAVIS/val/bmx-trees,q8,8,16,adapter,80,6,74,0.03428106307983399,16.10083832134726,15.135014976160932,28.012659578645298,0.274620708450675,0.2322951889521367,0.7966354489326477
DAVIS/val/bmx-trees,q12,12,4,dense_direct,80,21,59,0.17996907234191895,30.627757480521996,30.636732842404424,30.60254098761422,0.8956369020044803,0.8963332731845015,0.8936804305939448
DAVIS/val/bmx-trees,q12,12,4,linear,80,21,59,0.17996907234191895,20.423479233082457,16.800423354350812,30.60254098761422,0.41108836848288777,0.2393183124772573,0.8936804305939448
DAVIS/val/bmx-trees,q12,12,4,adapter,80,21,59,0.17996907234191895,20.746548118626244,17.23848286017289,30.60254098761422,0.44161019306629895,0.28070383733612,0.8936804305939448
DAVIS/val/bmx-trees,q12,12,8,dense_direct,80,11,69,0.0942695140838623,30.627757480521996,30.622721702216417,30.659345544438793,0.8956369020044803,0.896149116149847,0.8924239223653619
DAVIS/val/bmx-trees,q12,12,8,linear,80,11,69,0.0942695140838623,17.877985580548646,15.840377470363261,30.659345544438793,0.3110779844224453,0.21839964648951654,0.8924239223653619
DAVIS/val/bmx-trees,q12,12,8,adapter,80,11,69,0.0942695140838623,18.174113097511782,16.18371372191472,30.659345544438793,0.3452608358114958,0.25803193795508234,0.8924239223653619
DAVIS/val/bmx-trees,q12,12,16,dense_direct,80,6,74,0.051419734954833984,30.627757480521996,30.626058093939324,30.648716581708218,0.8956369020044803,0.8963406835053418,0.8869569301605225
DAVIS/val/bmx-trees,q12,12,16,linear,80,6,74,0.051419734954833984,16.068369010238946,14.886178666606304,30.648716581708218,0.24946291986852884,0.19777421633134018,0.8869569301605225
DAVIS/val/bmx-trees,q12,12,16,adapter,80,6,74,0.051419734954833984,16.292757037558836,15.128760317762941,30.648716581708218,0.28316786885261536,0.23421199901683912,0.8869569301605225
DAVIS/val/bmx-trees,q16,16,4,dense_direct,80,21,59,0.23995442390441896,30.656082714098563,30.664667275346755,30.631964184877454,0.8966022655367851,0.897289108421843,0.8946725640978131
DAVIS/val/bmx-trees,q16,16,4,linear,80,21,59,0.23995442390441896,20.43150680879316,16.80083553933943,30.631964184877454,0.41148424204438927,0.23950195792367904,0.8946725640978131
DAVIS/val/bmx-trees,q16,16,4,adapter,80,21,59,0.23995442390441896,20.754387047470875,17.23863925280073,30.631964184877454,0.44188505671918393,0.2807234015505193,0.8946725640978131
DAVIS/val/bmx-trees,q16,16,8,dense_direct,80,11,69,0.12569041252136232,30.656082714098563,30.650970786213865,30.688148443557154,0.8966022655367851,0.897117226883985,0.8933720534498041
DAVIS/val/bmx-trees,q16,16,8,linear,80,11,69,0.12569041252136232,17.88221244764589,15.840686419312206,30.688148443557154,0.31131810136139393,0.21852689160816913,0.8933720534498041
DAVIS/val/bmx-trees,q16,16,8,adapter,80,11,69,0.12569041252136232,18.17813532366959,16.183785406006358,30.688148443557154,0.3453943537548184,0.25803559003532794,0.8933720534498041
DAVIS/val/bmx-trees,q16,16,16,dense_direct,80,6,74,0.06855840682983398,30.656082714098563,30.654249423248327,30.678693301251485,0.8966022655367851,0.8973054104560131,0.8879301448663076
DAVIS/val/bmx-trees,q16,16,16,linear,80,6,74,0.06855840682983398,16.070699611485672,14.886267690693852,30.678693301251485,0.2496488497592509,0.19789631231813817,0.8879301448663076
DAVIS/val/bmx-trees,q16,16,16,adapter,80,6,74,0.06855840682983398,16.29500107044412,15.128755754432708,30.678693301251485,0.28324260246008637,0.23421388280552788,0.8879301448663076
DAVIS/val/car-shadow,float32,32,4,dense_direct,40,11,29,0.5027480125427246,29.90826340640873,29.91451824659334,29.89177337319476,0.9255110949277878,0.9262522849543341,0.9235570484941656
DAVIS/val/car-shadow,float32,32,4,linear,40,11,29,0.5027480125427246,21.4577853609641,18.258686459773156,29.89177337319476,0.6185732580721378,0.5028897513603342,0.9235570484941656
DAVIS/val/car-shadow,float32,32,4,adapter,40,11,29,0.5027480125427246,21.980999629242127,18.980361312570444,29.89177337319476,0.6418696798384189,0.5350227469000323,0.9235570484941656
DAVIS/val/car-shadow,float32,32,8,dense_direct,40,6,34,0.27422618865966797,29.90826340640873,29.92508559808364,29.81293765358424,0.9255110949277878,0.9263471680528977,0.9207733472188314
DAVIS/val/car-shadow,float32,32,8,linear,40,6,34,0.27422618865966797,19.09173924869812,17.199763059600567,29.81293765358424,0.5220462046563625,0.45168259126298566,0.9207733472188314
DAVIS/val/car-shadow,float32,32,8,adapter,40,6,34,0.27422618865966797,19.658782515579624,17.866872785343514,29.81293765358424,0.5537630535662175,0.4889965311569326,0.9207733472188314
DAVIS/val/car-shadow,float32,32,16,dense_direct,40,4,36,0.1828174591064453,29.90826340640873,29.918863916273082,29.81285881762949,0.9255110949277878,0.9263424707783593,0.918028712272644
DAVIS/val/car-shadow,float32,32,16,linear,40,4,36,0.1828174591064453,17.90676659590462,16.583867460157414,29.81285881762949,0.4697127893567085,0.4198999090327157,0.918028712272644
DAVIS/val/car-shadow,float32,32,16,adapter,40,4,36,0.1828174591064453,18.443596695769138,17.180345348895766,29.81285881762949,0.5066599793732166,0.46095234238439137,0.918028712272644
DAVIS/val/car-shadow,q8,8,4,dense_direct,40,11,29,0.12569723129272461,26.747252965574102,26.7524312585394,26.73360110230197,0.8084839060902596,0.809071279805282,0.8069353753870184
DAVIS/val/car-shadow,q8,8,4,linear,40,11,29,0.12569723129272461,20.559140758854273,18.21710407685687,26.73360110230197,0.5488148547708989,0.4509070710889224,0.8069353753870184
DAVIS/val/car-shadow,q8,8,4,adapter,40,11,29,0.12569723129272461,21.10255897802341,18.966646448124646,26.73360110230197,0.6039725966751576,0.5269867150947966,0.8069353753870184
DAVIS/val/car-shadow,q8,8,8,dense_direct,40,6,34,0.06856212615966797,26.747252965574102,26.75863173588825,26.682773267127274,0.8084839060902596,0.8092154054080739,0.8043387432893118
