step,task_id,sequence,codec,reference_gap,target_index,normalized_time,loss,loss_weight,weighted_loss,loss_psnr
56,stage79_00004090,crossing,q10,8,28,0.5,0.012299141846597195,1.0,0.012299141846597195,19.101251897223207
57,stage79_00016548,skate-park,q12,4,70,0.5,0.004537913482636213,3.0,0.013613739982247353,23.431437883919955
58,stage79_00006414,drift-turn,q12,4,7,0.75,0.013025549240410328,3.0,0.03907664865255356,18.85203955011136
59,stage79_00005937,dogs-scale,q10,8,51,0.375,0.022311506792902946,1.0,0.022311506792902946,16.514710989341964
60,stage79_00011080,longboard,q12,16,10,0.625,0.046929314732551575,1.0,0.046929314732551575,13.285557873610045
61,stage79_00004856,dancing,q12,16,19,0.1875,0.01993018202483654,1.0,0.01993018202483654,17.004887348157652
62,stage79_00009966,koala,q12,4,73,0.25,0.004010941367596388,3.0,0.012032823637127876,23.967536865387878
63,stage79_00016447,skate-park,q10,16,27,0.6875,0.01825488917529583,1.0,0.01825488917529583,17.386207992907302
64,stage79_00008896,horsejump-low,q12,16,38,0.375,0.025655273348093033,1.0,0.025655273348093033,15.908233537259608
65,stage79_00016079,sheep,q10,16,19,0.1875,0.009294525720179081,1.0,0.009294525720179081,20.317727664476823
66,stage79_00017753,stunt,q10,4,39,0.75,0.009246052242815495,3.0,0.027738157659769058,20.34043657004103
67,stage79_00004329,dance-jump,q10,4,58,0.6666666666666666,0.007220903877168894,3.0,0.02166271209716797,21.414084361842285
68,stage79_00017128,soccerball,q10,16,28,0.75,0.012840859591960907,1.0,0.012840859591960907,18.9140590278198
69,stage79_00017942,stunt,q12,4,54,0.5,0.009805013425648212,3.0,0.029415041208267212,20.08551807332154
70,stage79_00016775,snowboard,q10,8,34,0.25,0.04148292541503906,1.0,0.04148292541503906,13.821306243464115
71,stage79_00013518,paragliding,q12,4,42,0.5,0.0029809833504259586,3.0,0.008942950516939163,25.25640449609209
72,stage79_00011484,mallard-fly,q10,4,22,0.5,0.012947676703333855,3.0,0.038843028247356415,18.878081532384975
