method,codec,bits,point_count,mean_rate_mib_per_frame,mean_all_psnr,mean_middle_psnr,mean_given_psnr
linear,q8,8,3,0.0744543764840695,18.196689289875984,16.561587772918216,27.01290792772471
linear,q10,10,3,0.09306595111999183,18.589141793730672,16.581582825535197,29.32570816116025
linear,q12,12,3,0.11167752575591416,18.648513030391765,16.58455938471112,29.67539054371856
adapter,q8,8,3,0.0744543764840695,18.639515032836314,17.098172669025544,27.01290792772471
adapter,q10,10,3,0.09306595111999183,19.017864345659827,17.100522171202915,29.32570816116025
adapter,q12,12,3,0.11167752575591416,19.074880702510743,17.100601790202944,29.67539054371856
