sequence,task_id,left_index,target_index,right_index,normalized_time,key_left_psnr,key_left_ssim,key_right_psnr,key_right_ssim,key_avg_psnr,key_avg_ssim,selected_half,middle_psnr,middle_ssim,middle_ms_ssim,middle_lpips,original_middle_psnr,original_middle_ssim,original_middle_ms_ssim,original_middle_lpips,delta_psnr_vs_original,delta_ssim_vs_original,delta_ms_ssim_vs_original,delta_lpips_vs_original,payload_bytes,selector_payload_bytes,side_mib_per_intermediate,direct_total_mib_per_frame_ref,video_path,contact_sheet_path
car-shadow,stage79_00023460,8,10,12,0.5,29.78705134141709,0.9288783669471741,29.81446684241538,0.9232191443443298,29.800759091916234,0.926048755645752,right,29.405388121541595,0.9021029472351074,0.9866170287132263,0.1530119925737381,22.209852225386058,0.678023636341095,0.8946012854576111,0.2650197148323059,7.195535896155537,0.22407931089401245,0.09201574325561523,-0.11200772225856781,220697,1,0.21047306060791016,0.39241128137582326,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage159_stage158_subjective_examples/stage159_gap4_stage158_subjective_examples.mp4,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage159_stage158_subjective_examples/stage159_gap4_stage158_subjective_examples_contact_sheet.jpg
goat,stage79_00025922,44,46,48,0.5,27.690691012375748,0.8849993348121643,27.78115688563866,0.8869554400444031,27.7359239490072,0.8859773874282837,left,27.28725091241753,0.8589133620262146,0.9870498776435852,0.1750091165304184,18.115857486803144,0.23181231319904327,0.572296142578125,0.41813331842422485,9.171393425614387,0.6271010488271713,0.4147537350654602,-0.24312420189380646,251693,1,0.24003314971923828,0.4219713704871514,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage159_stage158_subjective_examples/stage159_gap4_stage158_subjective_examples.mp4,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage159_stage158_subjective_examples/stage159_gap4_stage158_subjective_examples_contact_sheet.jpg
soapbox,stage79_00030917,76,78,80,0.5,32.031227083774695,0.9421472549438477,31.739017053195955,0.9418113827705383,31.885122068485323,0.941979318857193,right,30.961850197233606,0.90828537940979,0.9884055852890015,0.14360126852989197,21.17437912110509,0.6108488440513611,0.823716938495636,0.3202863037586212,9.787471076128515,0.29743653535842896,0.16468864679336548,-0.17668503522872925,246995,1,0.23555278778076172,0.4174910085486748,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage159_stage158_subjective_examples/stage159_gap4_stage158_subjective_examples.mp4,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage159_stage158_subjective_examples/stage159_gap4_stage158_subjective_examples_contact_sheet.jpg
