base_method,codec,reference_gap,task_count,keep_fraction,side_bits,mean_fixed_payload_bytes,mean_entropy_payload_bytes,mean_fixed_mib_per_intermediate_frame,mean_entropy_mib_per_intermediate_frame,mean_entropy_ratio_vs_fixed,mean_entropy_savings_bytes_vs_fixed,max_decoded_max_abs_diff_vs_fixed,mean_base_psnr,mean_entropy_psnr,mean_delta_psnr_vs_base,positive_delta_count
linear,q12,4,60,0.1,6,43381.0,29934.55,0.04137134552001953,0.02854781150817871,0.6900382656001475,13446.45,0.0,20.07568093467112,23.189376901693723,3.1136959670226054,60
linear,q12,8,60,0.1,6,43381.0,30209.35,0.04137134552001953,0.028809881210327147,0.6963728360342085,13171.65,0.0,18.738955260822475,22.147360893983887,3.40840563316142,60
stage65_adapter,q12,4,60,0.1,6,43381.0,34785.51666666667,0.04137134552001953,0.03317405382792155,0.8018606455975347,8595.483333333334,0.0,20.264133489387127,22.850143675432175,2.5860101860450535,60
stage65_adapter,q12,8,60,0.1,6,43381.0,35153.03333333333,0.04137134552001953,0.033524545033772786,0.810332480425378,8227.966666666667,0.0,19.062352986913425,21.965723744155056,2.9033707572416314,60
