reference_gap,target_middle_psnr,base_method,codec,task_count,keep_fraction,side_bits,mean_base_psnr,mean_entropy_psnr,mean_delta_psnr_vs_base,base_gap_to_target,entropy_gap_to_target,positive_delta_count,positive_delta_fraction,max_decoded_max_abs_diff_vs_fixed,mean_entropy_payload_bytes,mean_entropy_mib_per_intermediate_frame,q12_main_anchor_mib_per_frame,uniform_intermediate_frame_ratio,mean_direct_total_mib_per_frame,mean_amortized_total_mib_per_frame,decision
4,23.004337221027775,stage65_adapter,q12,60,0.1,6,20.264133489387127,22.850143675432175,2.5860101860450535,-2.740203731640648,-0.15419354559560006,60,1.0,0.0,34785.51666666667,0.03317405382792155,0.18193822076791313,0.75,0.21511227459583468,0.2068187611388543,passes_sample_revalidation
8,21.56004909948801,stage65_adapter,q12,60,0.1,6,19.062352986913425,21.965723744155056,2.9033707572416314,-2.497696112574584,0.40567464466704806,60,1.0,0.0,35153.03333333333,0.033524545033772786,0.09762538675351436,0.875,0.13114993178728715,0.12695936365806554,passes_sample_revalidation
