gap,method,half_policy,keep_fraction,side_bits,task_count,mean_psnr,min_psnr,p10_psnr,mean_ssim,p10_ssim,mean_ms_ssim,mean_lpips,p90_lpips,mean_payload_bytes,mean_side_mib_per_intermediate,mean_direct_total_mib_per_frame_ref,mean_delta_psnr_vs_original,mean_delta_ssim_vs_original,mean_delta_ms_ssim_vs_original,mean_delta_lpips_vs_original
4,original_streamsplat_base,full_original,0.0,0,30,22.321825581928188,14.094692782607366,18.184874443272292,0.6129658068219821,0.3722861886024475,0.8124688843886058,0.2974850902954737,0.4201940566301346,0.0,0.0,0.1819382207679131,0.0,0.0,0.0,0.0
4,streamsplat_half_anchor_entropy_residual,best_half_selector,0.2,4,30,23.12601552725586,16.014532858054576,18.975417098139083,0.6472388585408528,0.48666407167911535,0.8452189465363821,0.34819300174713136,0.4810439169406891,30771.2,0.029345703125,0.21128392389291312,0.8041899453276684,0.0342730517188708,0.03275006214777629,0.050707911451657615
4,streamsplat_half_anchor_entropy_residual,best_half_selector,0.2,6,30,23.4951408620828,16.143700302551128,19.084285021416164,0.6674873620271683,0.5242969274520874,0.8540168722470601,0.3260474289457003,0.4568026423454285,55507.433333333334,0.05293601353963216,0.23487423430754528,1.1733152801546152,0.05452155520518621,0.041547987858454385,0.028562338650226594
4,streamsplat_half_anchor_entropy_residual,best_half_selector,0.4,4,30,23.68432373587854,17.726253530074246,19.804220994278108,0.6616622388362885,0.5332358598709106,0.8578977207342784,0.3582463507850965,0.4560186505317688,52498.53333333333,0.050066502888997395,0.23200472365691052,1.3624981539503505,0.04869643201430639,0.04542883634567261,0.06076126048962275
4,streamsplat_half_anchor_entropy_residual,best_half_selector,0.4,6,30,24.442976571237114,18.15707031736704,20.090843062073677,0.7045552045106888,0.5803268551826477,0.8763429721196493,0.3155813624461492,0.4125119924545288,100859.3,0.0961869239807129,0.278125144748626,2.1211509893089224,0.09158939768870672,0.0638740877310435,0.018096272150675455
4,streamsplat_half_anchor_entropy_residual,best_half_selector,1.0,4,30,26.349792144483867,21.847820638133978,22.8917663351672,0.741420058409373,0.6205862879753112,0.9276902834574382,0.3199031114578247,0.41226924657821656,91178.66666666667,0.08695475260416667,0.2688929733720798,4.02796656255568,0.1284542515873909,0.1152213990688324,0.022418021162350973
4,streamsplat_half_anchor_entropy_residual,best_half_selector,1.0,6,30,29.88060850586717,24.708306541723843,26.06568680730128,0.8795753101507823,0.8259783327579499,0.9853506326675415,0.16458002875248592,0.2101434350013733,207591.66666666666,0.19797484079996744,0.3799130615678806,7.55878292393898,0.2666095033288002,0.17288174827893574,-0.1329050615429878
4,streamsplat_half_anchor_entropy_residual,fixed_left_half,0.2,4,30,20.19294878818842,12.685509550203449,13.94872925862441,0.5677033503850301,0.39076397120952605,0.7439257989327113,0.434660412867864,0.5758574068546295,30355.033333333333,0.0289488156636556,0.21088703643156873,-2.128876793739765,-0.04526245643695195,-0.06854308545589446,0.13717532257239023
4,streamsplat_half_anchor_entropy_residual,fixed_left_half,0.2,6,30,20.560404804967973,12.780483896650452,14.009206642855144,0.5999098519484202,0.4207548826932907,0.7573729674021403,0.40975760072469714,0.5664848506450653,55289.23333333333,0.052727921803792314,0.23466614257170543,-1.7614207769602133,-0.01305595487356186,-0.05509591698646545,0.11227251042922338
4,streamsplat_half_anchor_entropy_residual,fixed_left_half,0.4,4,30,21.404445914997407,13.788869693111367,16.295184621383306,0.5890777756770452,0.4355102270841599,0.7897294292847316,0.4210788279771805,0.5154171109199523,51835.2,0.04943389892578125,0.23137211969369437,-0.9173796669307794,-0.02388803114493688,-0.022739455103874207,0.12359373768170674
4,streamsplat_half_anchor_entropy_residual,fixed_left_half,0.4,6,30,22.19628239513668,14.226718688739092,16.671407961990955,0.6507485767205556,0.5042518466711045,0.8152942478656768,0.37299769471089045,0.48263761997222904,100828.43333333333,0.09615748723347982,0.27809570800139294,-0.12554318679150817,0.03778276989857356,0.002825363477071126,0.07551260441541671
4,streamsplat_half_anchor_entropy_residual,fixed_left_half,1.0,4,30,25.113471983307683,18.42808539662481,21.56999258761401,0.687017481525739,0.5712280690670014,0.9028715590635935,0.3510261535644531,0.43088027536869056,94393.43333333333,0.0900205930074056,0.2719588137753187,2.791646401379501,0.07405167470375697,0.09040267467498779,0.05354106326897939
