task_id,sequence,gap,codec,target_index,normalized_time,method,half_policy,selected_half,keep_fraction,side_bits,psnr,ssim,ms_ssim,lpips,payload_bytes,selector_payload_bytes,side_mib_per_intermediate,q12_main_anchor_mib_per_frame_ref,direct_total_mib_per_frame_ref,delta_psnr_vs_original,delta_ssim_vs_original,delta_ms_ssim_vs_original,delta_lpips_vs_original
stage79_00022790,camel,4,q12,51,0.75,original_streamsplat_base,full_original,both,0.0,0,21.501344241364198,0.5592225790023804,0.8880974650382996,0.25653350353240967,0,0,0.0,0.18193822076791313,0.18193822076791313,0.0,0.0,0.0,0.0
stage79_00022790,camel,4,q12,51,0.75,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,0.2,4,14.008404980034184,0.3960610330104828,0.5605948567390442,0.5818178653717041,34765,0,0.03315448760986328,0.18193822076791313,0.21509270837777641,-7.492939261330013,-0.16316154599189758,-0.32750260829925537,0.32528436183929443
stage79_00022790,camel,4,q12,51,0.75,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,0.2,6,14.068565469380744,0.4118560254573822,0.5676186680793762,0.5687398910522461,60214,0,0.05742454528808594,0.18193822076791313,0.23936276605599907,-7.432778771983454,-0.14736655354499817,-0.32047879695892334,0.3122063875198364
stage79_00022790,camel,4,q12,51,0.75,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,0.4,4,16.566083413498582,0.45850956439971924,0.6891798973083496,0.49948185682296753,58352,0,0.0556488037109375,0.18193822076791313,0.23758702447885063,-4.935260827865616,-0.10071301460266113,-0.19891756772994995,0.24294835329055786
stage79_00022790,camel,4,q12,51,0.75,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,0.4,6,16.75140946700843,0.4905124008655548,0.7027098536491394,0.48059654235839844,109971,0,0.10487651824951172,0.18193822076791313,0.2868147390174248,-4.7499347743557685,-0.06871017813682556,-0.18538761138916016,0.22406303882598877
stage79_00022790,camel,4,q12,51,0.75,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,1.0,4,23.15719249137587,0.6505038142204285,0.9206834435462952,0.33194977045059204,115295,0,0.1099538803100586,0.18193822076791313,0.2918921010779717,1.6558482500116725,0.0912812352180481,0.032585978507995605,0.07541626691818237
stage79_00022790,camel,4,q12,51,0.75,streamsplat_half_anchor_entropy_residual,fixed_left_half,left,1.0,6,25.42811401237752,0.7922124266624451,0.978394627571106,0.19443067908287048,238870,0,0.22780418395996094,0.18193822076791313,0.40974240472787404,3.9267697710133227,0.2329898476600647,0.0902971625328064,-0.062102824449539185
stage79_00022790,camel,4,q12,51,0.75,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,0.2,4,22.70954014704658,0.6281198859214783,0.9073081612586975,0.28295350074768066,33951,0,0.032378196716308594,0.18193822076791313,0.21431641748422173,1.208195905682384,0.0688973069190979,0.01921069622039795,0.026419997215270996
stage79_00022790,camel,4,q12,51,0.75,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,0.2,6,22.8819280187118,0.6355698704719543,0.9121274948120117,0.27309784293174744,59028,0,0.056293487548828125,0.18193822076791313,0.23823170831674126,1.3805837773476028,0.07634729146957397,0.024030029773712158,0.01656433939933777
stage79_00022790,camel,4,q12,51,0.75,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,0.4,4,23.2787121191202,0.6705638766288757,0.9246387481689453,0.2777702510356903,58211,0,0.05551433563232422,0.18193822076791313,0.23745255640023735,1.777367877756003,0.11134129762649536,0.03654128313064575,0.02123674750328064
stage79_00022790,camel,4,q12,51,0.75,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,0.4,6,23.6347895326638,0.6847708821296692,0.9330142140388489,0.2574865221977234,109415,0,0.10434627532958984,0.18193822076791313,0.28628449609750295,2.1334452912996014,0.12554830312728882,0.044916749000549316,0.0009530186653137207
stage79_00022790,camel,4,q12,51,0.75,streamsplat_half_anchor_entropy_residual,fixed_right_half,right,1.0,4,24.331608729094786,0.7344509959220886,0.9433041214942932,0.2837492823600769,100365,0,0.09571552276611328,0.18193822076791313,0.2776537435340264,2.830264487730588,0.17522841691970825,0.05520665645599365,0.027215778827667236
