candidate,rank_threshold,min_votes,selected_count,hard_quality_count,high_payload_count,true_hard_selected,true_payload_selected,precision_hard,recall_hard,f1_hard,precision_payload,recall_payload,mean_selected_psnr,mean_unselected_psnr,mean_selected_lpips,mean_unselected_lpips,mean_selected_payload,mean_unselected_payload
rank_gate_t0.65_votes1,0.65,1,70,30,72,22,59,0.3142857142857143,0.7333333333333333,0.44,0.8428571428571429,0.8194444444444444,29.400258075802686,30.070640002643103,0.1737076641193458,0.17027496218681334,232024.85714285713,185598.06
rank_gate_t0.6_votes1,0.6,1,75,30,72,23,63,0.30666666666666664,0.7666666666666667,0.4380952380952381,0.84,0.875,29.450038317601607,30.06215981373827,0.17464111179113387,0.16833780474132962,231288.70666666667,181666.44444444444
rank_gate_t0.55_votes1,0.55,1,80,30,72,23,64,0.2875,0.7666666666666667,0.4181818181818182,0.8,0.8888888888888888,29.485183886750054,30.068383862458454,0.17454369114711882,0.16774473264813422,228326.4375,181388.2
rank_gate_t0.7_votes1,0.7,1,62,30,72,19,54,0.3064516129032258,0.6333333333333333,0.4130434782608696,0.8709677419354839,0.75,29.526262521395594,29.84347912261751,0.17062877010433905,0.1740396698487216,233931.0806451613,189964.06896551725
rank_gate_t0.5_votes1,0.5,1,85,30,72,23,68,0.27058823529411763,0.7666666666666667,0.39999999999999997,0.8,0.9444444444444444,29.518002420621794,30.07199599101398,0.17396659211200827,0.16817497909069062,228001.70588235295,175471.37142857144
rank_gate_t0.5_votes2,0.5,2,69,30,72,19,61,0.2753623188405797,0.6333333333333333,0.3838383838383838,0.8840579710144928,0.8472222222222222,29.4896494304112,29.936554014509213,0.17452023934195007,0.16924290359020233,237090.24637681158,179655.21568627452
rank_gate_t0.5_votes3,0.5,3,59,30,72,17,52,0.288135593220339,0.5666666666666667,0.38202247191011235,0.8813559322033898,0.7222222222222222,29.491653610088363,29.86135249906769,0.17436202186144004,0.17026107062081822,237577.89830508476,188599.131147541
rank_gate_t0.5_votes4,0.5,4,54,30,72,16,48,0.2962962962962963,0.5333333333333333,0.38095238095238093,0.8888888888888888,0.6666666666666666,29.525000562697088,29.806061137162118,0.1745560097473639,0.17041303138389732,238266.16666666666,191746.51515151514
rank_gate_t0.55_votes4,0.55,4,49,30,72,15,45,0.30612244897959184,0.5,0.379746835443038,0.9183673469387755,0.625,29.515433215683714,29.792870955913244,0.17328795851493367,0.17157992437272004,238830.73469387754,194632.91549295775
rank_gate_t0.55_votes3,0.55,3,56,30,72,16,50,0.2857142857142857,0.5333333333333333,0.37209302325581395,0.8928571428571429,0.6944444444444444,29.539118510863727,29.80249107546834,0.17240801866033248,0.1721630555111915,238475.14285714287,190109.921875
rank_gate_t0.6_votes2,0.6,2,57,30,72,16,51,0.2807017543859649,0.5333333333333333,0.367816091954023,0.8947368421052632,0.7083333333333334,29.523250764106336,29.821028125147325,0.17286320592750581,0.17174733110836574,237927.98245614034,189837.26984126985
