schedule,sequence,total_frames,keyframe_count,residual_count,keyframe_bitstream_bytes,keyframe_mib_per_frame,residual_payload_bytes,residual_mib_per_frame,total_payload_bytes_without_global_metadata,total_mib_per_frame_without_global_metadata
stage165_adaptive,bike-packing,69,11,58,7914689.0,0.1093918206035227,10365881.0,0.1432706445887469,18280570.0,0.2526624651922696
stage165_adaptive,blackswan,50,8,42,5756171.0,0.10979024887084961,9871647.0,0.18828672409057617,15627818.0,0.29807697296142577
stage165_adaptive,bmx-trees,80,13,67,9353692.0,0.11150469779968261,16507191.0,0.19678105115890504,25860883.0,0.3082857489585876
stage165_adaptive,breakdance,84,12,72,8634216.0,0.09802654811314174,10361686.0,0.11763897396269299,18995902.0,0.21566552207583473
stage165_adaptive,camel,90,17,73,12231679.0,0.1296115345425076,17069823.0,0.1808783531188965,29301502.0,0.31048988766140406
stage165_adaptive,car-roundabout,75,15,60,10792712.0,0.1372364298502604,13904988.0,0.17681106567382812,24697700.0,0.31404749552408856
stage165_adaptive,car-shadow,40,9,31,6475678.0,0.15439219474792482,6890485.0,0.164281964302063,13366163.0,0.3186741590499878
stage165_adaptive,cows,104,18,86,12951198.0,0.11876177787780762,19282691.0,0.17682122267209566,32233889.0,0.2955830005499033
stage165_adaptive,dance-twirl,90,16,74,11512264.0,0.12198833889431424,16084452.0,0.1704369862874349,27596716.0,0.29242532518174913
stage165_adaptive,dog,60,11,49,7914614.0,0.1257994016011556,11524023.0,0.18316941261291503,19438637.0,0.30896881421407063
stage165_adaptive,dogs-jump,66,11,55,7914709.0,0.1143644650777181,8561967.0,0.12371709130027077,16476676.0,0.23808155637798886
stage165_adaptive,drift-chicane,52,10,42,7195056.0,0.13195654062124398,5126386.0,0.09401735892662635,12321442.0,0.22597389954787034
stage165_adaptive,drift-straight,50,12,38,8634137.0,0.1646830940246582,9614465.0,0.18338136672973632,18248602.0,0.3480644607543945
stage165_adaptive,goat,90,17,73,12231678.0,0.1296115239461263,18030612.0,0.19105923970540364,30262290.0,0.32067076365152997
stage165_adaptive,gold-fish,78,11,67,7914615.0,0.09676878268902118,13913162.0,0.17011058024871042,21827777.0,0.2668793629377316
stage165_adaptive,horsejump-high,50,10,40,7195182.0,0.1372372055053711,8620861.0,0.16442987442016602,15816043.0,0.3016670799255371
stage165_adaptive,india,81,14,67,10073132.0,0.11859860832308546,15392137.0,0.18122328063588083,25465269.0,0.2998218889589663
stage165_adaptive,judo,34,6,28,4317160.0,0.1210930768181296,3246793.0,0.09107009102316464,7563953.0,0.21216316784129424
stage165_adaptive,kite-surf,50,10,40,7195169.0,0.13723695755004883,8885381.0,0.16947519302368164,16080550.0,0.30671215057373047
stage165_adaptive,lab-coat,47,9,38,6475625.0,0.13139653713145155,8673570.0,0.1759949136287608,15149195.0,0.30739145076021235
stage165_adaptive,libby,49,10,39,7195188.0,0.14003808157784597,9929369.0,0.19325273864123285,17124557.0,0.33329082021907885
