schedule,sequence_count,total_frames,keyframe_count,residual_count,keyframe_bitstream_bytes,keyframe_mib_per_frame,residual_payload_bytes,residual_mib_per_frame,metadata_bytes,metadata_mib_per_frame,total_payload_bytes,total_mib_per_frame,stage181_proxy_mib_per_frame,measured_minus_stage181_proxy_mib_per_frame,delta_total_mib_per_frame_vs_gap8,delta_total_mib_per_frame_vs_gap4,stage180_mean_psnr,stage180_mean_lpips,rate_scope
uniform_gap8,30,1999,292,1707,210098951.0,0.10023310328794158,368145084.0,0.1756330721971093,1.0,4.770756960511505e-10,578244036.0,0.2758661759621266,0.3073179395851907,-0.03145176362306412,0.0,-0.05490276848095066,29.206326430809128,0.1766524552471108,measured_schedule_packed_q12_keyframes_plus_measured_stage158_residual_payloads_plus_exact_metadata
stage165_adaptive,30,1999,358,1641,257586133.0,0.12288808369409925,351840797.0,0.16785469312796658,327.0,1.5600375260872624e-07,609427257.0,0.2907429328258184,0.1916456087572328,0.09909732406858562,0.014876756863691831,-0.04002601161725883,29.770752551041166,0.1427798855635855,measured_schedule_packed_q12_keyframes_plus_measured_stage158_residual_payloads_plus_exact_metadata
uniform_gap4,30,1999,536,1463,385657561.0,0.18398784935146406,307668355.0,0.1467810946145375,1.0,4.770756960511505e-10,693325917.0,0.33076894444307725,0.3688664299140155,-0.038097485470938275,0.05490276848095066,0.0,29.46421682151917,0.16245726098616917,measured_schedule_packed_q12_keyframes_plus_measured_stage158_residual_payloads_plus_exact_metadata
