setting_label,edge_count,target_count,total_cost_bytes,total_cost_mib,total_residual_payload_bytes,mean_corrected_psnr,mean_delta_psnr_vs_base,score_sum_psnr
topk_keep0p05_q6,22,122,17777952,16.954376220703125,1945657.0,21.63221901330533,2.3806840851579874,2639.1307196232506
topk_keep0p1_q6,22,122,19538702,18.63355827331543,3706407.0,22.999679901928367,3.748144973781018,2805.9609480352606
topk_keep0p2_q6,22,122,22782640,21.727218627929688,6950345.0,24.831585273128514,5.580050344981165,3029.4534033216787
