frontier_index,cost_bytes,cost_mib,target_count,mean_corrected_psnr,score_sum_psnr,chosen_settings
11,17864127,17.036559104919434,122,21.707847877902935,2648.357441104158,bike-packing:00000:00004:gap4=topk_keep0p05_q6;bike-packing:00000:00008:gap8=topk_keep0p05_q6;bike-packing:00000:00012:gap12=topk_keep0p05_q6;bike-packing:00004:00008:gap4=topk_keep0p05_q6;bike-packing:00008:00012:gap4=topk_keep0p05_q6;bike-packing:00008:00016:gap8=topk_keep0p05_q6;bike-packing:00012:00016:gap4=topk_keep0p05_q6;bike-packing:00012:00024:gap12=topk_keep0p05_q6;bike-packing:00016:00020:gap4=topk_keep0p1_q6;bike-packing:00016:00024:gap8=topk_keep0p05_q6;bike-packing:00020:00024:gap4=topk_keep0p05_q6;parkour:00000:00004:gap4=topk_keep0p05_q6;parkour:00000:00008:gap8=topk_keep0p05_q6;parkour:00000:00012:gap12=topk_keep0p05_q6;parkour:00004:00008:gap4=topk_keep0p05_q6;parkour:00008:00012:gap4=topk_keep0p1_q6;parkour:00008:00016:gap8=topk_keep0p05_q6;parkour:00012:00016:gap4=topk_keep0p05_q6;parkour:00012:00024:gap12=topk_keep0p05_q6;parkour:00016:00020:gap4=topk_keep0p05_q6;parkour:00016:00024:gap8=topk_keep0p05_q6;parkour:00020:00024:gap4=topk_keep0p05_q6
12,17864360,17.036781311035156,122,21.709395801648824,2648.5462878011567,bike-packing:00000:00004:gap4=topk_keep0p05_q6;bike-packing:00000:00008:gap8=topk_keep0p05_q6;bike-packing:00000:00012:gap12=topk_keep0p05_q6;bike-packing:00004:00008:gap4=topk_keep0p05_q6;bike-packing:00008:00012:gap4=topk_keep0p05_q6;bike-packing:00008:00016:gap8=topk_keep0p05_q6;bike-packing:00012:00016:gap4=topk_keep0p05_q6;bike-packing:00012:00024:gap12=topk_keep0p05_q6;bike-packing:00016:00020:gap4=topk_keep0p1_q6;bike-packing:00016:00024:gap8=topk_keep0p05_q6;bike-packing:00020:00024:gap4=topk_keep0p05_q6;parkour:00000:00004:gap4=topk_keep0p05_q6;parkour:00000:00008:gap8=topk_keep0p05_q6;parkour:00000:00012:gap12=topk_keep0p05_q6;parkour:00004:00008:gap4=topk_keep0p05_q6;parkour:00008:00012:gap4=topk_keep0p05_q6;parkour:00008:00016:gap8=topk_keep0p05_q6;parkour:00012:00016:gap4=topk_keep0p1_q6;parkour:00012:00024:gap12=topk_keep0p05_q6;parkour:00016:00020:gap4=topk_keep0p05_q6;parkour:00016:00024:gap8=topk_keep0p05_q6;parkour:00020:00024:gap4=topk_keep0p05_q6
13,17864382,17.036802291870117,122,21.712330842645983,2648.90436280281,bike-packing:00000:00004:gap4=topk_keep0p05_q6;bike-packing:00000:00008:gap8=topk_keep0p05_q6;bike-packing:00000:00012:gap12=topk_keep0p05_q6;bike-packing:00004:00008:gap4=topk_keep0p05_q6;bike-packing:00008:00012:gap4=topk_keep0p05_q6;bike-packing:00008:00016:gap8=topk_keep0p05_q6;bike-packing:00012:00016:gap4=topk_keep0p05_q6;bike-packing:00012:00024:gap12=topk_keep0p05_q6;bike-packing:00016:00020:gap4=topk_keep0p1_q6;bike-packing:00016:00024:gap8=topk_keep0p05_q6;bike-packing:00020:00024:gap4=topk_keep0p05_q6;parkour:00000:00004:gap4=topk_keep0p05_q6;parkour:00000:00008:gap8=topk_keep0p05_q6;parkour:00000:00012:gap12=topk_keep0p05_q6;parkour:00004:00008:gap4=topk_keep0p05_q6;parkour:00008:00012:gap4=topk_keep0p05_q6;parkour:00008:00016:gap8=topk_keep0p05_q6;parkour:00012:00016:gap4=topk_keep0p05_q6;parkour:00012:00024:gap12=topk_keep0p05_q6;parkour:00016:00020:gap4=topk_keep0p05_q6;parkour:00016:00024:gap8=topk_keep0p05_q6;parkour:00020:00024:gap4=topk_keep0p1_q6
14,17864451,17.03686809539795,122,21.71261851932394,2648.9394593575207,bike-packing:00000:00004:gap4=topk_keep0p05_q6;bike-packing:00000:00008:gap8=topk_keep0p05_q6;bike-packing:00000:00012:gap12=topk_keep0p05_q6;bike-packing:00004:00008:gap4=topk_keep0p05_q6;bike-packing:00008:00012:gap4=topk_keep0p05_q6;bike-packing:00008:00016:gap8=topk_keep0p05_q6;bike-packing:00012:00016:gap4=topk_keep0p05_q6;bike-packing:00012:00024:gap12=topk_keep0p05_q6;bike-packing:00016:00020:gap4=topk_keep0p1_q6;bike-packing:00016:00024:gap8=topk_keep0p05_q6;bike-packing:00020:00024:gap4=topk_keep0p05_q6;parkour:00000:00004:gap4=topk_keep0p05_q6;parkour:00000:00008:gap8=topk_keep0p05_q6;parkour:00000:00012:gap12=topk_keep0p05_q6;parkour:00004:00008:gap4=topk_keep0p05_q6;parkour:00008:00012:gap4=topk_keep0p05_q6;parkour:00008:00016:gap8=topk_keep0p05_q6;parkour:00012:00016:gap4=topk_keep0p05_q6;parkour:00012:00024:gap12=topk_keep0p05_q6;parkour:00016:00020:gap4=topk_keep0p1_q6;parkour:00016:00024:gap8=topk_keep0p05_q6;parkour:00020:00024:gap4=topk_keep0p05_q6
15,17879469,17.05119037628174,122,21.720874565675228,2649.9466970123776,bike-packing:00000:00004:gap4=topk_keep0p05_q6;bike-packing:00000:00008:gap8=topk_keep0p05_q6;bike-packing:00000:00012:gap12=topk_keep0p05_q6;bike-packing:00004:00008:gap4=topk_keep0p05_q6;bike-packing:00008:00012:gap4=topk_keep0p05_q6;bike-packing:00008:00016:gap8=topk_keep0p05_q6;bike-packing:00012:00016:gap4=topk_keep0p05_q6;bike-packing:00012:00024:gap12=topk_keep0p05_q6;bike-packing:00016:00020:gap4=topk_keep0p05_q6;bike-packing:00016:00024:gap8=topk_keep0p1_q6;bike-packing:00020:00024:gap4=topk_keep0p05_q6;parkour:00000:00004:gap4=topk_keep0p05_q6;parkour:00000:00008:gap8=topk_keep0p05_q6;parkour:00000:00012:gap12=topk_keep0p05_q6;parkour:00004:00008:gap4=topk_keep0p05_q6;parkour:00008:00012:gap4=topk_keep0p05_q6;parkour:00008:00016:gap8=topk_keep0p05_q6;parkour:00012:00016:gap4=topk_keep0p05_q6;parkour:00012:00024:gap12=topk_keep0p05_q6;parkour:00016:00020:gap4=topk_keep0p05_q6;parkour:00016:00024:gap8=topk_keep0p05_q6;parkour:00020:00024:gap4=topk_keep0p05_q6
16,17880233,17.051918983459473,122,21.722977181293608,2650.2032161178204,bike-packing:00000:00004:gap4=topk_keep0p05_q6;bike-packing:00000:00008:gap8=topk_keep0p05_q6;bike-packing:00000:00012:gap12=topk_keep0p05_q6;bike-packing:00004:00008:gap4=topk_keep0p05_q6;bike-packing:00008:00012:gap4=topk_keep0p05_q6;bike-packing:00008:00016:gap8=topk_keep0p1_q6;bike-packing:00012:00016:gap4=topk_keep0p05_q6;bike-packing:00012:00024:gap12=topk_keep0p05_q6;bike-packing:00016:00020:gap4=topk_keep0p05_q6;bike-packing:00016:00024:gap8=topk_keep0p05_q6;bike-packing:00020:00024:gap4=topk_keep0p05_q6;parkour:00000:00004:gap4=topk_keep0p05_q6;parkour:00000:00008:gap8=topk_keep0p05_q6;parkour:00000:00012:gap12=topk_keep0p05_q6;parkour:00004:00008:gap4=topk_keep0p05_q6;parkour:00008:00012:gap4=topk_keep0p05_q6;parkour:00008:00016:gap8=topk_keep0p05_q6;parkour:00012:00016:gap4=topk_keep0p05_q6;parkour:00012:00024:gap12=topk_keep0p05_q6;parkour:00016:00020:gap4=topk_keep0p05_q6;parkour:00016:00024:gap8=topk_keep0p05_q6;parkour:00020:00024:gap4=topk_keep0p05_q6
17,17902425,17.07308292388916,122,21.72696801240948,2650.6900975139565,bike-packing:00000:00004:gap4=topk_keep0p05_q6;bike-packing:00000:00008:gap8=topk_keep0p05_q6;bike-packing:00000:00012:gap12=topk_keep0p05_q6;bike-packing:00004:00008:gap4=topk_keep0p05_q6;bike-packing:00008:00012:gap4=topk_keep0p05_q6;bike-packing:00008:00016:gap8=topk_keep0p05_q6;bike-packing:00012:00016:gap4=topk_keep0p05_q6;bike-packing:00012:00024:gap12=topk_keep0p05_q6;bike-packing:00016:00020:gap4=topk_keep0p05_q6;bike-packing:00016:00024:gap8=topk_keep0p05_q6;bike-packing:00020:00024:gap4=topk_keep0p05_q6;parkour:00000:00004:gap4=topk_keep0p05_q6;parkour:00000:00008:gap8=topk_keep0p05_q6;parkour:00000:00012:gap12=topk_keep0p05_q6;parkour:00004:00008:gap4=topk_keep0p05_q6;parkour:00008:00012:gap4=topk_keep0p05_q6;parkour:00008:00016:gap8=topk_keep0p05_q6;parkour:00012:00016:gap4=topk_keep0p2_q6;parkour:00012:00024:gap12=topk_keep0p05_q6;parkour:00016:00020:gap4=topk_keep0p05_q6;parkour:00016:00024:gap8=topk_keep0p05_q6;parkour:00020:00024:gap4=topk_keep0p05_q6
18,17902684,17.07332992553711,122,21.738421723057144,2652.0874502129714,bike-packing:00000:00004:gap4=topk_keep0p05_q6;bike-packing:00000:00008:gap8=topk_keep0p05_q6;bike-packing:00000:00012:gap12=topk_keep0p05_q6;bike-packing:00004:00008:gap4=topk_keep0p05_q6;bike-packing:00008:00012:gap4=topk_keep0p05_q6;bike-packing:00008:00016:gap8=topk_keep0p05_q6;bike-packing:00012:00016:gap4=topk_keep0p05_q6;bike-packing:00012:00024:gap12=topk_keep0p05_q6;bike-packing:00016:00020:gap4=topk_keep0p05_q6;bike-packing:00016:00024:gap8=topk_keep0p05_q6;bike-packing:00020:00024:gap4=topk_keep0p05_q6;parkour:00000:00004:gap4=topk_keep0p05_q6;parkour:00000:00008:gap8=topk_keep0p05_q6;parkour:00000:00012:gap12=topk_keep0p05_q6;parkour:00004:00008:gap4=topk_keep0p05_q6;parkour:00008:00012:gap4=topk_keep0p05_q6;parkour:00008:00016:gap8=topk_keep0p05_q6;parkour:00012:00016:gap4=topk_keep0p05_q6;parkour:00012:00024:gap12=topk_keep0p05_q6;parkour:00016:00020:gap4=topk_keep0p05_q6;parkour:00016:00024:gap8=topk_keep0p05_q6;parkour:00020:00024:gap4=topk_keep0p2_q6
19,17906745,17.077202796936035,122,21.73896415287187,2652.153626650368,bike-packing:00000:00004:gap4=topk_keep0p05_q6;bike-packing:00000:00008:gap8=topk_keep0p05_q6;bike-packing:00000:00012:gap12=topk_keep0p05_q6;bike-packing:00004:00008:gap4=topk_keep0p05_q6;bike-packing:00008:00012:gap4=topk_keep0p05_q6;bike-packing:00008:00016:gap8=topk_keep0p05_q6;bike-packing:00012:00016:gap4=topk_keep0p1_q6;bike-packing:00012:00024:gap12=topk_keep0p05_q6;bike-packing:00016:00020:gap4=topk_keep0p1_q6;bike-packing:00016:00024:gap8=topk_keep0p05_q6;bike-packing:00020:00024:gap4=topk_keep0p05_q6;parkour:00000:00004:gap4=topk_keep0p05_q6;parkour:00000:00008:gap8=topk_keep0p05_q6;parkour:00000:00012:gap12=topk_keep0p05_q6;parkour:00004:00008:gap4=topk_keep0p05_q6;parkour:00008:00012:gap4=topk_keep0p1_q6;parkour:00008:00016:gap8=topk_keep0p05_q6;parkour:00012:00016:gap4=topk_keep0p05_q6;parkour:00012:00024:gap12=topk_keep0p05_q6;parkour:00016:00020:gap4=topk_keep0p05_q6;parkour:00016:00024:gap8=topk_keep0p05_q6;parkour:00020:00024:gap4=topk_keep0p05_q6
20,17906978,17.077425003051758,122,21.740512076617758,2652.3424733473666,bike-packing:00000:00004:gap4=topk_keep0p05_q6;bike-packing:00000:00008:gap8=topk_keep0p05_q6;bike-packing:00000:00012:gap12=topk_keep0p05_q6;bike-packing:00004:00008:gap4=topk_keep0p05_q6;bike-packing:00008:00012:gap4=topk_keep0p05_q6;bike-packing:00008:00016:gap8=topk_keep0p05_q6;bike-packing:00012:00016:gap4=topk_keep0p1_q6;bike-packing:00012:00024:gap12=topk_keep0p05_q6;bike-packing:00016:00020:gap4=topk_keep0p1_q6;bike-packing:00016:00024:gap8=topk_keep0p05_q6;bike-packing:00020:00024:gap4=topk_keep0p05_q6;parkour:00000:00004:gap4=topk_keep0p05_q6;parkour:00000:00008:gap8=topk_keep0p05_q6;parkour:00000:00012:gap12=topk_keep0p05_q6;parkour:00004:00008:gap4=topk_keep0p05_q6;parkour:00008:00012:gap4=topk_keep0p05_q6;parkour:00008:00016:gap8=topk_keep0p05_q6;parkour:00012:00016:gap4=topk_keep0p1_q6;parkour:00012:00024:gap12=topk_keep0p05_q6;parkour:00016:00020:gap4=topk_keep0p05_q6;parkour:00016:00024:gap8=topk_keep0p05_q6;parkour:00020:00024:gap4=topk_keep0p05_q6
