sample,reference_gap,rate_mib_per_frame,uniform_adapter_all_psnr,predicted_adapter_all_psnr,selector_delta_adapter_all_psnr,uniform_linear_all_psnr,predicted_linear_all_psnr,selector_delta_linear_all_psnr,uniform_indices,predicted_indices
DAVIS/val/bmx-trees,4,0.119970703125,20.070097715317623,20.133674327209114,0.06357661189149155,19.72716646774132,19.815205540690197,0.08803907294887736,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 79,0 4 9 15 18 23 26 31 33 37 38 42 45 48 50 55 60 62 67 72 79
DAVIS/val/bmx-trees,8,0.062841796875,17.822039666501944,17.7858798253786,-0.03615984112334303,17.509492299488954,17.506483263379174,-0.0030090361097805385,0 8 16 24 32 40 48 56 64 72 79,0 9 16 25 32 43 50 55 62 70 79
DAVIS/val/bmx-trees,16,0.03427734375,16.10083832134726,16.10083832134726,0.0,15.868150419292437,15.868150419292437,0.0,0 16 32 48 64 79,0 16 32 48 64 79
DAVIS/val/car-shadow,4,0.12568359375,21.10255897802341,21.102003395694947,-0.000555582328463089,20.559140758854273,20.559459080278703,0.0003183214244302235,0 4 8 12 16 20 24 28 32 36 39,0 4 8 12 16 20 23 27 31 35 39
DAVIS/val/car-shadow,8,0.0685546875,19.18506378945881,19.17832982344394,-0.006733966014870418,18.604637539837704,18.59916207286417,-0.005475466973532406,0 8 16 24 32 39,0 8 16 23 32 39
DAVIS/val/car-shadow,16,0.045703125,18.12073768533537,18.166228999092716,0.04549131375734561,17.573439028143355,17.607269874961503,0.033830846818148075,0 16 32 39,0 12 26 39
DAVIS/val/goat,4,0.121875,19.73679707382765,19.742322296239898,0.0055252224122490645,19.153657725977755,19.145686403450433,-0.00797132252732169,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80 84 88 89,0 5 11 16 21 25 30 32 37 41 45 50 54 59 61 64 66 71 73 78 82 84 87 89
DAVIS/val/goat,8,0.066015625,17.986255403638253,17.876470475541243,-0.10978492809701024,17.403143137809028,17.291569886602066,-0.11157325120696271,0 8 16 24 32 40 48 56 64 72 80 88 89,0 7 16 24 32 41 49 54 59 64 70 83 89
DAVIS/val/goat,16,0.035546875,16.74081067318615,16.76797396499338,0.02716329180723065,16.217413900960498,16.245103358339517,0.027689457379018734,0 16 32 48 64 80 89,0 16 30 45 60 73 89
DAVIS/val/soapbox,4,0.12002840909090909,21.524673663718215,21.558829687362664,0.03415602364444936,21.109689026669123,21.119494536623645,0.009805509954521341,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80 84 88 92 96 98,0 5 12 19 25 30 34 38 42 46 49 53 56 59 62 64 67 69 73 76 79 82 86 90 95 98
DAVIS/val/soapbox,8,0.06463068181818182,19.176595738107597,19.259998745495473,0.08340300738787576,18.7365648659621,18.817178264123594,0.08061339816149271,0 8 16 24 32 40 48 56 64 72 80 88 96 98,0 9 19 27 34 41 47 53 59 64 73 83 92 98
DAVIS/val/soapbox,16,0.036931818181818184,17.089743502361333,17.352520629516956,0.26277712715562274,16.727263429515755,16.966070609206998,0.23880717969124277,0 16 32 48 64 80 96 98,0 14 27 43 56 70 85 98
