sample,method,reference_gap,bits,total_frames,keyframe_count,legacy_raw_bitstream_bytes,legacy_zlib_bitstream_bytes,compact_raw_bitstream_bytes,compact_zlib_bitstream_bytes,legacy_raw_mib_per_frame,legacy_zlib_mib_per_frame,compact_raw_mib_per_frame,compact_zlib_mib_per_frame,legacy_uncompressed_payload_bytes,compact_uncompressed_payload_bytes,theoretical_compact_payload_bytes,legacy_raw_header_bytes,compact_raw_header_bytes,compact_payload_savings_percent_vs_legacy_payload,compact_raw_savings_percent_vs_legacy_raw,compact_zlib_savings_percent_vs_legacy_zlib,max_roundtrip_abs_diff,mean_roundtrip_mse,indices
driving,uniform,16,6,81,6,2879283,1223122,2160473,1367837,0.03389997835512514,0.014400741200388215,0.025436884091224198,0.016104580443582418,2875392,2156544,2156544,3891,3929,25.0,24.96489577439939,-11.831607967152909,0.0,0.0,0 16 32 48 64 80
driving,uniform,16,8,81,6,2879295,1833357,2879333,1833395,0.03390011964020906,0.02158549979881004,0.033900567042974776,0.02158594720157576,2875392,2875392,2875392,3903,3941,0.0,-0.00131976751253345,-0.002072700516047884,0.0,0.0,0 16 32 48 64 80
driving,uniform,16,10,81,6,5754746,2854593,3598234,2482430,0.0677549809585383,0.03360928429497613,0.04236473271876206,0.029227527571313174,5750784,3594240,3594240,3962,3994,37.5,37.47362611660011,13.0373401742385,0.0,0.0,0 16 32 48 64 80
driving,uniform,16,12,81,6,5754770,3225951,4317106,2940640,0.06775526352870612,0.03798156314425998,0.05082855695559655,0.034622380762924385,5750784,4313088,4313088,3986,4018,25.0,24.982127869576022,8.844244689395468,0.0,0.0,0 16 32 48 64 80
driving,uniform,16,16,81,6,5754797,3803316,5754829,3803348,0.06775558142014491,0.044779318350332754,0.06775595818036868,0.04477969511055652,5750784,5750784,5750784,4013,4045,0.0,-0.0005560578418317796,-0.0008413710562046383,0.0,0.0,0 16 32 48 64 80
robot,uniform,16,1,77,6,2879145,115607,363204,110032,0.03565930700921393,0.0014318367103477577,0.004498419823584619,0.0013627882127637987,2875392,359424,359424,3753,3780,87.5,87.38500492333661,4.822372347695209,0.0,0.0,0 16 32 48 64 76
robot,uniform,16,2,77,6,2879264,244683,722754,239462,0.035660780869521104,0.0030304921137822138,0.008951583465972504,0.002965828040977577,2875392,718848,718848,3872,3906,75.0,74.89796003423098,2.133781259834153,0.0,0.0,0 16 32 48 64 76
robot,uniform,16,4,77,6,2879305,730763,1441645,693043,0.03566128867013114,0.009050777980259486,0.017855322206175174,0.00858360141902775,2875392,1437696,1437696,3913,3949,50.0,49.93079927274116,5.161728221051148,0.0,0.0,0 16 32 48 64 76
robot,uniform,16,6,77,6,2879362,1342268,2160552,1480354,0.035661994636832894,0.01662450022511668,0.026759259112469562,0.0183347479089514,2875392,2156544,2156544,3970,4008,25.0,24.964210821702864,-10.287513372888275,0.0,0.0,0 16 32 48 64 76
robot,uniform,16,8,77,6,2879347,1935540,2879385,1935578,0.035661808856121906,0.023972399823077313,0.03566227950058974,0.02397287046754515,2875392,2875392,2875392,3955,3993,0.0,-0.0013197436779936562,-0.0019632763983177823,0.0,0.0,0 16 32 48 64 76
robot,uniform,16,10,77,6,5754813,2948595,3598301,2549583,0.07127555004962079,0.03651947170108944,0.04456632787531072,0.03157755616423372,5750784,3594240,3594240,4029,4061,37.5,37.47318983258014,13.532275541401923,0.0,0.0,0 16 32 48 64 76
robot,uniform,16,12,77,6,5754841,3324019,4317177,3006250,0.0712758968402813,0.0411692408772258,0.053469880834802405,0.037233550827224536,5750784,4313088,4313088,4057,4089,25.0,24.981819654096437,9.559782901361274,0.0,0.0,0 16 32 48 64 76
robot,uniform,16,16,77,6,5754863,3905708,5754895,3905740,0.07127616931865742,0.048373680610161326,0.07127656565084085,0.04837407694234477,5750784,5750784,5750784,4079,4111,0.0,-0.0005560514646482462,-0.0008193136814119233,0.0,0.0,0 16 32 48 64 76
