sample,method,reference_gap,total_frames,keyframe_count,indices,raw_path,zlib_path,raw_bitstream_bytes,zlib_bitstream_bytes,raw_mib_per_frame,zlib_mib_per_frame,zlib_savings_percent_vs_raw_bitstream,linear_all_psnr,adapter_all_psnr,delta_all_psnr,linear_middle_psnr,adapter_middle_psnr,delta_middle_psnr,linear_all_ssim,adapter_all_ssim,linear_middle_ssim,adapter_middle_ssim,max_roundtrip_abs_diff,mean_roundtrip_mse
meetroom,uniform,16,81,6,0 16 32 48 64 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/meetroom_uniform_gap16_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/meetroom_uniform_gap16_q8_zlib.mdfcgs,2878977,1851435,0.03389637558548539,0.021798345777723525,35.691219485254656,25.931059230358613,25.9925422175848,0.06148298722618506,25.488498235474264,25.55489986167854,0.06640162620427503,0.8686625847110042,0.8821232554353313,0.8649900452295939,0.8795275696118673,0.0,0.0
meetroom,dense_anchor_attr_oracle,16,81,6,0 13 33 53 66 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/meetroom_dense_anchor_attr_oracle_gap16_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/meetroom_dense_anchor_attr_oracle_gap16_q8_zlib.mdfcgs,2878986,1851513,0.03389648154929832,0.021799264130768953,35.68871123374688,26.081370534190345,26.13821182123584,0.056841287045493516,25.646051417830325,25.707440007839455,0.06138859000913044,0.8703748377752892,0.883708984763534,0.8667668120066325,0.8811676907539367,0.0,0.0
driving,uniform,4,81,21,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/driving_uniform_gap4_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/driving_uniform_gap4_q8_zlib.mdfcgs,10076082,6403516,0.11863334090621383,0.07539344128267264,36.44835363586759,27.918159891285423,27.987355651411722,0.06919576012629847,26.337111877661762,26.430526153832265,0.09341427617050257,0.7710227694040463,0.7754659476103606,0.7283048699299495,0.7343031605084737,0.0,0.0
driving,dense_anchor_attr_oracle,4,81,21,0 1 4 7 10 14 16 19 23 25 28 32 37 41 47 53 59 64 69 74 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/driving_dense_anchor_attr_oracle_gap4_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/driving_dense_anchor_attr_oracle_gap4_q8_zlib.mdfcgs,10076014,6415053,0.11863254029073833,0.07552927511709707,36.33342510242642,28.018605305051967,28.090072234742102,0.07146692969013557,26.452330016910125,26.5488103719918,0.09648035508167396,0.7759759698385074,0.7805008343708368,0.7347989201545715,0.7409074872732162,0.0,0.0
driving,uniform,8,81,11,0 8 16 24 32 40 48 56 64 72 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/driving_uniform_gap8_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/driving_uniform_gap8_q8_zlib.mdfcgs,5278015,3355880,0.06214206601366585,0.03951131561656057,36.41776311738409,25.722301850385016,25.776341229195026,0.05403937881001042,24.67251167422008,24.735042955414524,0.0625312811944454,0.70124500769156,0.7062944946465669,0.6711267301014492,0.6769697078636714,0.0,0.0
driving,dense_anchor_attr_oracle,8,81,11,0 8 17 25 34 41 47 55 62 71 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/driving_dense_anchor_attr_oracle_gap8_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/driving_dense_anchor_attr_oracle_gap8_q8_zlib.mdfcgs,5277959,3354797,0.06214140668327426,0.03949856463773751,36.437607794982874,25.794055913056148,25.85054887527021,0.05649296221406175,24.748296800887477,24.813667228592323,0.06537042770484547,0.7045658444180901,0.7093058574346849,0.6747635347502572,0.6802484069551741,0.0,0.0
driving,uniform,16,81,6,0 16 32 48 64 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/driving_uniform_gap16_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/driving_uniform_gap16_q8_zlib.mdfcgs,2878962,1833024,0.033896198979130494,0.021581579137731483,36.330385743194945,23.76875803859573,23.804673762790383,0.03591572419465194,23.079622516033428,23.118411498163656,0.03878898213022808,0.6309859112456992,0.6359695516250752,0.610102678934733,0.615485010544459,0.0,0.0
driving,dense_anchor_attr_oracle,16,81,6,0 19 34 49 62 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/driving_dense_anchor_attr_oracle_gap16_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/driving_dense_anchor_attr_oracle_gap16_q8_zlib.mdfcgs,2878964,1830787,0.03389622252664448,0.02155524124333888,36.40813153620538,23.81355208076196,23.85164064884826,0.03808856808630168,23.125007489656777,23.166143143189984,0.041135653533206806,0.6342505407922062,0.639092731990932,0.6134741695721945,0.6187037360668183,0.0,0.0
robot,uniform,4,77,20,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/robot_uniform_gap4_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/robot_uniform_gap4_q8_zlib.mdfcgs,9596402,6441439,0.11885509243259182,0.07977967448048777,32.87651976230258,25.1543985695563,25.19141168744805,0.03701311789174966,22.82414386674953,22.874144043550658,0.05000017680112734,0.7914315578225372,0.8025368839115291,0.757226942924031,0.7722288746582834,0.0,0.0
robot,dense_anchor_attr_oracle,4,77,20,0 5 10 12 15 20 24 25 32 37 38 43 44 47 52 56 61 67 73 76,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/robot_dense_anchor_attr_oracle_gap4_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/robot_dense_anchor_attr_oracle_gap4_q8_zlib.mdfcgs,9596416,6435426,0.11885526582792208,0.07970520118614297,32.93927649655871,25.50505094451009,25.546211697418755,0.04116075290866661,23.293057593912543,23.348660716262845,0.05560312235030196,0.7967018167693893,0.8079432868338251,0.7643635367092333,0.7795493822348746,0.0,0.0
robot,uniform,8,77,11,0 8 16 24 32 40 48 56 64 72 76,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/robot_uniform_gap8_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/robot_uniform_gap8_q8_zlib.mdfcgs,5278081,3546953,0.06537104272223138,0.04393036334545582,32.7984356435606,22.962144328620898,22.983025497793417,0.02088116917251881,21.488095166754647,21.51245653078925,0.024361364034604094,0.7515562130259229,0.7635170430332036,0.7284991479281223,0.7424534496032831,0.0,0.0
robot,dense_anchor_attr_oracle,8,77,11,0 4 18 32 39 42 47 56 61 73 76,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/robot_dense_anchor_attr_oracle_gap8_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/robot_dense_anchor_attr_oracle_gap8_q8_zlib.mdfcgs,5278072,3541657,0.06537093125380479,0.04386477036909624,32.898660723082216,23.50024752904222,23.527198509449214,0.026950980406994063,22.109269834983728,22.140712645458564,0.03144281047483588,0.7574247160515228,0.769414683441063,0.7353267127817328,0.7493150080695297,0.0,0.0
robot,uniform,16,77,6,0 16 32 48 64 76,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/robot_uniform_gap16_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/robot_uniform_gap16_q8_zlib.mdfcgs,2879014,1935207,0.035657684524337964,0.023968275491293375,32.78229977346411,21.422427755729462,21.42626162360916,0.003833867879698971,20.55028502701207,20.55444288372667,0.004157856714599006,0.7221902554685419,0.7349693775177002,0.7080584563000102,0.7219175041561395,0.0,0.0
robot,dense_anchor_attr_oracle,16,77,6,0 18 31 60 73 76,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/robot_dense_anchor_attr_oracle_gap16_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage36_dense_oracle_actual_bitstream_rd/robot_dense_anchor_attr_oracle_gap16_q8_zlib.mdfcgs,2878993,1936036,0.03565742443134258,0.023978542971920657,32.753014682564356,21.727240697218917,21.72846401282362,0.001223315604701014,20.877641065693517,20.878967760081714,0.0013266943881973248,0.7302495705616938,0.742072446005685,0.7167712718668119,0.7295932635455065,0.0,0.0
