setting_label,step,train_loss_norm
q4_top20,1,0.7103404998779297
q4_top20,50,0.6497169137001038
q4_top20,100,0.6247438788414001
q4_top20,150,0.6089544892311096
q4_top20,200,0.6153212785720825
q4_top20,250,0.617872416973114
q4_top20,300,0.6021425127983093
q4_top10,1,0.6956125497817993
q4_top10,50,0.6323091983795166
q4_top10,100,0.6022351384162903
q4_top10,150,0.6135826110839844
q4_top10,200,0.5986549258232117
q4_top10,250,0.6162983775138855
q4_top10,300,0.5994237065315247
