setting_label,setting_role,keep_fraction,side_bits,train_task_count,eval_task_count,train_sample_count,eval_sample_count,feature_dim,residual_dim,hidden_dim,train_steps,batch_size,train_zero_mse,train_pred_mse,train_mse_reduction,eval_zero_mse,eval_pred_mse,eval_mse_reduction,checkpoint_path
q4_top20,primary,0.2,4,120,60,61440,30720,56,13,128,300,4096,0.01760004833340645,0.015285275876522064,0.1315208011384117,0.016353415325284004,0.01491295825690031,0.08808295024199653,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage127_selected_residual_predictor_training_smoke/q4_top20/selected_residual_value_mlp.safetensors
q4_top10,low_rate,0.1,4,120,60,61440,30720,56,13,128,300,4096,0.020726380869746208,0.01783580146729946,0.13946377906555096,0.018400665372610092,0.016506632789969444,0.10293283119315721,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage127_selected_residual_predictor_training_smoke/q4_top10/selected_residual_value_mlp.safetensors
