step,task_id,sequence,codec,reference_gap,target_index,normalized_time,loss,loss_psnr
1,stage79_00004090,crossing,q10,8,28,0.5,0.007445092778652906,21.28129885822358
2,stage79_00019926,tuk-tuk,q10,16,46,0.875,0.036794263869524,14.342198814348134
3,stage79_00005683,dog-gooses,q12,8,5,0.625,0.01663285866379738,17.790331028418642
4,stage79_00010417,lady-running,q12,8,47,0.875,0.019971849396824837,16.995817175205197
5,stage79_00000008,bear,q10,4,11,0.75,0.00825095921754837,20.83495559489798
6,stage79_00003234,cat-girl,q12,16,28,0.75,0.06467462331056595,11.892660920991503
