method,count,positive_all_points,positive_middle_points,mean_delta_all_psnr,mean_delta_middle_psnr,min_delta_all_psnr,min_delta_middle_psnr,exact_uniform_points
rendered_min2,12,8,8,0.04582177347634975,0.058077120829774266,-0.2413766546357614,-0.25809799909998077,0
rendered_min2_prior_0p3,12,5,5,0.028495041208740208,0.03659401765922787,0.0,0.0,7
rendered_minhalf,12,8,8,0.023650366089849644,0.03492785247384589,-0.5249054201293362,-0.5689117596470226,0
rendered_minhalf_prior_0p3,12,5,5,0.028495041208740208,0.03659401765922787,0.0,0.0,7
rendered_prior_0p1,12,7,7,0.06034847377870989,0.07079248329613523,-0.018963597365331708,-0.01899001734383532,4
rendered_prior_0p3,12,5,5,0.028495041208740208,0.03659401765922787,0.0,0.0,7
rendered_prior_1p0,12,1,1,0.0013992107446666087,0.0018848908265270599,-0.0177131536988,-0.01672404130135874,10
rendered_raw,12,8,8,0.04996005587468311,0.06134006884884169,-0.2413766546357614,-0.25809799909998077,0
