representation,bits,measurement_key,sequence,frame_index,psnr,ssim,ms_ssim,lpips,status,error
q16_keyframe,16,keyframe::bike-packing:00000,bike-packing,0,26.09538368405156,0.8411157131195068,0.9859787821769714,0.1863144487142563,ok,
q16_keyframe,16,keyframe::bike-packing:00001,bike-packing,1,26.272930567909288,0.8480033874511719,0.986490786075592,0.1825537383556366,ok,
q16_keyframe,16,keyframe::bike-packing:00002,bike-packing,2,26.26661921352771,0.8488855361938477,0.9864426255226135,0.17997883260250092,ok,
q16_keyframe,16,keyframe::bike-packing:00003,bike-packing,3,26.29657435935374,0.8522059321403503,0.9864919185638428,0.18042396008968353,ok,
q16_keyframe,16,keyframe::bike-packing:00004,bike-packing,4,26.435864523126988,0.851682186126709,0.9868191480636597,0.18099115788936615,ok,
float_dense_anchor,float,keyframe::bike-packing:00000,bike-packing,0,26.095593139216234,0.8411462306976318,0.9859803915023804,0.18634262681007385,ok,
float_dense_anchor,float,keyframe::bike-packing:00001,bike-packing,1,26.27310546654219,0.8480045199394226,0.9864903688430786,0.1825588196516037,ok,
float_dense_anchor,float,keyframe::bike-packing:00002,bike-packing,2,26.26667100691698,0.8488882184028625,0.9864434003829956,0.17995823919773102,ok,
float_dense_anchor,float,keyframe::bike-packing:00003,bike-packing,3,26.29666788835489,0.8522264957427979,0.9864926934242249,0.18040212988853455,ok,
float_dense_anchor,float,keyframe::bike-packing:00004,bike-packing,4,26.43601094775235,0.851686954498291,0.9868201613426208,0.18093252182006836,ok,
q16_keyframe,16,keyframe::bike-packing:00005,bike-packing,5,26.652287056806607,0.8545932769775391,0.986908495426178,0.18035171926021576,ok,
q16_keyframe,16,keyframe::bike-packing:00006,bike-packing,6,26.70004741663124,0.8515316843986511,0.9866014122962952,0.1816522479057312,ok,
q16_keyframe,16,keyframe::bike-packing:00007,bike-packing,7,26.58927861279647,0.853614866733551,0.9868297576904297,0.18024025857448578,ok,
q16_keyframe,16,keyframe::bike-packing:00008,bike-packing,8,26.700352016904777,0.854555070400238,0.9870449900627136,0.18188168108463287,ok,
q16_keyframe,16,keyframe::bike-packing:00009,bike-packing,9,26.706424829978637,0.8551264405250549,0.9870383739471436,0.17581503093242645,ok,
q16_keyframe,16,keyframe::bike-packing:00010,bike-packing,10,26.662096506291917,0.8559967875480652,0.9872265458106995,0.1748821884393692,ok,
q16_keyframe,16,keyframe::bike-packing:00011,bike-packing,11,26.38642488570481,0.8553988933563232,0.9870883822441101,0.17684601247310638,ok,
q16_keyframe,16,keyframe::bike-packing:00012,bike-packing,12,26.389670324582628,0.8533172607421875,0.987005889415741,0.1723579615354538,ok,
q16_keyframe,16,keyframe::bike-packing:00013,bike-packing,13,26.61061274454969,0.858547031879425,0.9874638319015503,0.1730514019727707,ok,
q16_keyframe,16,keyframe::bike-packing:00014,bike-packing,14,26.90995090929061,0.8570682406425476,0.9872881174087524,0.17641541361808777,ok,
