sample,method,reference_gap,total_frames,keyframe_count,keyframe_ratio,estimated_q8_static_mib_per_frame,max_segment_length,mean_segment_length,segment_lengths,indices,selector_anchor_mse_cost,linear_all_psnr,adapter_all_psnr,delta_all_psnr,linear_middle_psnr,adapter_middle_psnr,delta_middle_psnr,linear_given_psnr,adapter_given_psnr,delta_given_psnr,linear_all_ssim,adapter_all_ssim,linear_middle_ssim,adapter_middle_ssim,checkpoint
meetroom,uniform,16,81,6,0.07407407407407407,0.033854166666666664,16,16.0,16 16 16 16 16,0 16 32 48 64 80,,25.93180892847526,25.99323726745736,0.06142833898210043,25.489283613159238,25.555626219259906,0.06634260610066889,31.463375369925547,31.463375369925547,0.0,0.8686610806135484,0.882126165760888,0.8649890454610188,0.8795313374201457,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
meetroom,anchor_attr_oracle,16,81,6,0.07407407407407407,0.033854166666666664,20,16.0,14 20 18 14 14,0 14 34 52 66 80,0.04602547164540738,26.101832047213605,26.155524265946845,0.05369221873323937,25.669021768407468,25.727009364639372,0.05798759623190364,31.51196053229032,31.51196053229032,0.0,0.8701790372530619,0.8835192366882607,0.8665748000144958,0.8809822154045105,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
driving,uniform,4,81,21,0.25925925925925924,0.11848958333333333,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,,27.918191005345587,27.987381263755843,0.06919025841025572,26.337138807314197,26.430545656168047,0.09340684885384931,32.435482999720975,32.435482999720975,0.0,0.7710238915902597,0.7754667982643033,0.72830630838871,0.7343042323986689,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
driving,anchor_attr_oracle,4,81,21,0.25925925925925924,0.11848958333333333,6,4.0,2 2 2 4 2 2 4 4 4 4 4 4 4 6 6 6 6 4 4 6,0 2 4 6 10 12 14 18 22 26 30 34 38 42 48 54 60 66 70 74 80,0.041844070656225085,27.802645190786038,27.868848760336682,0.06620356955064466,26.168818353171407,26.258193172064782,0.08937481889337562,32.470721869684965,32.470721869684965,0.0,0.7697267061398353,0.7744356666082217,0.7267340431610744,0.733091139793396,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
driving,uniform,8,81,11,0.13580246913580246,0.062065972222222224,8,8.0,8 8 8 8 8 8 8 8 8 8,0 8 16 24 32 40 48 56 64 72 80,,25.722282340476603,25.77631998434536,0.054037643868756646,24.672495303820032,24.73502457743958,0.06252927361954974,32.40274530101845,32.40274530101845,0.0,0.7012447115079856,0.7062941752834084,0.671126817379679,0.6769697683198111,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
driving,anchor_attr_oracle,8,81,11,0.13580246913580246,0.062065972222222224,10,8.0,6 8 10 10 8 6 6 8 10 8,0 6 14 24 34 42 48 54 62 72 80,0.08316592173650861,25.66283945615751,25.717597888087,0.05475843192948915,24.606841716727818,24.670205045103366,0.06336332837554792,32.38282507071012,32.38282507071012,0.0,0.6978693357956263,0.7032377815540926,0.6673772288220269,0.6735892874853951,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
driving,uniform,16,81,6,0.07407407407407407,0.033854166666666664,16,16.0,16 16 16 16 16,0 16 32 48 64 80,,23.76873648899845,23.804648425598188,0.03591193659973868,23.07960555301667,23.118390444544385,0.03878489152771536,32.38287318877074,32.38287318877074,0.0,0.6309845053855284,0.6359691310811926,0.6101015182336171,0.6154849139849344,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
driving,anchor_attr_oracle,16,81,6,0.07407407407407407,0.033854166666666664,18,16.0,18 16 14 14 18,0 18 34 48 62 80,0.12460426124744117,23.77998703270262,23.8183746074634,0.038387574760779586,23.09057493319533,23.13203351393697,0.041458580741640105,32.397638276543766,32.397638276543766,0.0,0.6337995801442935,0.6388251494478296,0.6130482339859009,0.6184758488337199,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
robot,uniform,4,77,20,0.2597402597402597,0.11870941558441558,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76,,25.15427550044992,25.19121523230494,0.03693973185502131,22.824092801731858,22.873993843009693,0.04990104127783468,31.795296191796403,31.795296191796403,0.0,0.7914330425200524,0.8025379358948052,0.7572285187871832,0.7722298659776387,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/robot/stage25_best_anchor_adapter.safetensors
robot,anchor_attr_oracle,4,77,20,0.2597402597402597,0.11870941558441558,8,4.0,4 6 2 4 4 2 4 6 6 2 2 2 2 6 4 4 8 6 2,0 4 10 12 16 20 22 26 32 38 40 42 44 46 52 56 60 68 74 76,0.05391885444987565,25.324779023246855,25.35715192329581,0.03237290004895499,23.05075386143194,23.094485673778774,0.04373181234683443,31.80575073441936,31.80575073441936,0.0,0.7939639362421903,0.8049838093968181,0.7604701111191198,0.7753566064332661,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/robot/stage25_best_anchor_adapter.safetensors
robot,uniform,8,77,11,0.14285714285714285,0.06529017857142858,8,7.6,8 8 8 8 8 8 8 8 8 4,0 8 16 24 32 40 48 56 64 72 76,,22.96212333114026,22.98300789935102,0.02088456821076079,21.488140670811273,21.51250600039049,0.024365329579218553,31.806019293114176,31.806019293114176,0.0,0.7515539132155381,0.7635192375678521,0.728496787222949,0.7424563323006486,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/robot/stage25_best_anchor_adapter.safetensors
robot,anchor_attr_oracle,8,77,11,0.14285714285714285,0.06529017857142858,16,7.6,6 10 16 8 2 4 10 6 12 2,0 6 16 32 40 42 46 56 62 74 76,0.10886154987383634,23.22308145578008,23.238067515957034,0.014986060176955363,21.78285190922891,21.800335646102027,0.01748373687311755,31.864458735087076,31.864458735087076,0.0,0.7544588345985908,0.7665012788462948,0.7317810410803015,0.7458305593692895,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/robot/stage25_best_anchor_adapter.safetensors
robot,uniform,16,77,6,0.07792207792207792,0.03561282467532467,16,15.2,16 16 16 16 12,0 16 32 48 64 76,,21.42228908335632,21.42610490500266,0.003815821646341533,20.550200856546915,20.554339141994358,0.004138285447442769,31.741999767267544,31.741999767267544,0.0,0.7221816073764454,0.7349612759305285,0.7080494887392286,0.7219091292837976,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/robot/stage25_best_anchor_adapter.safetensors
robot,anchor_attr_oracle,16,77,6,0.07792207792207792,0.03561282467532467,30,15.2,18 12 30 14 2,0 18 30 60 74 76,0.16245437739416957,21.64669856761343,21.64074868011701,-0.005949887496420558,20.788865109130647,20.78241241424016,-0.00645269489048772,31.797727826326337,31.797727826326337,0.0,0.7318494954666535,0.7432812080754863,0.7184375020819651,0.7308352749112627,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/robot/stage25_best_anchor_adapter.safetensors
