sample,method,reference_gap,total_frames,keyframe_count,keyframe_ratio,estimated_q8_static_mib_per_frame,raw_mib_per_frame,zlib_mib_per_frame,raw_bitstream_bytes,zlib_bitstream_bytes,zlib_savings_percent_vs_raw_bitstream,raw_path,zlib_path,max_roundtrip_abs_diff,mean_roundtrip_mse,max_segment_length,mean_segment_length,segment_lengths,indices,selector_cost,checkpoint,linear_all_psnr,adapter_all_psnr,delta_all_psnr,linear_middle_psnr,adapter_middle_psnr,delta_middle_psnr,linear_given_psnr,adapter_given_psnr,delta_given_psnr,linear_all_ssim,adapter_all_ssim,linear_middle_ssim,adapter_middle_ssim
n3dv,uniform,16,81,6,0.07407407407407407,0.033854166666666664,0.0338968347620081,0.022344718744725357,2879016,1897841,34.080220464214165,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/n3dv_uniform_gap16_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/n3dv_uniform_gap16_q8_zlib.mdfcgs,0.0,0.0,16,16.0,16 16 16 16 16,0 16 32 48 64 80,,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors,28.970305120452668,29.125309658911,0.15500453845833206,28.8421021766212,29.009507078156197,0.1674049015349972,30.572841918346004,30.572841918346004,0.0,0.8866919492497857,0.8960152746718607,0.885352128346761,0.8954213198026021
n3dv,rendered_prior_0p1,16,81,6,0.07407407407407407,0.033854166666666664,0.033896822988251106,0.02234296445493345,2879015,1897692,34.085372948734204,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/n3dv_rendered_prior_0p1_gap16_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/n3dv_rendered_prior_0p1_gap16_q8_zlib.mdfcgs,0.0,0.0,17,16.0,15 15 16 17 17,0 15 30 46 63 80,0.08317536895240968,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors,29.035670257039186,29.20038990971024,0.16471965267105304,28.91104844067817,29.08894566556289,0.17789722488472037,30.593442961552,30.593442961552,0.0,0.8873937902627168,0.89680638504617,0.8860786922772725,0.896244294643402
meetroom,uniform,1,81,81,1.0,0.45703125,0.45758754824414666,0.2941614669046284,38865041,24984503,35.714713384709924,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/meetroom_uniform_gap1_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/meetroom_uniform_gap1_q8_zlib.mdfcgs,0.0,0.0,1,1.0,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80,,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors,31.523855529489662,31.523855529489662,0.0,,,,31.523855529489662,31.523855529489662,0.0,0.9151685333546297,0.9151685333546297,,
meetroom,rendered_prior_0p1,1,81,81,1.0,0.45703125,0.45758754824414666,0.2941614669046284,38865041,24984503,35.714713384709924,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/meetroom_rendered_prior_0p1_gap1_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/meetroom_rendered_prior_0p1_gap1_q8_zlib.mdfcgs,0.0,0.0,1,1.0,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80,0.0,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors,31.523855529489662,31.523855529489662,0.0,,,,31.523855529489662,31.523855529489662,0.0,0.9151685333546297,0.9151685333546297,,
meetroom,uniform,2,81,41,0.5061728395061729,0.23133680555555555,0.231618775261773,0.14890948637032214,19672461,12647576,35.709233328763496,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/meetroom_uniform_gap2_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/meetroom_uniform_gap2_q8_zlib.mdfcgs,0.0,0.0,2,2.0,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52 54 56 58 60 62 64 66 68 70 72 74 76 78 80,,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors,30.809355381121513,30.894989100413937,0.08563371929242436,30.110879123826088,30.28428740539325,0.1734082815671627,31.490795632141438,31.490795632141438,0.0,0.9089533340783766,0.9163948658071919,0.902942630648613,0.9180117323994637
meetroom,rendered_prior_0p1,2,81,41,0.5061728395061729,0.23133680555555555,0.231618775261773,0.14890948637032214,19672461,12647576,35.709233328763496,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/meetroom_rendered_prior_0p1_gap2_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/meetroom_rendered_prior_0p1_gap2_q8_zlib.mdfcgs,0.0,0.0,2,2.0,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52 54 56 58 60 62 64 66 68 70 72 74 76 78 80,0.03802228893619031,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors,30.809355381121513,30.894989100413937,0.08563371929242436,30.110879123826088,30.28428740539325,0.1734082815671627,31.490795632141438,31.490795632141438,0.0,0.9089533340783766,0.9163948658071919,0.902942630648613,0.9180117323994637
meetroom,uniform,3,81,28,0.345679012345679,0.1579861111111111,0.15817909476197797,0.10169572006037206,13434887,8637491,35.70849535243579,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/meetroom_uniform_gap3_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/meetroom_uniform_gap3_q8_zlib.mdfcgs,0.0,0.0,3,2.962962962962963,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2,0 3 6 9 12 15 18 21 24 27 30 33 36 39 42 45 48 51 54 57 60 63 66 69 72 75 78 80,,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors,30.1503878439344,30.251845180797627,0.101457336863227,29.42436465774003,29.579422097097034,0.15505743935700522,31.524646017802315,31.524646017802315,0.0,0.9037559775658596,0.9135226011276245,0.8976822855337611,0.912608634750798
meetroom,rendered_prior_0p1,3,81,28,0.345679012345679,0.1579861111111111,0.15817925959457585,0.10169197600564839,13434901,8637173,35.71092931760346,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/meetroom_rendered_prior_0p1_gap3_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/meetroom_rendered_prior_0p1_gap3_q8_zlib.mdfcgs,0.0,0.0,3,2.962962962962963,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 3 3 3 3,0 3 6 9 12 15 18 21 24 27 30 33 36 39 42 45 48 51 54 57 60 63 66 68 71 74 77 80,0.07023155417862452,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors,30.168334645284048,30.268540253576,0.10020560829195091,29.4500949887787,29.603239408998483,0.1531444202197818,31.527859709383456,31.527859709383456,0.0,0.903850907160912,0.913613756497701,0.8978240388744282,0.9127446199363133
meetroom,uniform,4,81,21,0.25925925925925924,0.11848958333333333,0.11863458892445505,0.07627582550048828,10076188,6478461,35.70523892567308,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/meetroom_uniform_gap4_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/meetroom_uniform_gap4_q8_zlib.mdfcgs,0.0,0.0,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors,29.545145261528557,29.643505213208805,0.0983599516802478,28.875360995491146,29.008146930259482,0.13278593476833578,31.45881459306401,31.45881459306401,0.0,0.8983123008115792,0.9093653522891763,0.8927149067322413,0.9076365262269974
meetroom,rendered_prior_0p1,4,81,21,0.25925925925925924,0.11848958333333333,0.11863458892445505,0.07627582550048828,10076188,6478461,35.70523892567308,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/meetroom_rendered_prior_0p1_gap4_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage49_extended_adaptive_rd/meetroom_rendered_prior_0p1_gap4_q8_zlib.mdfcgs,0.0,0.0,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,0.07750648719957098,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors,29.545145261528557,29.643505213208805,0.0983599516802478,28.875360995491146,29.008146930259482,0.13278593476833578,31.45881459306401,31.45881459306401,0.0,0.8983123008115792,0.9093653522891763,0.8927149067322413,0.9076365262269974
