target_key,category,sequence,target_index,adaptive_final_type,uniform_gap8_psnr,stage165_adaptive_psnr,uniform_gap4_psnr,adaptive_delta_psnr_vs_uniform_gap8,adaptive_delta_psnr_vs_uniform_gap4,uniform_gap8_lpips,stage165_adaptive_lpips,uniform_gap4_lpips,adaptive_delta_lpips_vs_uniform_gap8,adaptive_delta_lpips_vs_uniform_gap4,uniform_gap8_payload_bytes,stage165_adaptive_payload_bytes,uniform_gap4_payload_bytes
bike-packing:00011,false_negative_residual,bike-packing,11,middle_recovery,25.622482706829217,25.622482706829217,26.182696699719585,0.0,-0.5602139928903682,0.2319265902042389,0.2319265902042389,0.20223389565944672,0.0,0.029692694544792175,180774.0,180774.0,167178.0
bike-packing:00026,false_negative_residual,bike-packing,26,middle_recovery,25.04849410359389,25.04849410359389,25.009165401284168,0.0,0.03932870230972085,0.19343437254428864,0.19343437254428864,0.19825026392936707,0.0,-0.00481589138507843,159176.0,159176.0,165579.0
bike-packing:00046,positive_promoted_extension,bike-packing,46,q12_target_keyframe,26.028224454433442,26.201655199688936,25.72814190108804,0.1734307452554944,0.47351329860089564,0.17925328016281128,0.16041170060634613,0.19889308512210846,-0.01884157955646515,-0.03848138451576233,239630.0,0.0,211478.0
blackswan:00010,high_payload_residual_control,blackswan,10,middle_recovery,29.820765753596852,29.820765753596852,29.774708175547254,0.0,0.046057578049598646,0.1637483835220337,0.1637483835220337,0.16632652282714844,0.0,-0.002578139305114746,238863.0,238863.0,239072.0
blackswan:00021,high_payload_residual_control_extension,blackswan,21,middle_recovery,29.532253410680767,29.532253410680767,29.993041439257844,0.0,-0.46078802857707757,0.18338865041732788,0.18338865041732788,0.1594529002904892,0.0,0.023935750126838684,231887.0,231887.0,224833.0
blackswan:00023,high_payload_residual_control_extension,blackswan,23,middle_recovery,30.283530221824208,30.283530221824208,30.29329210357583,0.0,-0.00976188175162207,0.15252235531806946,0.15252235531806946,0.15124574303627014,0.0,0.0012766122817993164,224272.0,224272.0,228000.0
blackswan:00035,high_payload_residual_control_extension,blackswan,35,middle_recovery,29.643894551920273,29.643894551920273,29.93624604505344,0.0,-0.2923514931331681,0.17870968580245972,0.17870968580245972,0.162162184715271,0.0,0.01654750108718872,236919.0,236919.0,226344.0
breakdance:00006,false_negative_residual,breakdance,6,middle_recovery,25.242663608239635,25.242663608239635,25.43353421114179,0.0,-0.19087060290215518,0.1973235011100769,0.1973235011100769,0.17762990295886993,0.0,0.01969359815120697,142447.0,142447.0,146547.0
breakdance:00025,false_negative_residual,breakdance,25,middle_recovery,25.860161576534495,25.860161576534495,25.713629052613758,0.0,0.14653252392073668,0.1530057042837143,0.1530057042837143,0.16875958442687988,0.0,-0.01575388014316559,120437.0,120437.0,121358.0
breakdance:00055,false_negative_residual,breakdance,55,middle_recovery,25.646853679285627,25.646853679285627,25.543566837921947,0.0,0.10328684136367983,0.16487006843090057,0.16487006843090057,0.17139467597007751,0.0,-0.006524607539176941,124240.0,124240.0,126100.0
breakdance:00061,false_negative_residual,breakdance,61,middle_recovery,25.42756354330215,25.42756354330215,25.777127938056964,0.0,-0.3495643947548146,0.17937248945236206,0.17937248945236206,0.16307392716407776,0.0,0.016298562288284302,155857.0,155857.0,120633.0
camel:00047,positive_promoted,camel,47,q12_target_keyframe,25.63080698204644,25.67376262905522,25.6279590122115,0.042955647008778186,0.04580361684371681,0.18640795350074768,0.1785331666469574,0.18633119761943817,-0.007874786853790283,-0.007798030972480774,228886.0,0.0,230502.0
camel:00051,positive_promoted_extension,camel,51,q12_target_keyframe,25.462231766778423,25.600132613179596,25.53339946053153,0.13790084640117328,0.0667331526480659,0.1916840374469757,0.18335258960723877,0.18961508572101593,-0.008331447839736938,-0.006262496113777161,249508.0,0.0,225503.0
camel:00075,positive_promoted,camel,75,q12_target_keyframe,25.335479237043415,25.397419219921126,25.347832098161827,0.06193998287771052,0.04958712175929847,0.1993795931339264,0.1921868622303009,0.1988976001739502,-0.007192730903625488,-0.006710737943649292,244271.0,0.0,209494.0
car-roundabout:00029,positive_promoted,car-roundabout,29,q12_target_keyframe,27.358873991637168,27.788394820546216,27.663026726106743,0.4295208289090482,0.12536809443947305,0.16709744930267334,0.13082319498062134,0.14895430207252502,-0.036274254322052,-0.018131107091903687,238748.0,0.0,222153.0
car-roundabout:00059,positive_promoted,car-roundabout,59,q12_target_keyframe,25.83436466326493,26.08171852522942,25.98485821152527,0.24735386196448772,0.09686031370414838,0.16122722625732422,0.13702422380447388,0.1529761403799057,-0.024203002452850342,-0.015951916575431824,243263.0,0.0,224613.0
cows:00019,positive_promoted,cows,19,q12_target_keyframe,24.683578335685752,24.745207711863518,24.70318608724209,0.061629376177766204,0.04202162462142667,0.20931853353977203,0.203828826546669,0.20844119787216187,-0.005489706993103027,-0.004612371325492859,238528.0,0.0,225030.0
cows:00042,positive_promoted_extension,cows,42,q12_target_keyframe,24.676416846228694,24.803061292307227,24.57382531762606,0.12664444607853298,0.22923597468116697,0.21696004271507263,0.20999354124069214,0.2170761227607727,-0.006966501474380493,-0.007082581520080566,215843.0,0.0,211346.0
cows:00060,positive_promoted,cows,60,q12_target_keyframe,24.68471859771818,24.83721590775727,24.83721590775727,0.15249731003908806,0.0,0.20881597697734833,0.20389516651630402,0.20389516651630402,-0.0049208104610443115,0.0,231584.0,0.0,0.0
dance-twirl:00066,false_negative_residual,dance-twirl,66,middle_recovery,26.210709813221435,26.122999794968553,26.122999794968553,-0.08771001825288138,0.0,0.26627326011657715,0.2735501527786255,0.2735501527786255,0.00727689266204834,0.0,200324.0,197156.0,197156.0
dance-twirl:00068,positive_promoted_extension,dance-twirl,68,q12_target_keyframe,26.483361587273105,27.017210746533372,27.017210746533372,0.5338491592602672,0.0,0.2708978056907654,0.22935819625854492,0.22935819625854492,-0.04153960943222046,0.0,212763.0,0.0,0.0
dance-twirl:00082,positive_promoted_extension,dance-twirl,82,q12_target_keyframe,27.54126416196803,27.903029205020676,27.389016543533767,0.361765043052646,0.5140126614869089,0.2156399041414261,0.18091200292110443,0.2247844934463501,-0.034727901220321655,-0.043872490525245667,220569.0,0.0,215387.0
dog:00006,high_payload_residual_control,dog,6,middle_recovery,31.70441138775616,31.79914914562881,31.48631829272292,0.09473775787265026,0.31283085290588986,0.13781623542308807,0.13357289135456085,0.15496239066123962,-0.004243344068527222,-0.021389499306678772,231368.0,237480.0,233064.0
dog:00017,high_payload_residual_control,dog,17,middle_recovery,30.338584311034364,30.338584311034364,30.263989567847865,0.0,0.07459474318649839,0.16765959560871124,0.16765959560871124,0.1706315129995346,0.0,-0.0029719173908233643,234327.0,234327.0,234218.0
dogs-jump:00010,selector_false_positive_keyframe_control,dogs-jump,10,q12_target_keyframe,31.59162098659429,32.6332003134894,31.87607084507757,1.041579326895107,0.7571294684118257,0.181843563914299,0.10117612779140472,0.17143702507019043,-0.08066743612289429,-0.0702608972787857,155854.0,0.0,170048.0
dogs-jump:00020,false_negative_residual,dogs-jump,20,middle_recovery,30.57019814002359,30.57019814002359,32.36904605217908,0.0,-1.798847912155491,0.2771647870540619,0.2771647870540619,0.11103986948728561,0.0,0.16612491756677628,167862.0,167862.0,0.0
drift-chicane:00006,selector_false_positive_keyframe_control,drift-chicane,6,q12_target_keyframe,30.261442307228403,30.426745929572135,30.38820115093291,0.16530362234373186,0.03854477863922412,0.18118873238563538,0.15662918984889984,0.19082926213741302,-0.024559542536735535,-0.034200072288513184,124854.0,0.0,128347.0
drift-chicane:00035,selector_false_positive_keyframe_control,drift-chicane,35,q12_target_keyframe,30.314249778415828,30.51404163443291,30.389364799075622,0.19979185601708238,0.12467683535728824,0.20931608974933624,0.1570097804069519,0.17147435247898102,-0.05230630934238434,-0.014464572072029114,136072.0,0.0,108987.0
gold-fish:00002,normal_residual_control,gold-fish,2,middle_recovery,33.516296096969164,33.516296096969164,33.491265520373915,0.0,0.025030576595248988,0.07747763395309448,0.07747763395309448,0.07862904667854309,0.0,-0.0011514127254486084,213123.0,213123.0,215749.0
gold-fish:00049,normal_residual_control,gold-fish,49,middle_recovery,33.37035851948761,33.37035851948761,33.35466764233975,0.0,0.015690877147861215,0.07448727637529373,0.07448727637529373,0.07521992921829224,0.0,-0.0007326528429985046,184199.0,184199.0,185164.0
gold-fish:00055,normal_residual_control,gold-fish,55,middle_recovery,33.304551467092345,33.304551467092345,33.303051185573665,0.0,0.0015002815186804241,0.07445908337831497,0.07445908337831497,0.07468410581350327,0.0,-0.00022502243518829346,185201.0,185201.0,186524.0
gold-fish:00070,normal_residual_control,gold-fish,70,middle_recovery,33.43463997708507,33.43463997708507,33.52168948008948,0.0,-0.08704950300440828,0.07719160616397858,0.07719160616397858,0.08349402248859406,0.0,-0.0063024163246154785,192241.0,192241.0,195876.0
horsejump-high:00015,selector_false_positive_keyframe_control,horsejump-high,15,q12_target_keyframe,28.119707176231408,28.29748915560141,28.099262144365802,0.17778197937000328,0.19822701123560904,0.1598365157842636,0.13833294808864594,0.16000674664974213,-0.021503567695617676,-0.02167379856109619,213145.0,0.0,210595.0
horsejump-high:00046,high_payload_residual_control_extension,horsejump-high,46,middle_recovery,27.609750083354182,27.609750083354182,27.626824875422624,0.0,-0.01707479206844198,0.15531954169273376,0.15531954169273376,0.15468835830688477,0.0,0.000631183385848999,220046.0,220046.0,220517.0
india:00027,positive_promoted,india,27,q12_target_keyframe,31.727685844595296,33.96997746758113,32.98135810794082,2.242291622985835,0.9886193596403103,0.23860138654708862,0.09175875782966614,0.17582623660564423,-0.14684262871742249,-0.08406747877597809,233735.0,0.0,221610.0
india:00030,positive_promoted,india,30,q12_target_keyframe,32.04372980040284,34.30541366588323,31.833316061805085,2.2616838654803857,2.4720976040781437,0.24491067230701447,0.09583662450313568,0.2481166124343872,-0.14907404780387878,-0.15227998793125153,230255.0,0.0,237655.0
lab-coat:00010,high_payload_residual_control_extension,lab-coat,10,middle_recovery,28.29881826100862,28.29881826100862,28.26420284277614,0.0,0.034615418232480266,0.17790499329566956,0.17790499329566956,0.17963165044784546,0.0,-0.0017266571521759033,217729.0,217729.0,225545.0
libby:00018,high_payload_residual_control,libby,18,middle_recovery,32.2933298708418,33.46085017636697,32.7872643629876,1.1675203055251657,0.6735858133793684,0.20074515044689178,0.13682487607002258,0.17209970951080322,-0.0639202743768692,-0.03527483344078064,251498.0,246279.0,257925.0
motocross-jump:00013,positive_promoted,motocross-jump,13,q12_target_keyframe,31.063829825022648,36.00498298727014,33.23198281080156,4.941153162247492,2.773000176468578,0.3191358745098114,0.0848405584692955,0.2331462800502777,-0.2342953160405159,-0.1483057215809822,263358.0,0.0,244937.0
motocross-jump:00022,positive_promoted,motocross-jump,22,q12_target_keyframe,32.51566190094791,34.7230078658803,30.119209546194526,2.2073459649323866,4.603798319685772,0.24619509279727936,0.0886726826429367,0.33573687076568604,-0.15752241015434265,-0.24706418812274933,247999.0,0.0,253183.0
motocross-jump:00023,positive_promoted_extension,motocross-jump,23,q12_target_keyframe,33.73711967135464,34.72708118783171,32.663031483960296,0.9899615164770665,2.0640497038714116,0.19372843205928802,0.09358599781990051,0.265142023563385,-0.10014243423938751,-0.1715560257434845,236236.0,0.0,241694.0
paragliding-launch:00018,high_payload_residual_control_extension,paragliding-launch,18,middle_recovery,29.26343582576235,29.26343582576235,29.18206116843764,0.0,0.08137465732470872,0.200591042637825,0.200591042637825,0.20101866126060486,0.0,-0.0004276186227798462,222111.0,222111.0,217607.0
parkour:00015,high_payload_residual_control_extension,parkour,15,middle_recovery,29.32513033444037,29.32513033444037,29.319853135921633,0.0,0.005277198518736981,0.16706347465515137,0.16706347465515137,0.1671568751335144,0.0,-9.340047836303711e-05,220588.0,220588.0,223015.0
parkour:00087,positive_promoted_extension,parkour,87,q12_target_keyframe,25.783851442535276,25.920616846383414,25.729023406510624,0.13676540384813762,0.19159343987278987,0.20480650663375854,0.18988604843616486,0.209231898188591,-0.014920458197593689,-0.019345849752426147,218629.0,0.0,217363.0
parkour:00090,positive_promoted_extension,parkour,90,q12_target_keyframe,25.56769999688809,25.880542795571024,25.409730501702526,0.31284279868293297,0.470812293868498,0.22302022576332092,0.194299578666687,0.2288757860660553,-0.02872064709663391,-0.034576207399368286,223869.0,0.0,229963.0
