group,schedule,target_count,keyframe_count,middle_recovery_count,mean_psnr,p10_psnr,mean_ssim,mean_ms_ssim,mean_lpips,p90_lpips,mean_payload_bytes_per_target
false_negative_residual,stage165_adaptive,8,0,8,26.192677144097143,25.184412756845912,0.8337735459208488,0.9814087599515915,0.2088309582322836,0.2746345430612564,155993.625
false_negative_residual,uniform_gap4,8,1,7,26.518970748485728,25.306223568184503,0.8499514982104301,0.9842545315623283,0.18324153404682875,0.22362877279520033,130568.875
false_negative_residual,uniform_gap8,8,0,8,26.203640896378754,25.184412756845912,0.8343665823340416,0.9815688729286194,0.20792134664952755,0.26954071819782255,156389.625
high_payload_residual_control,stage165_adaptive,4,0,4,31.35483734665675,29.976111320828107,0.8907568752765656,0.9871875941753387,0.1504514366388321,0.16648623198270798,239237.25
high_payload_residual_control,uniform_gap4,4,0,4,31.07807009977641,29.92149259323744,0.8811613470315933,0.9859860688447952,0.16600503399968147,0.17165925055742265,241069.75
high_payload_residual_control,uniform_gap8,4,0,4,31.039272830807295,29.976111320828107,0.8808263838291168,0.9858412444591522,0.1674923412501812,0.19081948399543763,239014.0
high_payload_residual_control_extension,stage165_adaptive,8,0,8,29.53971001977139,28.09209780771229,0.8629022240638733,0.9834175109863281,0.17348034121096134,0.18854936808347703,225694.75
high_payload_residual_control_extension,uniform_gap4,8,1,7,29.83157446034462,28.072989452570084,0.8728113546967506,0.9850494936108589,0.15902431961148977,0.18604775369167328,195732.625
high_payload_residual_control_extension,uniform_gap8,8,0,8,29.53971001977139,28.09209780771229,0.8629022240638733,0.9834175109863281,0.17348034121096134,0.18854936808347703,225694.75
normal_residual_control,stage165_adaptive,4,0,4,33.406461515158554,33.324293582810924,0.9053240418434143,0.9819346815347672,0.07590389996767044,0.07739182561635971,193691.0
normal_residual_control,uniform_gap4,4,0,4,33.4176684570942,33.31853612260349,0.9040640145540237,0.981686994433403,0.07800677604973316,0.08203452974557876,195828.25
normal_residual_control,uniform_gap8,4,0,4,33.406461515158554,33.324293582810924,0.9053240418434143,0.9819346815347672,0.07590389996767044,0.07739182561635971,193691.0
overall,stage165_adaptive,50,26,24,29.21709585981302,25.22324665777506,0.87020152926445,0.9855554819107055,0.15723393142223357,0.20450500398874283,95704.4
overall,uniform_gap4,50,6,44,28.94581399778479,25.108180902910433,0.860082415342331,0.9833611023426055,0.17760952532291413,0.2297370046377182,181242.24
overall,uniform_gap8,50,0,50,28.7569272347847,25.13005171692417,0.8533423745632172,0.9821501553058625,0.1894791081547737,0.24820290952920918,211348.72
positive_promoted,stage165_adaptive,14,14,0,29.716120950916423,24.84578269499347,0.8885435674871717,0.9887821972370148,0.13591693767479487,0.2003362372517586,0.0
positive_promoted,uniform_gap4,14,3,11,28.83622183501259,24.84578269499347,0.8584268476281848,0.9828994572162628,0.19354129422988212,0.24362551271915436,180956.92857142858
positive_promoted,uniform_gap8,14,0,14,28.46781620358865,24.683920414295482,0.8460659725325448,0.9809922533375877,0.21578441453831537,0.27523915916681296,238069.2142857143
positive_promoted_extension,stage165_adaptive,8,8,0,27.256666235814496,25.361011216917884,0.8405048251152039,0.9851137399673462,0.18022495694458485,0.21580293774604797,0.0
positive_promoted_extension,uniform_gap4,8,1,7,26.755422420185777,25.158958946479586,0.8169771656394005,0.9802653715014458,0.22037208639085293,0.24009334444999694,194091.75
positive_promoted_extension,uniform_gap8,8,0,8,26.910021240932466,25.226487290613505,0.8239787071943283,0.980747252702713,0.21199877932667732,0.23738349974155426,227130.875
selector_false_positive_keyframe_control,stage165_adaptive,4,4,0,30.467869258273964,28.93626618779263,0.897174522280693,0.9897035360336304,0.1382870115339756,0.15689560323953627,0.0
selector_false_positive_keyframe_control,uniform_gap4,4,0,4,30.188224734862978,28.785943846335936,0.8818308264017105,0.9850538223981857,0.17343684658408165,0.18502278923988344,154494.25
selector_false_positive_keyframe_control,uniform_gap8,4,0,4,30.071755062117482,28.762227715530507,0.8769033253192902,0.9841608554124832,0.18304622545838356,0.20107433199882507,157481.25
