group,target_count,adaptive_keyframe_count,mean_uniform_gap8_psnr,mean_stage165_adaptive_psnr,mean_uniform_gap4_psnr,mean_delta_psnr_vs_gap8,mean_delta_psnr_vs_gap4,mean_delta_lpips_vs_gap8,mean_delta_lpips_vs_gap4
false_negative_residual,8,0,26.203640896378754,26.192677144097143,26.518970748485728,-0.010963752281610173,-0.32629360438858646,0.0009096115827560425,0.025589424185454845
high_payload_residual_control,4,0,31.039272830807295,31.35483734665675,31.07807009977641,0.315564515849454,0.2767672468803388,-0.017040904611349106,-0.01555359736084938
high_payload_residual_control_extension,8,0,29.53971001977139,29.53971001977139,29.83157446034462,0.0,-0.291864440573228,0.0,0.014456021599471569
normal_residual_control,4,0,33.406461515158554,33.406461515158554,33.4176684570942,0.0,-0.011206941935654413,0.0,-0.0021028760820627213
overall,50,26,28.7569272347847,29.21709585981302,28.94581399778479,0.4601686250283185,0.27128186202823,-0.03224517673254013,-0.02037559390068054
positive_promoted,14,14,28.46781620358865,29.716120950916423,28.83622183501259,1.2483047473277724,0.8798991159038282,-0.07986747686352048,-0.05762435655508723
positive_promoted_extension,8,8,26.910021240932466,27.256666235814496,26.755422420185777,0.3466449948820314,0.5012438156287171,-0.031773822382092476,-0.04014712944626808
selector_false_positive_keyframe_control,4,4,30.071755062117482,30.467869258273964,30.188224734862978,0.39611419615648114,0.2796445234109868,-0.04475921392440796,-0.03514983505010605
