target_key,category,sequence,target_index,schedule,final_type,row_source,psnr,ssim,ms_ssim,lpips,payload_bytes,status_note
bike-packing:00011,false_negative_residual,bike-packing,11,uniform_gap8,middle_recovery,stage170,25.622482706829217,0.7986683249473572,0.9771068096160889,0.2319265902042389,180774.0,Stage174 rendered/reused middle recovery
bike-packing:00011,false_negative_residual,bike-packing,11,stage165_adaptive,middle_recovery,stage170,25.622482706829217,0.7986683249473572,0.9771068096160889,0.2319265902042389,180774.0,Stage174 rendered/reused middle recovery
bike-packing:00011,false_negative_residual,bike-packing,11,uniform_gap4,middle_recovery,stage170,26.182696699719585,0.8381914496421814,0.9832944869995117,0.20223389565944672,167178.0,Stage174 rendered/reused middle recovery
bike-packing:00026,false_negative_residual,bike-packing,26,uniform_gap8,middle_recovery,stage170,25.04849410359389,0.8315314650535583,0.982702910900116,0.19343437254428864,159176.0,Stage174 rendered/reused middle recovery
bike-packing:00026,false_negative_residual,bike-packing,26,stage165_adaptive,middle_recovery,stage170,25.04849410359389,0.8315314650535583,0.982702910900116,0.19343437254428864,159176.0,Stage174 rendered/reused middle recovery
bike-packing:00026,false_negative_residual,bike-packing,26,uniform_gap4,middle_recovery,stage170,25.009165401284168,0.825884997844696,0.9821392893791199,0.19825026392936707,165579.0,Stage174 rendered/reused middle recovery
bike-packing:00046,positive_promoted_extension,bike-packing,46,uniform_gap8,middle_recovery,stage174_rendered,26.028224454433442,0.8463454246520996,0.983997106552124,0.17925328016281128,239630.0,Stage174 rendered/reused middle recovery
bike-packing:00046,positive_promoted_extension,bike-packing,46,stage165_adaptive,q12_target_keyframe,stage174_keyframe_marker,26.201655199688936,0.8600264191627502,0.9874252676963806,0.16041170060634613,0.0,Target is transmitted as q12 keyframe; PSNR is keyframe render quality
bike-packing:00046,positive_promoted_extension,bike-packing,46,uniform_gap4,middle_recovery,stage174_rendered,25.72814190108804,0.8251795768737793,0.9814755916595459,0.19889308512210846,211478.0,Stage174 rendered/reused middle recovery
blackswan:00010,high_payload_residual_control,blackswan,10,uniform_gap8,middle_recovery,stage170,29.820765753596852,0.8785794377326965,0.9860641360282898,0.1637483835220337,238863.0,Stage174 rendered/reused middle recovery
blackswan:00010,high_payload_residual_control,blackswan,10,stage165_adaptive,middle_recovery,stage170,29.820765753596852,0.8785794377326965,0.9860641360282898,0.1637483835220337,238863.0,Stage174 rendered/reused middle recovery
blackswan:00010,high_payload_residual_control,blackswan,10,uniform_gap4,middle_recovery,stage170,29.774708175547254,0.8754997253417969,0.9857913851737976,0.16632652282714844,239072.0,Stage174 rendered/reused middle recovery
