sample,codec,bits,frame_gap,method,total_frames,keyframe_count,keyframe_ratio,static_anchor_mib,static_anchor_mib_with_metadata,static_anchor_mib_per_frame,static_anchor_mib_per_frame_with_metadata,all_psnr,middle_psnr,given_psnr,all_ssim,middle_ssim,given_ssim
DAVIS/val/bmx-trees,q8,8,4,linear,80,21,0.2625,0.45703125,0.4570808410644531,0.119970703125,0.11998372077941895,19.72716646774132,16.77291952335974,28.027193597194323,0.3761263554915786,0.22300021602945813,0.8063378901708693
DAVIS/val/bmx-trees,q8,8,4,adapter,80,21,0.2625,0.45703125,0.4570808410644531,0.119970703125,0.11998372077941895,20.070097715317623,17.23791104549711,28.027193597194323,0.41618807036429645,0.2773211853483976,0.8063378901708693
DAVIS/val/bmx-trees,q8,8,8,linear,80,11,0.1375,0.45703125,0.4570808410644531,0.062841796875,0.06284861564636231,17.509492299488954,15.823413719914832,28.08580338954481,0.2868175458163023,0.20430489078811978,0.80439692735672
DAVIS/val/bmx-trees,q8,8,8,adapter,80,11,0.1375,0.45703125,0.4570808410644531,0.062841796875,0.06284861564636231,17.822039666501944,16.18578747877047,28.08580338954481,0.330829001031816,0.25533266495103424,0.80439692735672
DAVIS/val/bmx-trees,q8,8,16,linear,80,6,0.075,0.45703125,0.4570808410644531,0.03427734375,0.03428106307983399,15.868150419292437,14.883460487453016,28.012659578645298,0.23154951883479952,0.18573174071875778,0.7966354489326477
DAVIS/val/bmx-trees,q8,8,16,adapter,80,6,0.075,0.45703125,0.4570808410644531,0.03427734375,0.03428106307983399,16.10083832134726,15.135014976160932,28.012659578645298,0.274620708450675,0.2322951889521367,0.7966354489326477
DAVIS/val/bmx-trees,q10,10,4,linear,80,21,0.2625,0.5712890625,0.5713386535644531,0.14996337890625,0.14997639656066894,20.32605803238488,16.797991795828622,30.238244125566737,0.40643923413008454,0.23736990685180082,0.8814435345785958
DAVIS/val/bmx-trees,q10,10,4,adapter,80,21,0.2625,0.5712890625,0.5713386535644531,0.14996337890625,0.14997639656066894,20.651345960784205,17.23906017331923,30.238244125566737,0.43830501325428484,0.28057774295241145,0.8814435345785958
DAVIS/val/bmx-trees,q10,10,8,linear,80,11,0.1375,0.5712890625,0.5713386535644531,0.07855224609375,0.0785590648651123,17.82623523579546,15.838451294619217,30.295061775900987,0.3079603401944041,0.21668357585651288,0.8805145892229947
DAVIS/val/bmx-trees,q10,10,8,adapter,80,11,0.1375,0.5712890625,0.5713386535644531,0.07855224609375,0.0785590648651123,18.12421949817312,16.183940294477374,30.295061775900987,0.34353229217231274,0.2579264187294504,0.8805145892229947
DAVIS/val/bmx-trees,q10,10,16,linear,80,6,0.075,0.5712890625,0.5713386535644531,0.0428466796875,0.042850399017333986,16.03945507797057,14.884811763021878,30.280055962337745,0.24696204159408808,0.1960673245626527,0.8746635516484579
DAVIS/val/bmx-trees,q10,10,16,adapter,80,6,0.075,0.5712890625,0.5713386535644531,0.0428466796875,0.042850399017333986,16.265197204226816,15.12885730492052,30.280055962337745,0.28218211624771355,0.2341430809449505,0.8746635516484579
DAVIS/val/bmx-trees,q12,12,4,linear,80,21,0.2625,0.685546875,0.6855964660644531,0.1799560546875,0.17996907234191895,20.423479233082457,16.800423354350812,30.60254098761422,0.41108836848288777,0.2393183124772573,0.8936804305939448
DAVIS/val/bmx-trees,q12,12,4,adapter,80,21,0.2625,0.685546875,0.6855964660644531,0.1799560546875,0.17996907234191895,20.746548118626244,17.23848286017289,30.60254098761422,0.44161019306629895,0.28070383733612,0.8936804305939448
