task_id,sequence,codec,reference_gap,target_index,base_method,selector_policy,selected_candidate,keep_fraction,side_bits,zlib_level,keep_gaussians,raw_deterministic_payload_bytes,compressed_deterministic_payload_bytes,raw_deterministic_mib_per_intermediate_frame,compressed_deterministic_mib_per_intermediate_frame,compressed_savings_bytes_vs_raw,compressed_ratio_vs_raw,metadata_zlib_bytes,residual_zlib_bytes,omitted_index_bytes_vs_fixed_aligned,stage96_entropy_reference_bytes,stage96_entropy_reference_mib_per_intermediate_frame,compressed_minus_stage96_entropy_reference_bytes,compressed_ratio_vs_stage96_entropy_reference,compressed_below_stage96_entropy_reference,decoded_max_abs_diff_vs_raw_deterministic,comparison_note
stage79_00021399,bike-packing,q12,16,9,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.1,8,9,3686,47988,33906,0.045764923095703125,0.03233528137207031,14082,0.7065516379094774,50,33830,7372,30239.565217391304,0.028838696687117867,3666.434782608696,1.1212462797084155,0,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.15,2,9,5530,18043,8657,0.01720714569091797,0.008255958557128906,9386,0.47979825971290807,50,8581,11060,30239.565217391304,0.028838696687117867,-21582.565217391304,0.2862805710917169,1,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.15,3,9,5530,27029,17646,0.02577686309814453,0.016828536987304688,9383,0.6528543416330608,50,17570,11060,30239.565217391304,0.028838696687117867,-12593.565217391304,0.5835401360152981,1,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.15,4,9,5530,36015,21906,0.034346580505371094,0.020891189575195312,14109,0.6082465639316951,50,21830,11060,30239.565217391304,0.028838696687117867,-8333.565217391304,0.7244151773518713,1,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.15,5,9,5530,45002,34742,0.04291725158691406,0.03313255310058594,10260,0.7720101328829829,50,34666,11060,30239.565217391304,0.028838696687117867,4502.434782608696,1.1488921798392546,0,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.15,6,9,5530,53988,41201,0.051486968994140625,0.039292335510253906,12787,0.7631510706082834,50,41125,11060,30239.565217391304,0.028838696687117867,10961.434782608696,1.3624865206826646,0,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.15,8,9,5530,71960,50333,0.06862640380859375,0.04800128936767578,21627,0.6994580322401334,50,50257,11060,30239.565217391304,0.028838696687117867,20093.434782608696,1.6644749895759947,0,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.2,2,9,7373,24033,11577,0.022919654846191406,0.011040687561035156,12456,0.4817126451129697,50,11501,14746,30239.565217391304,0.028838696687117867,-18662.565217391304,0.3828428059984759,1,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.2,3,9,7373,36014,22701,0.03434562683105469,0.02164936065673828,13313,0.6303382018104071,50,22625,14746,30239.565217391304,0.028838696687117867,-7538.565217391304,0.7507052378829924,1,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.2,4,9,7373,47995,28002,0.04577159881591797,0.026704788208007812,19993,0.58343577455985,50,27926,14746,30239.565217391304,0.028838696687117867,-2237.565217391304,0.9260053773489957,1,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.2,5,9,7373,59976,45420,0.05719757080078125,0.043315887451171875,14556,0.7573029211684674,50,45344,14746,30239.565217391304,0.028838696687117867,15180.434782608696,1.5020057224195196,0,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.2,6,9,7373,71957,53976,0.06862354278564453,0.05147552490234375,17981,0.7501146518059396,50,53900,14746,30239.565217391304,0.028838696687117867,23736.434782608696,1.7849462983997355,0,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,linear,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.2,8,9,7373,95919,65930,0.0914754867553711,0.06287574768066406,29989,0.6873507855586485,50,65854,14746,30239.565217391304,0.028838696687117867,35690.434782608696,2.180256214863913,0,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.025,2,9,922,3067,2161,0.0029249191284179688,0.0020608901977539062,906,0.7045973263775677,63,2072,1844,35406.434782608696,0.03376620748768682,-33245.434782608696,0.06103410335630467,1,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.025,3,9,922,4565,3907,0.004353523254394531,0.0037260055541992188,658,0.8558598028477546,63,3818,1844,35406.434782608696,0.03376620748768682,-31499.434782608696,0.1103471734442769,1,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.025,4,9,922,6063,4990,0.005782127380371094,0.0047588348388671875,1073,0.8230249051624609,63,4901,1844,35406.434782608696,0.03376620748768682,-30416.434782608696,0.1409348337565758,1,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.025,5,9,922,7562,7256,0.0072116851806640625,0.00691986083984375,306,0.9595345146786565,63,7167,1844,35406.434782608696,0.03376620748768682,-28150.434782608696,0.2049344997470369,1,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.025,6,9,922,9060,8506,0.008640289306640625,0.008111953735351562,554,0.9388520971302429,63,8417,1844,35406.434782608696,0.03376620748768682,-26900.434782608696,0.24023881682032744,1,0.0,cross_setting_rate_only_quality_unknown
stage79_00021399,bike-packing,q12,16,9,stage65_adapter,strict_safe_endpoint_selector_v1,endpoint_diff_baseline,0.025,8,9,922,12056,10627,0.01149749755859375,0.010134696960449219,1429,0.8814698075646981,63,10538,1844,35406.434782608696,0.03376620748768682,-24779.434782608696,0.3001431820302868,1,0.0,cross_setting_rate_only_quality_unknown
