stage97_task_id,source_task_id,task_split,sequence,codec,reference_gap,target_index,base_method,feature_mode,objective,candidate,keep_fraction,keep_gaussians,precision_at_keep,energy_recall_total,oracle_energy_recall_total,relative_energy_recall_vs_oracle
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,linear,stage100_base,energy_regression,mlp_selector,0.1,3686,0.34210526943206787,0.3136904239654541,0.7609845399856567,0.41221654415130615
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,linear,gap_endpoint_norms,topk_bce,mlp_selector,0.1,3686,0.35105806589126587,0.3316793739795685,0.7609845399856567,0.43585559725761414
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,linear,gap_endpoint_norms,energy_regression,mlp_selector,0.1,3686,0.34508952498435974,0.31698599457740784,0.7609845399856567,0.4165472090244293
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,linear,gap_endpoint_rank,topk_bce,mlp_selector,0.1,3686,0.34943026304244995,0.3286304175853729,0.7609845399856567,0.43184900283813477
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,linear,gap_endpoint_rank,energy_regression,mlp_selector,0.1,3686,0.34264785051345825,0.3138154149055481,0.7609845399856567,0.41238081455230713
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,stage65_adapter,endpoint_only,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.227618008852005,0.13455955684185028,0.297005832195282,0.4530535936355591
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,stage65_adapter,stage100_base,topk_bce,mlp_selector,0.1,3686,0.43678784370422363,0.19009670615196228,0.297005832195282,0.6400436758995056
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,stage65_adapter,stage100_base,energy_regression,mlp_selector,0.1,3686,0.43190449476242065,0.18848438560962677,0.297005832195282,0.6346151232719421
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,stage65_adapter,gap_endpoint_norms,topk_bce,mlp_selector,0.1,3686,0.4397720992565155,0.19081760942935944,0.297005832195282,0.6424708962440491
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,stage65_adapter,gap_endpoint_norms,energy_regression,mlp_selector,0.1,3686,0.42973414063453674,0.18766067922115326,0.297005832195282,0.6318417191505432
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,stage65_adapter,gap_endpoint_rank,topk_bce,mlp_selector,0.1,3686,0.43163320422172546,0.18932276964187622,0.297005832195282,0.6374378800392151
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,stage65_adapter,gap_endpoint_rank,energy_regression,mlp_selector,0.1,3686,0.42783504724502563,0.186997652053833,0.297005832195282,0.6296093463897705
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,linear,endpoint_only,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.1918068379163742,0.15955351293087006,0.5060114860534668,0.31531599164009094
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,linear,stage100_base,topk_bce,mlp_selector,0.1,3686,0.20862723886966705,0.1885807365179062,0.5060114860534668,0.37268075346946716
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,linear,stage100_base,energy_regression,mlp_selector,0.1,3686,0.21161150932312012,0.18446820974349976,0.5060114860534668,0.36455339193344116
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,linear,gap_endpoint_norms,topk_bce,mlp_selector,0.1,3686,0.21920780837535858,0.19348452985286713,0.5060114860534668,0.38237181305885315
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,linear,gap_endpoint_norms,energy_regression,mlp_selector,0.1,3686,0.21269668638706207,0.18371860682964325,0.5060114860534668,0.363072007894516
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,linear,gap_endpoint_rank,topk_bce,mlp_selector,0.1,3686,0.2097124308347702,0.1850447654724121,0.5060114860534668,0.3656928241252899
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,linear,gap_endpoint_rank,energy_regression,mlp_selector,0.1,3686,0.21486707031726837,0.18426379561424255,0.5060114860534668,0.36414942145347595
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,stage65_adapter,endpoint_only,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.17091698944568634,0.1086612194776535,0.19262994825839996,0.5640930533409119
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,stage65_adapter,stage100_base,topk_bce,mlp_selector,0.1,3686,0.36245253682136536,0.13611143827438354,0.19262994825839996,0.7065954208374023
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,stage65_adapter,stage100_base,energy_regression,mlp_selector,0.1,3686,0.3282691240310669,0.13423393666744232,0.19262994825839996,0.6968487501144409
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,stage65_adapter,gap_endpoint_norms,topk_bce,mlp_selector,0.1,3686,0.34020617604255676,0.13331620395183563,0.19262994825839996,0.6920844912528992
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,stage65_adapter,gap_endpoint_norms,energy_regression,mlp_selector,0.1,3686,0.31361910700798035,0.1333007663488388,0.19262994825839996,0.692004382610321
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,stage65_adapter,gap_endpoint_rank,topk_bce,mlp_selector,0.1,3686,0.334237664937973,0.13254708051681519,0.19262994825839996,0.6880917549133301
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,stage65_adapter,gap_endpoint_rank,energy_regression,mlp_selector,0.1,3686,0.3331524729728699,0.13404497504234314,0.19262994825839996,0.6958677768707275
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,linear,endpoint_only,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.34074878692626953,0.3137834072113037,0.650629997253418,0.4822762608528137
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,linear,stage100_base,topk_bce,mlp_selector,0.1,3686,0.3922951817512512,0.3651553690433502,0.650629997253418,0.5612335205078125
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,linear,stage100_base,energy_regression,mlp_selector,0.1,3686,0.4042322337627411,0.365924596786499,0.650629997253418,0.5624158382415771
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,linear,gap_endpoint_norms,topk_bce,mlp_selector,0.1,3686,0.4045035243034363,0.36764711141586304,0.650629997253418,0.5650632381439209
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,linear,gap_endpoint_norms,energy_regression,mlp_selector,0.1,3686,0.40287575125694275,0.3655056357383728,0.650629997253418,0.5617718696594238
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,linear,gap_endpoint_rank,topk_bce,mlp_selector,0.1,3686,0.4104720652103424,0.36953315138816833,0.650629997253418,0.5679620504379272
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,linear,gap_endpoint_rank,energy_regression,mlp_selector,0.1,3686,0.40097665786743164,0.36385011672973633,0.650629997253418,0.5592274069786072
