sample,method,reference_gap,total_frames,keyframe_count,keyframe_ratio,estimated_q8_static_mib_per_frame,max_segment_length,mean_segment_length,segment_lengths,indices,linear_all_psnr,adapter_all_psnr,delta_all_psnr,linear_middle_psnr,adapter_middle_psnr,delta_middle_psnr,linear_given_psnr,adapter_given_psnr,delta_given_psnr,linear_all_ssim,adapter_all_ssim,linear_middle_ssim,adapter_middle_ssim,checkpoint
meetroom,segment_rd,16,81,6,0.07407407407407407,0.033854166666666664,20,16.0,20 20 20 8 12,0 20 40 60 68 80,25.509399677377576,25.54095192464753,0.031552247269953426,25.03300162534819,25.067078052399744,0.034076427051552116,31.46437532774493,31.46437532774493,0.0,0.8638446831408843,0.8769154062977543,0.8598035581906637,0.8739199392000834,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
driving,uniform,4,81,21,0.25925925925925924,0.11848958333333333,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,27.918159891285423,27.987355651411722,0.06919576012629847,26.337111877661762,26.430526153832265,0.09341427617050257,32.43543993021016,32.43543993021016,0.0,0.7710227694040463,0.7754659476103606,0.7283048699299495,0.7343031605084737,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
driving,segment_rd,4,81,21,0.25925925925925924,0.11848958333333333,6,4.0,2 2 2 3 2 2 3 3 5 5 5 5 5 5 6 5 5 5 5 5,0 2 4 6 9 11 13 16 19 24 29 34 39 44 49 55 60 65 70 75 80,27.880257692175658,27.946538634669388,0.06628094249373007,26.259824391098622,26.34930366346516,0.08947927236653896,32.510067123824335,32.510067123824335,0.0,0.7716364212978033,0.7761070985852936,0.729289577404658,0.7353249917427699,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
driving,uniform,8,81,11,0.13580246913580246,0.062065972222222224,8,8.0,8 8 8 8 8 8 8 8 8 8,0 8 16 24 32 40 48 56 64 72 80,25.722301850385016,25.776341229195026,0.05403937881001042,24.67251167422008,24.735042955414524,0.0625312811944454,32.40278478961645,32.40278478961645,0.0,0.70124500769156,0.7062944946465669,0.6711267301014492,0.6769697078636714,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
driving,segment_rd,8,81,11,0.13580246913580246,0.062065972222222224,12,8.0,4 5 4 6 9 11 9 12 11 9,0 4 9 13 19 28 39 48 60 71 80,25.558094966987703,25.600231588200728,0.042136621213025194,24.47621583230012,24.5249739225609,0.048758090260779596,32.44278036954505,32.44278036954505,0.0,0.69076771059154,0.6958359104615671,0.6592359610966274,0.6651005923748017,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
driving,uniform,16,81,6,0.07407407407407407,0.033854166666666664,16,16.0,16 16 16 16 16,0 16 32 48 64 80,23.76875803859573,23.804673762790383,0.03591572419465194,23.079622516033428,23.118411498163656,0.03878898213022808,32.38295207062447,32.38295207062447,0.0,0.6309859112456992,0.6359695516250752,0.610102678934733,0.615485010544459,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
driving,segment_rd,16,81,6,0.07407407407407407,0.033854166666666664,23,16.0,8 8 23 21 20,0 8 16 39 60 80,23.40568977204163,23.43454113693101,0.02885136488938045,22.684842247358254,22.716001721438783,0.031159474080528327,32.416283830583836,32.416283830583836,0.0,0.6122602209632779,0.6175293039392542,0.5899604431788127,0.595651052792867,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
robot,uniform,4,77,20,0.2597402597402597,0.11870941558441558,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76,25.1543985695563,25.19141168744805,0.03701311789174966,22.82414386674953,22.874144043550658,0.05000017680112734,31.795624472555602,31.795624472555602,0.0,0.7914315578225372,0.8025368839115291,0.757226942924031,0.7722288746582834,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/robot/stage25_best_anchor_adapter.safetensors
robot,segment_rd,4,77,20,0.2597402597402597,0.11870941558441558,8,4.0,5 4 4 6 3 2 4 6 4 2 2 2 3 5 4 3 7 8 2,0 5 9 13 19 22 24 28 34 38 40 42 44 47 52 56 59 66 74 76,25.244072500324293,25.270632109145488,0.026559608821195013,22.93630348803933,22.972182257850424,0.03587876981109517,31.82121418533645,31.82121418533645,0.0,0.7930729861383314,0.8041267975584253,0.7593718819450914,0.7743042236880252,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/robot/stage25_best_anchor_adapter.safetensors
robot,uniform,8,77,11,0.14285714285714285,0.06529017857142858,8,7.6,8 8 8 8 8 8 8 8 8 4,0 8 16 24 32 40 48 56 64 72 76,22.962144328620898,22.983025497793417,0.02088116917251881,21.488095166754647,21.51245653078925,0.024361364034604094,31.806439299818383,31.806439299818383,0.0,0.7515562130259229,0.7635170430332036,0.7284991479281223,0.7424534496032831,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/robot/stage25_best_anchor_adapter.safetensors
robot,segment_rd,8,77,11,0.14285714285714285,0.06529017857142858,11,7.6,9 4 6 8 11 4 3 11 11 9,0 9 13 19 27 38 42 45 56 67 76,22.60934503670214,22.623077330738987,0.013732294036845616,21.080129002850544,21.096150012560198,0.01602100970965381,31.78464123981172,31.78464123981172,0.0,0.7466800801165692,0.7585722293172564,0.7227555883653236,0.736629762432792,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/robot/stage25_best_anchor_adapter.safetensors
robot,uniform,16,77,6,0.07792207792207792,0.03561282467532467,16,15.2,16 16 16 16 12,0 16 32 48 64 76,21.422427755729462,21.42626162360916,0.003833867879698971,20.55028502701207,20.55444288372667,0.004157856714599006,31.742783378885278,31.742783378885278,0.0,0.7221902554685419,0.7349693775177002,0.7080584563000102,0.7219175041561395,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/robot/stage25_best_anchor_adapter.safetensors
robot,segment_rd,16,77,6,0.07792207792207792,0.03561282467532467,25,15.2,18 9 11 13 25,0 18 27 38 51 76,20.470579312486862,20.45293562444917,-0.017643688037690453,19.51870488125869,19.499570177330483,-0.01913470392820571,31.734426748686875,31.734426748686875,0.0,0.7110548081336083,0.721247424552967,0.6958552330312594,0.7069091973170428,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/robot/stage25_best_anchor_adapter.safetensors
