base_method,stage78_rate_method,codec,reference_gap,keep_fraction,side_bits,task_count,q12_main_anchor_mib_per_frame,side_info_mib_per_intermediate_frame,uniform_intermediate_frame_ratio,direct_total_mib_per_frame,amortized_total_mib_per_frame,mean_base_psnr,mean_sideinfo_psnr,mean_delta_psnr_vs_base,positive_delta_count,extra_direct_mib_per_frame,extra_amortized_mib_per_frame,delta_psnr_per_direct_extra_mib,delta_psnr_per_amortized_extra_mib
linear,linear,q12,4,0.1,6,18,0.18193822076791313,0.041353702545166016,0.75,0.22329192331307915,0.21295349767678765,19.984796422852106,23.403666365261454,3.4188699424093465,18,0.041353702545166016,0.03101527690887451,82.67385341555084,110.23180455406778
linear,linear,q12,8,0.1,6,19,0.09762538675351436,0.041353702545166016,0.875,0.13897908929868036,0.1338098764805346,18.457589807006293,21.513744759131683,3.056154952125395,19,0.041353702545166,0.03618448972702025,73.90281314683976,84.46035788210258
linear,linear,q12,16,0.1,6,23,0.055468969746314975,0.041353702545166016,0.9375,0.09682267229148099,0.09423806588240811,17.08421543617396,20.344221350298344,3.2600059141243887,23,0.041353702545166016,0.03876909613609314,78.83226201000623,84.08774614400664
stage65_adapter,adapter,q12,4,0.1,6,18,0.18193822076791313,0.041353702545166016,0.75,0.22329192331307915,0.21295349767678765,20.041732308843873,22.84099865483423,2.7992663459903557,18,0.041353702545166016,0.03101527690887451,67.69082751255539,90.25443668340719
stage65_adapter,adapter,q12,8,0.1,6,19,0.09762538675351436,0.041353702545166016,0.875,0.13897908929868036,0.1338098764805346,18.706547218120296,21.398942062762643,2.6923948446423474,19,0.041353702545166,0.03618448972702025,65.10650023904745,74.40742884462566
stage65_adapter,adapter,q12,16,0.1,6,23,0.055468969746314975,0.041353702545166016,0.9375,0.09682267229148099,0.09423806588240811,17.32823013943833,20.29200458015274,2.9637744407144093,23,0.041353702545166016,0.03876909613609314,71.66890165342295,76.44682843031781
