phase,task_split,task_count,mean_anchor_mse,mean_render_mse,mean_psnr,delta_psnr_vs_linear,delta_psnr_vs_stage78_old_adapter_reference
linear,eval,8,0.007705552314291708,0.015143611104576848,20.52573876541323,0.0,2.862793704365373
linear,train,8,0.008277488232124597,0.014246902894228697,19.382861436692217,0.0,1.7199163756443596
predictor_best,eval,8,0.007705552314291708,0.015143611104576848,20.52573876541323,0.0,2.862793704365373
predictor_best,train,8,0.008277488232124597,0.014246902894228697,19.382861436692217,0.0,1.7199163756443596
predictor_final,eval,8,0.007705512500251643,0.015125402103876695,20.509261273864784,-0.016477491548446466,2.8463162128169266
predictor_final,train,8,0.008277400629594922,0.014228504005586728,19.38248247752914,-0.0003789591630756206,1.719537416481284
predictor_initial,eval,8,0.007705552314291708,0.015143611104576848,20.52573876541323,0.0,2.862793704365373
