stage97_task_id,source_task_id,task_split,sequence,codec,reference_gap,target_index,base_method,objective,candidate,keep_fraction,keep_gaussians,precision_at_keep,energy_recall_total,oracle_energy_recall_total,relative_energy_recall_vs_oracle
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,linear,energy_weighted_bce,mlp_selector,0.1,3686,0.19370591640472412,0.18126559257507324,0.5060114860534668,0.3582242727279663
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,linear,hybrid_bce_energy,mlp_selector,0.1,3686,0.20944112539291382,0.19122964143753052,0.5060114860534668,0.377915620803833
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,linear,energy_regression,mlp_selector,0.1,3686,0.2140531688928604,0.1849460005760193,0.5060114860534668,0.3654976189136505
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,stage65_adapter,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.17091698944568634,0.1086612194776535,0.19262994825839996,0.5640930533409119
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,stage65_adapter,topk_bce,mlp_selector,0.1,3686,0.36245253682136536,0.13611143827438354,0.19262994825839996,0.7065954208374023
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,stage65_adapter,energy_weighted_bce,mlp_selector,0.1,3686,0.3499728739261627,0.1347469836473465,0.19262994825839996,0.6995121240615845
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,stage65_adapter,hybrid_bce_energy,mlp_selector,0.1,3686,0.3545849025249481,0.1349436342716217,0.19262994825839996,0.7005329728126526
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,stage65_adapter,energy_regression,mlp_selector,0.1,3686,0.3103635311126709,0.1330478936433792,0.19262994825839996,0.6906916499137878
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,linear,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.34074878692626953,0.3137834072113037,0.650629997253418,0.4822762608528137
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,linear,topk_bce,mlp_selector,0.1,3686,0.3922951817512512,0.3651553690433502,0.650629997253418,0.5612335205078125
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,linear,energy_weighted_bce,mlp_selector,0.1,3686,0.3817145824432373,0.36335259675979614,0.650629997253418,0.5584627389907837
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,linear,hybrid_bce_energy,mlp_selector,0.1,3686,0.3931090533733368,0.366994172334671,0.650629997253418,0.5640597343444824
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,linear,energy_regression,mlp_selector,0.1,3686,0.39853498339653015,0.36100268363952637,0.650629997253418,0.5548509955406189
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,stage65_adapter,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.31172001361846924,0.12210234254598618,0.17487986385822296,0.6982069611549377
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,stage65_adapter,topk_bce,mlp_selector,0.1,3686,0.5029842853546143,0.1407201737165451,0.17487986385822296,0.8046676516532898
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,stage65_adapter,energy_weighted_bce,mlp_selector,0.1,3686,0.5021703839302063,0.1403987556695938,0.17487986385822296,0.8028297424316406
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,stage65_adapter,hybrid_bce_energy,mlp_selector,0.1,3686,0.5027129650115967,0.1406250149011612,0.17487986385822296,0.8041235208511353
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,stage65_adapter,energy_regression,mlp_selector,0.1,3686,0.48100921511650085,0.1411719024181366,0.17487986385822296,0.8072507381439209
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,linear,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.08979924023151398,0.13540205359458923,0.4715755879878998,0.28712692856788635
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,linear,topk_bce,mlp_selector,0.1,3686,0.14568637311458588,0.15774041414260864,0.4715755879878998,0.33449655771255493
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,linear,energy_weighted_bce,mlp_selector,0.1,3686,0.16359196603298187,0.16592538356781006,0.4715755879878998,0.35185322165489197
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,linear,hybrid_bce_energy,mlp_selector,0.1,3686,0.14785675704479218,0.15949952602386475,0.4715755879878998,0.338226854801178
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,linear,energy_regression,mlp_selector,0.1,3686,0.14134563505649567,0.1556427925825119,0.4715755879878998,0.33004844188690186
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,stage65_adapter,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.11421595513820648,0.11177577078342438,0.26095694303512573,0.42833033204078674
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,stage65_adapter,topk_bce,mlp_selector,0.1,3686,0.2539338171482086,0.14734847843647003,0.26095694303512573,0.5646467208862305
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,stage65_adapter,energy_weighted_bce,mlp_selector,0.1,3686,0.2655995786190033,0.1506025791168213,0.26095694303512573,0.5771166086196899
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,stage65_adapter,hybrid_bce_energy,mlp_selector,0.1,3686,0.25746065378189087,0.14762896299362183,0.26095694303512573,0.5657215118408203
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,stage65_adapter,energy_regression,mlp_selector,0.1,3686,0.2612588107585907,0.1483151912689209,0.26095694303512573,0.5683512091636658
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,linear,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.3643516004085541,0.3261403739452362,0.7059814929962158,0.4619673192501068
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,linear,topk_bce,mlp_selector,0.1,3686,0.40070536732673645,0.3854907751083374,0.7059814929962158,0.5460352301597595
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,linear,energy_weighted_bce,mlp_selector,0.1,3686,0.38551273941993713,0.3828990161418915,0.7059814929962158,0.5423641204833984
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,linear,hybrid_bce_energy,mlp_selector,0.1,3686,0.3947368264198303,0.3786081373691559,0.7059814929962158,0.5362862348556519
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,linear,energy_regression,mlp_selector,0.1,3686,0.40911558270454407,0.3790980875492096,0.7059814929962158,0.5369802117347717
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,stage65_adapter,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.3659793734550476,0.1574932187795639,0.25488442182540894,0.617900550365448
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,stage65_adapter,topk_bce,mlp_selector,0.1,3686,0.49267497658729553,0.1877204328775406,0.25488442182540894,0.736492395401001
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,stage65_adapter,energy_weighted_bce,mlp_selector,0.1,3686,0.48534998297691345,0.18813925981521606,0.25488442182540894,0.738135576248169
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,stage65_adapter,hybrid_bce_energy,mlp_selector,0.1,3686,0.48345088958740234,0.18676747381687164,0.25488442182540894,0.732753574848175
stage97_00014257,stage79_00028605,eval,mbike-trick,q12,8,58,stage65_adapter,energy_regression,mlp_selector,0.1,3686,0.4888768196105957,0.1908389925956726,0.25488442182540894,0.748727560043335
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,linear,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.2189365178346634,0.17352792620658875,0.4578790068626404,0.3789820671081543
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,linear,topk_bce,mlp_selector,0.1,3686,0.2672273516654968,0.20729905366897583,0.4578790068626404,0.45273762941360474
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,linear,energy_weighted_bce,mlp_selector,0.1,3686,0.2609875202178955,0.20808210968971252,0.4578790068626404,0.45444780588150024
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,linear,hybrid_bce_energy,mlp_selector,0.1,3686,0.2639717757701874,0.20517303049564362,0.4578790068626404,0.4480944275856018
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,linear,energy_regression,mlp_selector,0.1,3686,0.27563753724098206,0.20970936119556427,0.4578790068626404,0.4580017030239105
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,stage65_adapter,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.227618008852005,0.1268695443868637,0.22188284993171692,0.5717861652374268
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,stage65_adapter,topk_bce,mlp_selector,0.1,3686,0.4196961522102356,0.15917915105819702,0.22188284993171692,0.7174018025398254
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,stage65_adapter,energy_weighted_bce,mlp_selector,0.1,3686,0.4169831871986389,0.1578577160835266,0.22188284993171692,0.711446225643158
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,stage65_adapter,hybrid_bce_energy,mlp_selector,0.1,3686,0.42512208223342896,0.15981295704841614,0.22188284993171692,0.7202582955360413
stage97_00010864,stage79_00021916,eval,bmx-trees,q12,4,19,stage65_adapter,energy_regression,mlp_selector,0.1,3686,0.4045035243034363,0.15820717811584473,0.22188284993171692,0.7130212187767029
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,linear,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.5409657955169678,0.4691872298717499,0.794373631477356,0.5906379818916321
stage97_00015307,stage79_00030861,eval,soapbox,q12,4,3,linear,topk_bce,mlp_selector,0.1,3686,0.508952796459198,0.5371100902557373,0.794373631477356,0.6761428713798523
