objective,step,loss,batch_positive_rate,batch_energy_target_mean
topk_bce,1,1.2412071228027344,0.1002197265625,0.21811074018478394
topk_bce,50,1.0377181768417358,0.10107421875,0.21671077609062195
topk_bce,100,0.9902309775352478,0.0941162109375,0.21348252892494202
topk_bce,150,0.9778854846954346,0.09423828125,0.21146181225776672
topk_bce,200,1.0176211595535278,0.1024169921875,0.2186902016401291
topk_bce,250,0.984017014503479,0.09814453125,0.21505917608737946
topk_bce,300,1.0424513816833496,0.107421875,0.22032633423805237
energy_weighted_bce,1,1.6650125980377197,0.101806640625,0.21502143144607544
energy_weighted_bce,50,1.2906699180603027,0.0972900390625,0.21325910091400146
energy_weighted_bce,100,1.2568601369857788,0.0986328125,0.21732336282730103
energy_weighted_bce,150,1.289630651473999,0.1024169921875,0.2149696946144104
energy_weighted_bce,200,1.2702895402908325,0.1026611328125,0.2157265841960907
energy_weighted_bce,250,1.238168478012085,0.09814453125,0.21897554397583008
energy_weighted_bce,300,1.2731096744537354,0.104736328125,0.21575382351875305
hybrid_bce_energy,1,1.3031443357467651,0.10009765625,0.21698573231697083
hybrid_bce_energy,50,1.098907232284546,0.10400390625,0.2174304574728012
hybrid_bce_energy,100,1.080483078956604,0.100830078125,0.21666142344474792
hybrid_bce_energy,150,1.0452842712402344,0.103759765625,0.21831727027893066
hybrid_bce_energy,200,1.029181718826294,0.0999755859375,0.21628627181053162
hybrid_bce_energy,250,1.0526539087295532,0.100830078125,0.21761229634284973
hybrid_bce_energy,300,1.059517502784729,0.1031494140625,0.21938493847846985
energy_regression,1,0.10627751052379608,0.097900390625,0.21333223581314087
energy_regression,50,0.023325765505433083,0.101318359375,0.21511214971542358
energy_regression,100,0.020186742767691612,0.09912109375,0.21683351695537567
energy_regression,150,0.019471775740385056,0.1033935546875,0.2168666571378708
energy_regression,200,0.01922481693327427,0.103759765625,0.2160801738500595
energy_regression,250,0.018386103212833405,0.09375,0.2134818136692047
energy_regression,300,0.01985786482691765,0.1029052734375,0.21596184372901917
