step,sample,frame_gap,target_frame_index,normalized_time,rgb_mse,rgb_psnr
98,robot,2,5,0.5,0.003222106723114848,24.918600789098896
99,meetroom,8,1,0.125,0.0009861330036073923,30.060645061163488
100,meetroom,4,15,0.75,0.0008639970910735428,30.634877197118882
101,meetroom,4,1,0.25,0.000977536546997726,30.09866996732368
102,robot,4,15,0.75,0.004218451213091612,23.748469691969607
103,n3dv,16,31,0.9375,0.0008729386026971042,30.590163009078793
104,robot,8,9,0.125,0.009182258509099483,20.370504846591885
105,meetroom,16,31,0.9375,0.00107597338501364,29.681984711274993
106,meetroom,16,33,0.0625,0.0011779246851801872,29.28882476829312
107,meetroom,4,9,0.25,0.0010948381386697292,29.60650082356804
108,robot,16,65,0.08333333333333333,0.0021220874041318893,26.732367324278744
109,robot,16,1,0.0625,0.009728864766657352,20.119378333534502
110,meetroom,2,3,0.5,0.001029220991767943,29.87491364595375
111,n3dv,4,11,0.75,0.0008830384467728436,30.540203871837043
112,meetroom,4,7,0.75,0.0011340596247464418,29.453641112123996
113,n3dv,8,15,0.875,0.0008672434487380087,30.618589721865987
114,n3dv,8,1,0.125,0.0014852418098598719,28.28202833795558
115,meetroom,8,7,0.875,0.0011278776219114661,29.477380200440038
116,robot,4,9,0.25,0.009084692224860191,20.416897813233703
117,meetroom,8,23,0.875,0.0015548899536952376,28.083003424532937
118,meetroom,4,5,0.25,0.0013332476373761892,28.750891772497308
119,robot,4,13,0.25,0.006108182016760111,22.14088029949484
120,robot,4,1,0.25,0.008057910948991776,20.937775364729802
121,robot,16,17,0.0625,0.005766805727034807,22.390646789164673
122,robot,8,7,0.875,0.012358272448182106,19.08042234640309
123,robot,4,11,0.75,0.011294220574200153,19.471437348192076
124,n3dv,4,15,0.75,0.0008730330737307668,30.58969303297078
125,n3dv,4,3,0.75,0.001059022732079029,29.750947175973998
126,robot,8,17,0.125,0.005578935146331787,22.534486871205402
127,n3dv,16,49,0.0625,0.0009751311736181378,30.109369595355957
128,meetroom,16,17,0.0625,0.0011612967355176806,29.350567947903244
129,robot,4,7,0.75,0.009143633767962456,20.388811771598267
130,n3dv,2,1,0.5,0.0011928783496841788,29.234038436345287
131,robot,8,1,0.125,0.009092675521969795,20.413083067167822
132,n3dv,8,17,0.125,0.000889094197191298,30.510522242342883
