stage97_task_id,source_task_id,task_split,sequence,codec,reference_gap,target_index,base_method,selector_scope,group_key,objective,candidate,keep_fraction,keep_gaussians,precision_at_keep,energy_recall_total,oracle_energy_recall_total,relative_energy_recall_vs_oracle
stage97_00013323,stage79_00026699,eval,horsejump-high,q12,8,39,stage65_adapter,group_specific,stage65_adapter__gap8,energy_regression,mlp_selector,0.1,3686,0.43868693709373474,0.1895308643579483,0.297005832195282,0.6381385326385498
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,linear,endpoint_only,linear__gap4,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.1918068379163742,0.15955351293087006,0.5060114860534668,0.31531599164009094
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,linear,shared,all_groups,topk_bce,mlp_selector,0.1,3686,0.2099837213754654,0.19153819978237152,0.5060114860534668,0.37852540612220764
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,linear,shared,all_groups,energy_regression,mlp_selector,0.1,3686,0.21025501191616058,0.18449904024600983,0.5060114860534668,0.364614337682724
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,linear,group_specific,linear__gap4,topk_bce,mlp_selector,0.1,3686,0.18176884949207306,0.16585826873779297,0.5060114860534668,0.3277756869792938
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,linear,group_specific,linear__gap4,energy_regression,mlp_selector,0.1,3686,0.20238740742206573,0.1759031116962433,0.5060114860534668,0.3476267158985138
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,stage65_adapter,endpoint_only,stage65_adapter__gap4,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.17091698944568634,0.1086612194776535,0.19262994825839996,0.5640930533409119
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,stage65_adapter,shared,all_groups,topk_bce,mlp_selector,0.1,3686,0.3621812164783478,0.13588425517082214,0.19262994825839996,0.7054160237312317
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,stage65_adapter,shared,all_groups,energy_regression,mlp_selector,0.1,3686,0.3236570656299591,0.1333957016468048,0.19262994825839996,0.692497193813324
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,stage65_adapter,group_specific,stage65_adapter__gap4,topk_bce,mlp_selector,0.1,3686,0.32718393206596375,0.1331448256969452,0.19262994825839996,0.6911948323249817
stage97_00012282,stage79_00024697,eval,dog,q12,4,23,stage65_adapter,group_specific,stage65_adapter__gap4,energy_regression,mlp_selector,0.1,3686,0.3298968970775604,0.13425607979297638,0.19262994825839996,0.6969636678695679
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,linear,endpoint_only,linear__gap4,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.34074878692626953,0.3137834072113037,0.650629997253418,0.4822762608528137
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,linear,shared,all_groups,topk_bce,mlp_selector,0.1,3686,0.39582201838493347,0.367002934217453,0.650629997253418,0.5640732049942017
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,linear,shared,all_groups,energy_regression,mlp_selector,0.1,3686,0.40477481484413147,0.3663749098777771,0.650629997253418,0.5631079077720642
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,linear,group_specific,linear__gap4,topk_bce,mlp_selector,0.1,3686,0.40992945432662964,0.3772599995136261,0.650629997253418,0.5798379778862
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,linear,group_specific,linear__gap4,energy_regression,mlp_selector,0.1,3686,0.411285936832428,0.37110310792922974,0.650629997253418,0.5703750252723694
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,stage65_adapter,endpoint_only,stage65_adapter__gap4,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.31172001361846924,0.12210234254598618,0.17487986385822296,0.6982069611549377
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,stage65_adapter,shared,all_groups,topk_bce,mlp_selector,0.1,3686,0.5035268664360046,0.14047399163246155,0.17487986385822296,0.8032599687576294
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,stage65_adapter,shared,all_groups,energy_regression,mlp_selector,0.1,3686,0.469072163105011,0.13917352259159088,0.17487986385822296,0.7958235740661621
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,stage65_adapter,group_specific,stage65_adapter__gap4,topk_bce,mlp_selector,0.1,3686,0.4929462671279907,0.13994942605495453,0.17487986385822296,0.8002603650093079
stage97_00014948,stage79_00030048,eval,pigs,q12,4,63,stage65_adapter,group_specific,stage65_adapter__gap4,energy_regression,mlp_selector,0.1,3686,0.4530656635761261,0.1395321786403656,0.17487986385822296,0.7978744506835938
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,linear,endpoint_only,linear__gap16,endpoint_diff_baseline,endpoint_diff_baseline,0.1,3686,0.08979924023151398,0.13540205359458923,0.4715755879878998,0.28712692856788635
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,linear,shared,all_groups,topk_bce,mlp_selector,0.1,3686,0.14677156507968903,0.15743151307106018,0.4715755879878998,0.3338415324687958
stage97_00015544,stage79_00031098,eval,soapbox,q12,16,87,linear,shared,all_groups,energy_regression,mlp_selector,0.1,3686,0.14405860006809235,0.15708455443382263,0.4715755879878998,0.33310577273368835
