base_method,reference_gap,endpoint_energy_recall,shared_objective,shared_energy_recall,shared_relative_recall,group_objective,group_energy_recall,group_relative_recall,group_minus_shared_energy_recall,group_precision_at_keep
linear,4,0.2578457370400429,energy_regression,0.29237517520137457,0.46866350588591205,energy_regression,0.28957911483619525,0.4642657028592151,-0.0027960603651793203,0.342235016434089
linear,8,0.27749040722846985,energy_regression,0.3230782339447423,0.4839692037356527,energy_regression,0.3191431258854113,0.47870409018114995,-0.0039351080593309495,0.36073907190247584
linear,16,0.2058291733264923,topk_bce,0.25067590466803974,0.4148368760943413,energy_regression,0.24646301691730818,0.4052088227536943,-0.004212887750731559,0.25529028594286907
stage65_adapter,4,0.13412074485550757,topk_bce,0.1617175087980602,0.6878124009007993,energy_regression,0.1613874824150749,0.686178427675496,-0.00033002638298532117,0.40539998010448786
stage65_adapter,8,0.13563174087750285,topk_bce,0.17034897247427389,0.6874244464071173,energy_regression,0.17020083375667272,0.6869090183785087,-0.00014813871760116504,0.41855384644709137
stage65_adapter,16,0.11971673224535254,energy_regression,0.15471376478672028,0.6332139886087842,energy_regression,0.15460273540682262,0.6332634886105856,-0.0001110293798976536,0.3378850882872939
