model_name,selector_scope,group_key,objective,step,loss,batch_positive_rate,batch_energy_target_mean,train_example_count
group_specific__linear__gap8__energy_regression,group_specific,linear__gap8,energy_regression,1,0.1938008964061737,0.099853515625,0.12505042552947998,98304
group_specific__linear__gap8__energy_regression,group_specific,linear__gap8,energy_regression,50,0.029863674193620682,0.10009765625,0.12867671251296997,98304
group_specific__linear__gap8__energy_regression,group_specific,linear__gap8,energy_regression,100,0.026817765086889267,0.102294921875,0.1284831166267395,98304
group_specific__linear__gap8__energy_regression,group_specific,linear__gap8,energy_regression,150,0.02397311106324196,0.1044921875,0.12726157903671265,98304
group_specific__linear__gap8__energy_regression,group_specific,linear__gap8,energy_regression,200,0.023757707327604294,0.09423828125,0.12718141078948975,98304
group_specific__linear__gap8__energy_regression,group_specific,linear__gap8,energy_regression,250,0.023711515590548515,0.094482421875,0.12470009177923203,98304
group_specific__linear__gap8__energy_regression,group_specific,linear__gap8,energy_regression,300,0.02325362339615822,0.09912109375,0.1257808357477188,98304
group_specific__stage65_adapter__gap16__topk_bce,group_specific,stage65_adapter__gap16,topk_bce,1,1.2705402374267578,0.1044921875,0.29622992873191833,116736
group_specific__stage65_adapter__gap16__topk_bce,group_specific,stage65_adapter__gap16,topk_bce,50,1.0360276699066162,0.10009765625,0.29573261737823486,116736
group_specific__stage65_adapter__gap16__topk_bce,group_specific,stage65_adapter__gap16,topk_bce,100,1.0358790159225464,0.10205078125,0.2966020107269287,116736
group_specific__stage65_adapter__gap16__topk_bce,group_specific,stage65_adapter__gap16,topk_bce,150,1.0207247734069824,0.102783203125,0.29423683881759644,116736
group_specific__stage65_adapter__gap16__topk_bce,group_specific,stage65_adapter__gap16,topk_bce,200,0.961678147315979,0.09765625,0.2934129536151886,116736
group_specific__stage65_adapter__gap16__topk_bce,group_specific,stage65_adapter__gap16,topk_bce,250,1.0251038074493408,0.1083984375,0.2986612021923065,116736
group_specific__stage65_adapter__gap16__topk_bce,group_specific,stage65_adapter__gap16,topk_bce,300,0.9534025192260742,0.09375,0.29266276955604553,116736
group_specific__stage65_adapter__gap16__energy_regression,group_specific,stage65_adapter__gap16,energy_regression,1,0.06089343875646591,0.10693359375,0.29609614610671997,116736
