source_scope,point_type,base_method,codec,reference_gap,rate_mode,rate_mib_per_frame,sideinfo_mib_per_intermediate_frame,sideinfo_payload_bytes,transmits_indices,quality_psnr,quality_status
stage93_entropy_smoke,deterministic_value_only,stage65_adapter,q12,16,amortized,0.08766352455207059,0.034340858459472656,36009.0,0,,not_rendered_rate_only
stage96_entropy_broader,fixed_index_value,linear,q12,4,direct,0.22330956628793266,0.04137134552001953,43381.0,1,23.403532118481326,rendered_topk_reference
stage96_entropy_broader,entropy_index_value,linear,q12,4,direct,0.21042431365324843,0.028486092885335285,29869.833333333332,1,23.403532118481326,rendered_topk_reference
stage96_entropy_broader,deterministic_value_only,linear,q12,4,direct,0.2162790792273858,0.034340858459472656,36009.0,0,,not_rendered_rate_only
stage96_entropy_broader,fixed_index_value,linear,q12,4,amortized,0.21296672990792778,0.04137134552001953,43381.0,1,23.403532118481326,rendered_topk_reference
stage96_entropy_broader,entropy_index_value,linear,q12,4,amortized,0.2033027904319146,0.028486092885335285,29869.833333333332,1,23.403532118481326,rendered_topk_reference
stage96_entropy_broader,deterministic_value_only,linear,q12,4,amortized,0.20769386461251763,0.034340858459472656,36009.0,0,,not_rendered_rate_only
stage96_entropy_broader,fixed_index_value,linear,q12,8,direct,0.13899673227353387,0.04137134552001953,43381.0,1,21.51362735577916,rendered_topk_reference
stage96_entropy_broader,entropy_index_value,linear,q12,8,direct,0.12665608623246688,0.02903069947895251,30440.894736842107,1,21.51362735577916,rendered_topk_reference
stage96_entropy_broader,deterministic_value_only,linear,q12,8,direct,0.131966245212987,0.034340858459472656,36009.0,0,,not_rendered_rate_only
stage96_entropy_broader,fixed_index_value,linear,q12,8,amortized,0.13382531408353143,0.04137134552001953,43381.0,1,21.51362735577916,rendered_topk_reference
stage96_entropy_broader,entropy_index_value,linear,q12,8,amortized,0.1230272487975978,0.02903069947895251,30440.894736842107,1,21.51362735577916,rendered_topk_reference
stage96_entropy_broader,deterministic_value_only,linear,q12,8,amortized,0.12767363790555292,0.034340858459472656,36009.0,0,,not_rendered_rate_only
stage96_entropy_broader,fixed_index_value,linear,q12,16,direct,0.0968403152663345,0.04137134552001953,43381.0,1,20.344147709407626,rendered_topk_reference
stage96_entropy_broader,entropy_index_value,linear,q12,16,direct,0.08430766643343285,0.028838696687117867,30239.565217391304,1,20.344147709407626,rendered_topk_reference
stage96_entropy_broader,deterministic_value_only,linear,q12,16,direct,0.08980982820578763,0.034340858459472656,36009.0,0,,not_rendered_rate_only
stage96_entropy_broader,fixed_index_value,linear,q12,16,amortized,0.09425460617133329,0.04137134552001953,43381.0,1,20.344147709407626,rendered_topk_reference
stage96_entropy_broader,entropy_index_value,linear,q12,16,amortized,0.08250524789048798,0.028838696687117867,30239.565217391304,1,20.344147709407626,rendered_topk_reference
stage96_entropy_broader,deterministic_value_only,linear,q12,16,amortized,0.08766352455207059,0.034340858459472656,36009.0,0,,not_rendered_rate_only
stage96_entropy_broader,fixed_index_value,stage65_adapter,q12,4,direct,0.22330956628793266,0.04137134552001953,43381.0,1,22.841151135422116,rendered_topk_reference
stage96_entropy_broader,entropy_index_value,stage65_adapter,q12,4,direct,0.21508592669374865,0.033147705925835505,34757.88888888889,1,22.841151135422116,rendered_topk_reference
stage96_entropy_broader,deterministic_value_only,stage65_adapter,q12,4,direct,0.2162790792273858,0.034340858459472656,36009.0,0,,not_rendered_rate_only
stage96_entropy_broader,fixed_index_value,stage65_adapter,q12,4,amortized,0.21296672990792778,0.04137134552001953,43381.0,1,22.841151135422116,rendered_topk_reference
stage96_entropy_broader,entropy_index_value,stage65_adapter,q12,4,amortized,0.20679900021228975,0.033147705925835505,34757.88888888889,1,22.841151135422116,rendered_topk_reference
stage96_entropy_broader,deterministic_value_only,stage65_adapter,q12,4,amortized,0.20769386461251763,0.034340858459472656,36009.0,0,,not_rendered_rate_only
stage96_entropy_broader,fixed_index_value,stage65_adapter,q12,8,direct,0.13899673227353387,0.04137134552001953,43381.0,1,21.39901144086742,rendered_topk_reference
stage96_entropy_broader,entropy_index_value,stage65_adapter,q12,8,direct,0.13149337333220473,0.033867986578690376,35513.15789473684,1,21.39901144086742,rendered_topk_reference
stage96_entropy_broader,deterministic_value_only,stage65_adapter,q12,8,direct,0.131966245212987,0.034340858459472656,36009.0,0,,not_rendered_rate_only
stage96_entropy_broader,fixed_index_value,stage65_adapter,q12,8,amortized,0.13382531408353143,0.04137134552001953,43381.0,1,21.39901144086742,rendered_topk_reference
stage96_entropy_broader,entropy_index_value,stage65_adapter,q12,8,amortized,0.12725987500986843,0.033867986578690376,35513.15789473684,1,21.39901144086742,rendered_topk_reference
stage96_entropy_broader,deterministic_value_only,stage65_adapter,q12,8,amortized,0.12767363790555292,0.034340858459472656,36009.0,0,,not_rendered_rate_only
stage96_entropy_broader,fixed_index_value,stage65_adapter,q12,16,direct,0.0968403152663345,0.04137134552001953,43381.0,1,20.292022340267458,rendered_topk_reference
stage96_entropy_broader,entropy_index_value,stage65_adapter,q12,16,direct,0.08923517723400179,0.03376620748768682,35406.434782608696,1,20.292022340267458,rendered_topk_reference
stage96_entropy_broader,deterministic_value_only,stage65_adapter,q12,16,direct,0.08980982820578763,0.034340858459472656,36009.0,0,,not_rendered_rate_only
stage96_entropy_broader,fixed_index_value,stage65_adapter,q12,16,amortized,0.09425460617133329,0.04137134552001953,43381.0,1,20.292022340267458,rendered_topk_reference
stage96_entropy_broader,entropy_index_value,stage65_adapter,q12,16,amortized,0.08712478926602138,0.03376620748768682,35406.434782608696,1,20.292022340267458,rendered_topk_reference
stage96_entropy_broader,deterministic_value_only,stage65_adapter,q12,16,amortized,0.08766352455207059,0.034340858459472656,36009.0,0,,not_rendered_rate_only
