source_scope,base_method,stage78_rate_method,codec,reference_gap,entropy_task_count,deterministic_task_count,q12_main_anchor_mib_per_frame,uniform_intermediate_frame_ratio,fixed_sideinfo_mib_per_intermediate_frame,entropy_sideinfo_mib_per_intermediate_frame,deterministic_sideinfo_mib_per_intermediate_frame,fixed_sideinfo_payload_bytes,entropy_sideinfo_payload_bytes,deterministic_sideinfo_payload_bytes,deterministic_minus_entropy_sideinfo_mib_per_intermediate_frame,deterministic_minus_entropy_sideinfo_bytes,deterministic_ratio_vs_entropy_sideinfo,deterministic_sideinfo_savings_vs_fixed_mib_per_intermediate_frame,deterministic_sideinfo_savings_vs_fixed_bytes,entropy_sideinfo_savings_vs_fixed_mib_per_intermediate_frame,entropy_sideinfo_savings_vs_fixed_bytes,fixed_direct_total_mib_per_frame,entropy_direct_total_mib_per_frame,deterministic_direct_total_mib_per_frame,fixed_amortized_total_mib_per_frame,entropy_amortized_total_mib_per_frame,deterministic_amortized_total_mib_per_frame,deterministic_minus_entropy_direct_total_mib_per_frame,deterministic_minus_entropy_amortized_total_mib_per_frame,entropy_quality_psnr,entropy_delta_psnr_vs_base,deterministic_quality_status,entropy_payload_accounting,deterministic_payload_accounting,entropy_transmits_indices,deterministic_transmits_indices
stage93_entropy_smoke,linear,linear,q12,4,3,3,0.18193822076791313,0.75,0.04137134552001953,0.028384844462076824,0.034340858459472656,43381.0,29763.666666666668,36009.0,0.005956013997395832,6245.333333333332,1.2098307780179414,0.007030487060546875,7372.0,0.012986501057942707,13617.333333333332,0.22330956628793266,0.21032306522998995,0.2162790792273858,0.21296672990792778,0.20322685411447075,0.20769386461251763,0.005956013997395843,0.004467010498046875,23.327021755289916,3.3372252270957077,not_rendered_rate_only,zlib(metadata+index_deltas+q_residual_values)+header,header+metadata+q_residual_values_no_indices,1,0
stage93_entropy_smoke,linear,linear,q12,8,5,5,0.09762538675351436,0.875,0.04137134552001953,0.029387855529785158,0.034340858459472656,43381.0,30815.4,36009.0,0.004953002929687499,5193.5999999999985,1.1685391070698417,0.007030487060546875,7372.0,0.011983489990234374,12565.599999999999,0.13899673227353387,0.12701324228329952,0.131966245212987,0.13382531408353143,0.12333976034207637,0.12767363790555292,0.004953002929687478,0.004333877563476543,20.94541228168298,2.8242945281834873,not_rendered_rate_only,zlib(metadata+index_deltas+q_residual_values)+header,header+metadata+q_residual_values_no_indices,1,0
stage93_entropy_smoke,linear,linear,q12,16,4,4,0.055468969746314975,0.9375,0.04137134552001953,0.028190135955810547,0.034340858459472656,43381.0,29559.5,36009.0,0.006150722503662109,6449.5,1.2181870464656033,0.007030487060546875,7372.0,0.013181209564208984,13821.5,0.0968403152663345,0.08365910570212552,0.08980982820578763,0.09425460617133329,0.08189722220488736,0.08766352455207059,0.006150722503662109,0.0057663023471832275,23.589545045225233,4.476530074672733,not_rendered_rate_only,zlib(metadata+index_deltas+q_residual_values)+header,header+metadata+q_residual_values_no_indices,1,0
stage93_entropy_smoke,stage65_adapter,adapter,q12,4,3,3,0.18193822076791313,0.75,0.04137134552001953,0.03340339660644531,0.034340858459472656,43381.0,35026.0,36009.0,0.0009374618530273438,983.0,1.028064866099469,0.007030487060546875,7372.0,0.007967948913574219,8355.0,0.22330956628793266,0.21534161737435845,0.2162790792273858,0.21296672990792778,0.20699076822274712,0.20769386461251763,0.0009374618530273438,0.0007030963897705078,23.352831018389125,2.870092812012075,not_rendered_rate_only,zlib(metadata+index_deltas+q_residual_values)+header,header+metadata+q_residual_values_no_indices,1,0
stage93_entropy_smoke,stage65_adapter,adapter,q12,8,5,5,0.09762538675351436,0.875,0.04137134552001953,0.03443698883056641,0.034340858459472656,43381.0,36109.8,36009.0,-9.613037109375278e-05,-100.80000000000291,0.9972085140322017,0.007030487060546875,7372.0,0.006934356689453122,7271.199999999997,0.13899673227353387,0.13206237558408077,0.131966245212987,0.13382531408353143,0.12775775198025996,0.12767363790555292,-9.613037109376665e-05,-8.411407470704235e-05,20.943699759081163,2.41134126509652,not_rendered_rate_only,zlib(metadata+index_deltas+q_residual_values)+header,header+metadata+q_residual_values_no_indices,1,0
stage93_entropy_smoke,stage65_adapter,adapter,q12,16,4,4,0.055468969746314975,0.9375,0.04137134552001953,0.03329300880432129,0.034340858459472656,43381.0,34910.25,36009.0,0.0010478496551513672,1098.75,1.0314735643543085,0.007030487060546875,7372.0,0.008078336715698242,8470.75,0.0968403152663345,0.08876197855063626,0.08980982820578763,0.09425460617133329,0.08668116550036618,0.08766352455207059,0.0010478496551513672,0.0009823590517044067,22.48232041707169,3.407310328486104,not_rendered_rate_only,zlib(metadata+index_deltas+q_residual_values)+header,header+metadata+q_residual_values_no_indices,1,0
stage96_entropy_broader,linear,linear,q12,4,18,3,0.18193822076791313,0.75,0.04137134552001953,0.028486092885335285,0.034340858459472656,43381.0,29869.833333333332,36009.0,0.005854765574137371,6139.166666666668,1.2055306636015155,0.007030487060546875,7372.0,0.012885252634684246,13511.166666666668,0.22330956628793266,0.21042431365324843,0.2162790792273858,0.21296672990792778,0.2033027904319146,0.20769386461251763,0.0058547655741373605,0.004391074180603027,23.403532118481326,3.4187356956292225,not_rendered_rate_only,zlib(metadata+index_deltas+q_residual_values)+header,header+metadata+q_residual_values_no_indices,1,0
stage96_entropy_broader,linear,linear,q12,8,19,5,0.09762538675351436,0.875,0.04137134552001953,0.02903069947895251,0.034340858459472656,43381.0,30440.894736842107,36009.0,0.0053101589805201466,5568.105263157893,1.182915295732714,0.007030487060546875,7372.0,0.012340646041067022,12940.105263157893,0.13899673227353387,0.12665608623246688,0.131966245212987,0.13382531408353143,0.1230272487975978,0.12767363790555292,0.005310158980520119,0.004646389107955118,21.51362735577916,3.05603754877287,not_rendered_rate_only,zlib(metadata+index_deltas+q_residual_values)+header,header+metadata+q_residual_values_no_indices,1,0
stage96_entropy_broader,linear,linear,q12,16,23,4,0.055468969746314975,0.9375,0.04137134552001953,0.028838696687117867,0.034340858459472656,43381.0,30239.565217391304,36009.0,0.00550216177235479,5769.434782608696,1.1907909303963997,0.007030487060546875,7372.0,0.012532648832901665,13141.434782608696,0.0968403152663345,0.08430766643343285,0.08980982820578763,0.09425460617133329,0.08250524789048798,0.08766352455207059,0.005502161772354783,0.0051582766615826114,20.344147709407626,3.2599322732336695,not_rendered_rate_only,zlib(metadata+index_deltas+q_residual_values)+header,header+metadata+q_residual_values_no_indices,1,0
stage96_entropy_broader,stage65_adapter,adapter,q12,4,18,3,0.18193822076791313,0.75,0.04137134552001953,0.033147705925835505,0.034340858459472656,43381.0,34757.88888888889,36009.0,0.0011931525336371512,1251.1111111111095,1.0359950259093857,0.007030487060546875,7372.0,0.008223639594184026,8623.11111111111,0.22330956628793266,0.21508592669374865,0.2162790792273858,0.21296672990792778,0.20679900021228975,0.20769386461251763,0.0011931525336371374,0.0008948644002278738,22.841151135422116,2.7994188265782376,not_rendered_rate_only,zlib(metadata+index_deltas+q_residual_values)+header,header+metadata+q_residual_values_no_indices,1,0
