schedule,paper_name,keyframe_count,residual_count,packed_rate_mib_per_frame,delta_rate_vs_gap8,psnr,delta_psnr_vs_gap8,ssim,ms_ssim,lpips,delta_lpips_vs_gap8,scope,paper_note
uniform_gap8,Uniform gap8,292,1707,0.2758661759621266,0.0,29.373964871839835,0.0,0.867625699572828,0.9843430183660156,0.16869177970254404,0.0,measured_schedule_packed_q12_keyframes_plus_measured_stage158_residual_payloads_plus_exact_metadata,lower-rate fixed-gap baseline
stage165_adaptive,Mono-DFCGS adaptive,358,1641,0.2907429328258184,0.014876756863691831,29.4255826920606,0.05161782022076622,0.8692941793565335,0.9846469353830415,0.16593745923142186,-0.0027543204711221736,measured_schedule_packed_q12_keyframes_plus_measured_stage158_residual_payloads_plus_exact_metadata,middle RD point; better quality than gap8 but higher rate
uniform_gap4,Uniform gap4,536,1463,0.33076894444307725,0.05490276848095066,29.535715839048734,0.16175096720889925,0.8739438994697716,0.9855294218654929,0.15947172297849663,-0.00922005672404741,measured_schedule_packed_q12_keyframes_plus_measured_stage158_residual_payloads_plus_exact_metadata,higher-quality fixed-gap reference
