candidate,keyframes,kept_cells,additive_rate_mib_per_frame,delta_rate_vs_gap8,delta_rate_vs_full,psnr,delta_psnr_vs_gap8,lpips,delta_lpips_vs_gap8,quality_positive_all_metrics,scope,paper_note
uniform_gap8,292,0,0.27588429100338135,0.0,-0.014881306734605082,29.373964871839874,0.0,0.16869177970254404,0.0,0,measured_single_anchor_additive_keyframes_plus_measured_stage158_residuals_plus_exact_metadata,additive sensitivity baseline
interval_top10pct_cells,299,6,0.2773746177516859,0.0014903267483045712,-0.01339097998630051,29.38112562842953,0.007160756589655648,0.16832458856830065,-0.0003671911342433831,1,measured_single_anchor_additive_keyframes_plus_measured_stage158_residuals_plus_exact_metadata,lowest-rate positive-quality candidate
interval_score_ge4p0,324,27,0.2829920490602662,0.00710775805688485,-0.007773548677720232,29.41013285788653,0.03616798604665661,0.16682702663534876,-0.001864753067195274,1,measured_single_anchor_additive_keyframes_plus_measured_stage158_residuals_plus_exact_metadata,balanced half-overhead candidate
interval_top90pct_cells,353,54,0.289479501370253,0.013595210366871668,-0.0012860963677334136,29.424507356466457,0.05054248462658251,0.16601754864188598,-0.002674231060658061,1,measured_single_anchor_additive_keyframes_plus_measured_stage158_residuals_plus_exact_metadata,near-full quality below full adaptive rate
stage165_adaptive_full,358,59,0.29076559773798644,0.014881306734605082,0.0,29.425582692060658,0.05161782022078398,0.16593745923142186,-0.0027543204711221736,1,measured_single_anchor_additive_keyframes_plus_measured_stage158_residuals_plus_exact_metadata,full frozen selector under additive scope
uniform_gap4,536,,0.3308038587508171,0.05491956774743573,0.040038261012830645,29.535715839048738,0.16175096720886373,0.15947172297849663,-0.00922005672404741,1,measured_single_anchor_additive_keyframes_plus_measured_stage158_residuals_plus_exact_metadata,additive fixed-gap high-quality reference
