candidate,keyframes,additive_rate_mib_per_frame,delta_rate_vs_gap8,delta_rate_vs_full,psnr,delta_psnr_vs_gap8,lpips,changed_frames_vs_full,worst_changed_dpsnr_vs_full,paper_note
interval_top10pct_cells,299,0.2773746177516859,0.0014903267483045712,-0.01339097998630051,29.38112562842953,0.007160756589655648,0.16832458856830065,370,-5.309560997374348,most rate-efficient but many changed frames vs full adaptive
interval_score_ge4p0,324,0.2829920490602662,0.00710775805688485,-0.007773548677720232,29.41013285788653,0.03616798604665661,0.16682702663534876,223,-2.3890793771766035,balanced point with fewer changed frames
interval_top90pct_cells,353,0.289479501370253,0.013595210366871668,-0.0012860963677334136,29.424507356466457,0.05054248462658251,0.16601754864188598,35,-1.2776672922430699,near-full point with small quality loss
