sequence,residual_risks,low_psnr,high_lpips,high_payload,max_residual_risk,worst_frame
cows,86,86,1,62,1.904394667636713,92
parkour,75,27,26,74,1.5603596044904195,68
camel,73,61,0,67,1.3934650859013562,60
goat,73,0,0,73,0.78914,5
breakdance,72,72,2,0,1.7485984958204726,5
soapbox,72,0,1,71,0.67308,67
bmx-trees,67,3,6,67,0.70738,44
car-roundabout,55,13,0,55,0.8569948253669125,61
dance-twirl,54,2,35,28,1.6654908734939,60
india,52,0,7,52,3.421598761520386,36
