item,value,note
stage185_rate_scope,measured_schedule_packed_q12_keyframes_plus_measured_stage158_residual_payloads_plus_exact_metadata,"Packed keyframe scope for Stage185/186 context, not reused as new candidate scope."
stage185_gap8_mib_per_frame,0.2758661759621266,Packed-keyframe measured baseline.
stage185_adaptive_mib_per_frame,0.2907429328258184,Packed-keyframe measured full Stage165 rate.
stage185_gap4_mib_per_frame,0.33076894444307725,Packed-keyframe measured gap4 rate.
stage186_adaptive_psnr,29.4255826920606,Full Stage165 quality context.
stage188_rate_scope,measured_single_anchor_additive_keyframes_plus_measured_stage158_residuals_plus_exact_metadata,Apples-to-apples sensitivity scope for all Stage188 candidates and baselines.
