cell_id,sequence,left_index,right_index,extra_keyframes,extra_keyframe_count,max_selector_score,mean_selector_score,max_vote_count,hard_label_count,high_payload_label_count,mean_payload_bytes,mean_stage158_psnr,mean_stage158_lpips,rank_index
drift-straight:00016:00024,drift-straight,16,24,19,1,5.9714285714285715,5.9714285714285715,5.0,0,1,260238.0,30.242848185595204,0.11668480932712555,1
scooter-black:00032:00040,scooter-black,32,40,37,1,5.942857142857143,5.942857142857143,5.0,0,1,247692.0,27.48157589409837,0.1386011242866516,2
scooter-black:00024:00032,scooter-black,24,32,27,1,5.936134453781513,5.936134453781513,5.0,0,1,244648.0,27.19165314212106,0.13937756419181824,3
drift-straight:00032:00040,drift-straight,32,40,37,1,5.907563025210084,5.907563025210084,5.0,0,1,251138.0,32.031672211797314,0.14438967406749725,4
loading:00032:00040,loading,32,40,35 38,2,5.904201680672269,5.863025210084034,5.0,0,2,245251.0,28.584152133583643,0.1617835909128189,5
loading:00008:00016,loading,8,16,13,1,5.892436974789916,5.892436974789916,5.0,0,1,249897.0,28.725972105343534,0.12928496301174164,6
scooter-black:00008:00016,scooter-black,8,16,10,1,5.882352941176471,5.882352941176471,5.0,1,1,223623.0,25.139113673960868,0.20580781996250153,7
drift-straight:00008:00016,drift-straight,8,16,9,1,5.872268907563026,5.872268907563026,5.0,0,1,236867.0,30.262937450018946,0.10939006507396698,8
soapbox:00056:00064,soapbox,56,64,61,1,5.826890756302521,5.826890756302521,5.0,0,1,253262.0,29.652676453289992,0.19451424479484558,9
lab-coat:00032:00040,lab-coat,32,40,35 36,2,5.796638655462185,5.791596638655462,5.0,0,2,251296.0,30.91260099927392,0.14973650872707367,10
car-roundabout:00000:00008,car-roundabout,0,8,1,1,5.754621848739496,5.754621848739496,5.0,0,1,220792.0,27.51871864418962,0.14457689225673676,11
soapbox:00072:00080,soapbox,72,80,78,1,5.7478991596638656,5.7478991596638656,5.0,0,1,246995.0,30.961850197233606,0.14360126852989197,12
motocross-jump:00016:00024,motocross-jump,16,24,22 23,2,4.904201680672269,4.9,4.0,2,2,247438.5,31.39112051507741,0.3004394471645355,13
shooting:00008:00016,shooting,8,16,9 12,2,4.885714285714285,4.868067226890756,4.0,1,2,241836.5,33.69752189514591,0.20512058585882187,14
drift-straight:00000:00008,drift-straight,0,8,2,1,4.862184873949579,4.862184873949579,4.0,0,1,253474.0,31.210591956485423,0.1128348708152771,15
shooting:00016:00024,shooting,16,24,19,1,4.810084033613445,4.810084033613445,4.0,0,1,231959.0,35.31447864697665,0.1123308539390564,16
motocross-jump:00008:00016,motocross-jump,8,16,13,1,4.776470588235294,4.776470588235294,4.0,1,1,263358.0,31.063829825022648,0.3191358745098114,17
bmx-trees:00032:00040,bmx-trees,32,40,35,1,4.764705882352941,4.764705882352941,4.0,0,1,256821.0,29.201382012700087,0.1247481256723404,18
car-roundabout:00056:00064,car-roundabout,56,64,59,1,4.761344537815126,4.761344537815126,4.0,1,1,224613.0,25.98485821152527,0.1529761403799057,19
india:00024:00032,india,24,32,27 30,2,4.73781512605042,4.731932773109244,4.0,2,2,231995.0,31.88570782249907,0.24175602942705154,20
goat:00000:00008,goat,0,8,3,1,4.734453781512605,4.734453781512605,4.0,0,1,251325.0,27.28856003850924,0.1755366176366806,21
dance-twirl:00016:00024,dance-twirl,16,24,21,1,4.7176470588235295,4.7176470588235295,4.0,0,1,224250.0,30.979394772938843,0.16457435488700867,22
parkour:00088:00096,parkour,88,96,90,1,4.709243697478992,4.709243697478992,4.0,1,1,223869.0,25.56769999688809,0.22302022576332092,23
shooting:00000:00008,shooting,0,8,7,1,4.705882352941177,4.705882352941177,4.0,0,1,238787.0,35.227434595209886,0.16433610022068024,24
soapbox:00048:00056,soapbox,48,56,49,1,4.695798319327731,4.695798319327731,4.0,0,1,236226.0,30.851491404380763,0.10691956430673599,25
scooter-black:00000:00008,scooter-black,0,8,4,1,4.6873949579831935,4.6873949579831935,4.0,1,0,218516.0,24.4885691478027,0.20375370979309082,26
