sample,method,reference_gap,bits,payload_dtype,total_frames,keyframe_count,raw_bitstream_bytes,zlib_bitstream_bytes,raw_mib_per_frame,zlib_mib_per_frame,theoretical_bitpacked_mib_per_frame,zlib_savings_percent_vs_raw_bitstream,max_roundtrip_abs_diff,mean_roundtrip_mse
n3dv,uniform,1,6,uint8,81,81,38867473,17304554,0.45761618202115284,0.20373961366253135,0.3427734375,55.47805744921981,0.0,0.0
n3dv,uniform,1,8,uint8,81,81,38867338,25626910,0.4576145925639588,0.30172501081301845,0.45703125,34.06569289617931,0.0,0.0
n3dv,uniform,1,10,uint16,81,81,77686014,39517810,0.9146562505651403,0.4652730918224947,0.5712890625,49.131371317364795,0.0,0.0
n3dv,uniform,1,12,uint16,81,81,77686360,44687767,0.9146603242850598,0.5261429092030466,0.685546875,42.476688314396505,0.0,0.0
n3dv,uniform,1,16,uint16,81,81,77686784,52503769,0.9146653163580247,0.6181666174052675,0.9140625,32.416086370623866,0.0,0.0
n3dv,rendered_prior_0p1,1,6,uint8,81,81,38867473,17304554,0.45761618202115284,0.20373961366253135,0.3427734375,55.47805744921981,0.0,0.0
n3dv,rendered_prior_0p1,1,8,uint8,81,81,38867338,25626910,0.4576145925639588,0.30172501081301845,0.45703125,34.06569289617931,0.0,0.0
n3dv,rendered_prior_0p1,1,10,uint16,81,81,77686014,39517810,0.9146562505651403,0.4652730918224947,0.5712890625,49.131371317364795,0.0,0.0
n3dv,rendered_prior_0p1,1,12,uint16,81,81,77686360,44687767,0.9146603242850598,0.5261429092030466,0.685546875,42.476688314396505,0.0,0.0
n3dv,rendered_prior_0p1,1,16,uint16,81,81,77686784,52503769,0.9146653163580247,0.6181666174052675,0.9140625,32.416086370623866,0.0,0.0
n3dv,uniform,2,6,uint8,81,41,19673701,8759424,0.2316333747204439,0.10313132957175926,0.17350260416666666,55.47648101391802,0.0,0.0
n3dv,uniform,2,8,uint8,81,41,19673645,12971605,0.2316327153900523,0.15272452507489992,0.23133680555555555,34.066081806396326,0.0,0.0
n3dv,uniform,2,10,uint16,81,41,39322600,20004006,0.46297473671995565,0.2355223055239077,0.2891710069444444,49.128475736599306,0.0,0.0
n3dv,uniform,2,12,uint16,81,41,39322759,22620669,0.46297660874731744,0.26633025981761793,0.3470052083333333,42.47435944156411,0.0,0.0
n3dv,uniform,2,16,uint16,81,41,39322988,26576757,0.4629793049376688,0.3129082785712348,0.4626736111111111,32.41419751723852,0.0,0.0
n3dv,rendered_prior_0p1,2,6,uint8,81,41,19673701,8759424,0.2316333747204439,0.10313132957175926,0.17350260416666666,55.47648101391802,0.0,0.0
n3dv,rendered_prior_0p1,2,8,uint8,81,41,19673645,12971605,0.2316327153900523,0.15272452507489992,0.23133680555555555,34.066081806396326,0.0,0.0
n3dv,rendered_prior_0p1,2,10,uint16,81,41,39322600,20004006,0.46297473671995565,0.2355223055239077,0.2891710069444444,49.128475736599306,0.0,0.0
n3dv,rendered_prior_0p1,2,12,uint16,81,41,39322759,22620669,0.46297660874731744,0.26633025981761793,0.3470052083333333,42.47435944156411,0.0,0.0
n3dv,rendered_prior_0p1,2,16,uint16,81,41,39322988,26576757,0.4629793049376688,0.3129082785712348,0.4626736111111111,32.41419751723852,0.0,0.0
n3dv,uniform,3,6,uint8,81,28,13435746,5981643,0.15818920841923467,0.07042641109890407,0.11848958333333333,55.47963618841857,0.0,0.0
n3dv,uniform,3,8,uint8,81,28,13435697,8858178,0.15818863150514204,0.10429403516981336,0.1579861111111111,34.069829053155935,0.0,0.0
n3dv,uniform,3,10,uint16,81,28,26854514,13659839,0.3161785219922478,0.160827624944993,0.1974826388888889,49.13391841684418,0.0,0.0
n3dv,uniform,3,12,uint16,81,28,26854627,15447343,0.316179852426788,0.18187326266441817,0.23697916666666666,42.4779089279475,0.0,0.0
n3dv,uniform,3,16,uint16,81,28,26854772,18149378,0.31618155962155187,0.21368636614010658,0.3159722222222222,32.41656268762959,0.0,0.0
n3dv,rendered_prior_0p1,3,6,uint8,81,28,13435719,5980969,0.15818889052779586,0.07041847558669102,0.11848958333333333,55.48456320052541,0.0,0.0
n3dv,rendered_prior_0p1,3,8,uint8,81,28,13435681,8858094,0.15818844312503014,0.10429304617422598,0.1579861111111111,34.07037574053746,0.0,0.0
n3dv,rendered_prior_0p1,3,10,uint16,81,28,26854479,13660467,0.316178109910753,0.1608350188643844,0.1974826388888889,49.131513592201884,0.0,0.0
n3dv,rendered_prior_0p1,3,12,uint16,81,28,26854599,15448299,0.31617952276159217,0.18188451837610314,0.23697916666666666,42.474289040771005,0.0,0.0
n3dv,rendered_prior_0p1,3,16,uint16,81,28,26854756,18149557,0.31618137124144,0.21368847364260826,0.3159722222222222,32.41585587297833,0.0,0.0
n3dv,uniform,4,6,uint8,81,21,10076811,4487460,0.11864192397506149,0.05283426355432581,0.0888671875,55.46745890143221,0.0,0.0
n3dv,uniform,4,8,uint8,81,21,10076768,6644422,0.1186414177035108,0.07822980998474875,0.11848958333333333,34.061973045325644,0.0,0.0
n3dv,uniform,4,10,uint16,81,21,20140884,10247260,0.23713387383355033,0.12064874908070505,0.14811197916666666,49.12209414442782,0.0,0.0
n3dv,uniform,4,12,uint16,81,21,20140971,11586508,0.2371348981504087,0.13641672958562404,0.177734375,42.47294234225351,0.0,0.0
n3dv,uniform,4,16,uint16,81,21,20141083,13613606,0.2371362168111919,0.1602832888379509,0.23697916666666666,32.408768684385045,0.0,0.0
n3dv,rendered_prior_0p1,4,6,uint8,81,21,10076811,4487460,0.11864192397506149,0.05283426355432581,0.0888671875,55.46745890143221,0.0,0.0
n3dv,rendered_prior_0p1,4,8,uint8,81,21,10076768,6644422,0.1186414177035108,0.07822980998474875,0.11848958333333333,34.061973045325644,0.0,0.0
n3dv,rendered_prior_0p1,4,10,uint16,81,21,20140884,10247260,0.23713387383355033,0.12064874908070505,0.14811197916666666,49.12209414442782,0.0,0.0
n3dv,rendered_prior_0p1,4,12,uint16,81,21,20140971,11586508,0.2371348981504087,0.13641672958562404,0.177734375,42.47294234225351,0.0,0.0
n3dv,rendered_prior_0p1,4,16,uint16,81,21,20141083,13613606,0.2371362168111919,0.1602832888379509,0.23697916666666666,32.408768684385045,0.0,0.0
n3dv,uniform,8,6,uint8,81,11,5278385,2350081,0.062146422303753134,0.027669282607090326,0.046549479166666664,55.477271930713655,0.0,0.0
n3dv,uniform,8,8,uint8,81,11,5278356,3479778,0.06214608086480035,0.040970060560438365,0.062065972222222224,34.07458685999959,0.0,0.0
n3dv,uniform,8,10,uint16,81,11,10550040,5367842,0.1242136072229456,0.06319966728304639,0.07758246527777778,49.1201739519471,0.0,0.0
n3dv,uniform,8,12,uint16,81,11,10550086,6069176,0.12421414881576727,0.07145700336974344,0.09309895833333333,42.47273434548306,0.0,0.0
n3dv,uniform,8,16,uint16,81,11,10550143,7131094,0.12421481991991584,0.08395976784788532,0.12413194444444445,32.40760812436381,0.0,0.0
n3dv,rendered_prior_0p1,8,6,uint8,81,11,5278385,2350081,0.062146422303753134,0.027669282607090326,0.046549479166666664,55.477271930713655,0.0,0.0
n3dv,rendered_prior_0p1,8,8,uint8,81,11,5278356,3479778,0.06214608086480035,0.040970060560438365,0.062065972222222224,34.07458685999959,0.0,0.0
n3dv,rendered_prior_0p1,8,10,uint16,81,11,10550040,5367842,0.1242136072229456,0.06319966728304639,0.07758246527777778,49.1201739519471,0.0,0.0
n3dv,rendered_prior_0p1,8,12,uint16,81,11,10550086,6069176,0.12421414881576727,0.07145700336974344,0.09309895833333333,42.47273434548306,0.0,0.0
n3dv,rendered_prior_0p1,8,16,uint16,81,11,10550143,7131094,0.12421481991991584,0.08395976784788532,0.12413194444444445,32.40760812436381,0.0,0.0
n3dv,uniform,16,6,uint8,81,6,2879178,1281523,0.033898742110640916,0.01508834038251712,0.025390625,55.48996970663155,0.0,0.0
n3dv,uniform,16,8,uint8,81,6,2879160,1897985,0.033898530183015044,0.0223464141657323,0.033854166666666664,34.078515956042736,0.0,0.0
n3dv,uniform,16,10,uint16,81,6,5754626,2927535,0.06775356810769917,0.03446808567753545,0.042317708333333336,49.12727603844281,0.0,0.0
n3dv,uniform,16,12,uint16,81,6,5754650,3310412,0.06775385067786699,0.03897598643361786,0.05078125,42.47413830554421,0.0,0.0
n3dv,uniform,16,16,uint16,81,6,5754686,3889717,0.06775427453311873,0.045796582728256416,0.06770833333333333,32.40783250380646,0.0,0.0
n3dv,rendered_prior_0p1,16,6,uint8,81,6,2879172,1281677,0.03389867146809896,0.015090153541093991,0.025390625,55.48452819074373,0.0,0.0
n3dv,rendered_prior_0p1,16,8,uint8,81,6,2879159,1897836,0.033898518409258054,0.022344659875940392,0.033854166666666664,34.08366818227128,0.0,0.0
n3dv,rendered_prior_0p1,16,10,uint16,81,6,5754623,2927163,0.06775353278642819,0.034463705839934175,0.042317708333333336,49.13371388534053,0.0,0.0
n3dv,rendered_prior_0p1,16,12,uint16,81,6,5754645,3310063,0.06775379180908203,0.03897187739242742,0.05078125,42.48015298945461,0.0,0.0
n3dv,rendered_prior_0p1,16,16,uint16,81,6,5754679,3889779,0.06775419211681978,0.04579731270118996,0.06770833333333333,32.406672900434586,0.0,0.0
meetroom,uniform,1,6,uint8,81,81,38866987,16355828,0.4576104599752544,0.19256954428590375,0.3427734375,57.91845660688851,0.0,0.0
meetroom,uniform,1,8,uint8,81,81,38866985,24986447,0.4576104364277404,0.29418435508822216,0.45703125,35.71292705106918,0.0,0.0
meetroom,uniform,1,10,uint16,81,81,77685643,38597277,0.914651882501296,0.4544349599767614,0.5712890625,50.31607449010881,0.0,0.0
meetroom,uniform,1,12,uint16,81,81,77686033,43941902,0.9146564742665232,0.517361275943709,0.685546875,43.436547982827236,0.0,0.0
meetroom,uniform,1,16,uint16,81,81,77686395,51562233,0.9146607363665545,0.6070812013414171,0.9140625,33.62771821243604,0.0,0.0
meetroom,rendered_prior_0p1,1,6,uint8,81,81,38866987,16355828,0.4576104599752544,0.19256954428590375,0.3427734375,57.91845660688851,0.0,0.0
meetroom,rendered_prior_0p1,1,8,uint8,81,81,38866985,24986447,0.4576104364277404,0.29418435508822216,0.45703125,35.71292705106918,0.0,0.0
meetroom,rendered_prior_0p1,1,10,uint16,81,81,77685643,38597277,0.914651882501296,0.4544349599767614,0.5712890625,50.31607449010881,0.0,0.0
meetroom,rendered_prior_0p1,1,12,uint16,81,81,77686033,43941902,0.9146564742665232,0.517361275943709,0.685546875,43.436547982827236,0.0,0.0
meetroom,rendered_prior_0p1,1,16,uint16,81,81,77686395,51562233,0.9146607363665545,0.6070812013414171,0.9140625,33.62771821243604,0.0,0.0
meetroom,uniform,2,6,uint8,81,41,19673451,8279411,0.23163043128119576,0.09747977315643687,0.17350260416666666,57.91581761633991,0.0,0.0
meetroom,uniform,2,8,uint8,81,41,19673445,12648560,0.2316303606386538,0.14892107174720293,0.23133680555555555,35.70744727219864,0.0,0.0
meetroom,uniform,2,10,uint16,81,41,39322415,19537765,0.462972558574912,0.23003289728988835,0.2891710069444444,50.31392400492187,0.0,0.0
meetroom,uniform,2,12,uint16,81,41,39322618,22243743,0.4629749486475815,0.2618924246893989,0.3470052083333333,43.432700742356474,0.0,0.0
meetroom,uniform,2,16,uint16,81,41,39322788,26100227,0.4629769501862703,0.3072977301515179,0.4626736111111111,33.62569561446152,0.0,0.0
meetroom,rendered_prior_0p1,2,6,uint8,81,41,19673451,8279411,0.23163043128119576,0.09747977315643687,0.17350260416666666,57.91581761633991,0.0,0.0
meetroom,rendered_prior_0p1,2,8,uint8,81,41,19673445,12648560,0.2316303606386538,0.14892107174720293,0.23133680555555555,35.70744727219864,0.0,0.0
meetroom,rendered_prior_0p1,2,10,uint16,81,41,39322415,19537765,0.462972558574912,0.23003289728988835,0.2891710069444444,50.31392400492187,0.0,0.0
meetroom,rendered_prior_0p1,2,12,uint16,81,41,39322618,22243743,0.4629749486475815,0.2618924246893989,0.3470052083333333,43.432700742356474,0.0,0.0
meetroom,rendered_prior_0p1,2,16,uint16,81,41,39322788,26100227,0.4629769501862703,0.3072977301515179,0.4626736111111111,33.62569561446152,0.0,0.0
meetroom,uniform,3,6,uint8,81,28,13435568,5654964,0.15818711269048996,0.06658017193829571,0.11848958333333333,57.910495484820586,0.0,0.0
meetroom,uniform,3,8,uint8,81,28,13435559,8638163,0.15818700672667704,0.10170363202507113,0.1579861111111111,35.70670933751249,0.0,0.0
meetroom,uniform,3,10,uint16,81,28,26854366,13342858,0.31617677947621287,0.15709556767969957,0.1974826388888889,50.31400853030751,0.0,0.0
meetroom,uniform,3,12,uint16,81,28,26854503,15190130,0.3161783924809209,0.1788448993070626,0.23697916666666666,43.43544544466155,0.0,0.0
meetroom,uniform,3,16,uint16,81,28,26854628,17824521,0.31617986420054495,0.20986157876473885,0.3159722222222222,33.62588750065724,0.0,0.0
meetroom,rendered_prior_0p1,3,6,uint8,81,28,13435587,5654993,0.15818733639187282,0.0665805133772485,0.11848958333333333,57.91033916121417,0.0,0.0
meetroom,rendered_prior_0p1,3,8,uint8,81,28,13435573,8637845,0.15818717155927492,0.10169988797034746,0.1579861111111111,35.70914318280285,0.0,0.0
meetroom,rendered_prior_0p1,3,10,uint16,81,28,26854370,13342760,0.31617682657124085,0.15709441385151426,0.1974826388888889,50.31438086240713,0.0,0.0
