base_method,codec,reference_gap,task_count,keep_fraction,side_bits,mean_payload_mib_per_intermediate_frame,mean_theoretical_mib_without_header,mean_byte_overhead_vs_theoretical,mean_base_psnr,mean_bitstream_psnr,mean_delta_psnr_vs_base,positive_delta_count
linear,q12,4,3,0.1,6,0.04137134552001953,0.041353702545166016,18.5,19.98979652819421,23.327021755289916,3.3372252270957077,3
linear,q12,8,5,0.1,6,0.04137134552001953,0.041353702545166016,18.5,18.12111775349949,20.94541228168298,2.8242945281834873,5
linear,q12,16,4,0.1,6,0.04137134552001953,0.041353702545166016,18.5,19.1130149705525,23.589545045225233,4.476530074672733,4
stage65_adapter,q12,4,3,0.1,6,0.04137134552001953,0.041353702545166016,18.5,20.48273820637705,23.352831018389125,2.870092812012075,3
stage65_adapter,q12,8,5,0.1,6,0.04137134552001953,0.041353702545166016,18.5,18.532358493984642,20.943699759081163,2.41134126509652,5
stage65_adapter,q12,16,4,0.1,6,0.04137134552001953,0.041353702545166016,18.5,19.075010088585586,22.48232041707169,3.407310328486104,4
