sample,method,reference_gap,total_frames,keyframe_count,keyframe_ratio,estimated_q8_static_mib_per_frame,max_segment_length,mean_segment_length,segment_lengths,indices
driving,segment_motion,8,81,11,0.13580246913580246,0.062065972222222224,11,8.0,4 5 4 6 9 11 10 11 11 9,0 4 9 13 19 28 39 49 60 71 80
driving,segment_gaussian,8,81,11,0.13580246913580246,0.062065972222222224,13,8.0,4 5 4 5 9 11 8 13 12 9,0 4 9 13 18 27 38 46 59 71 80
driving,segment_rd,8,81,11,0.13580246913580246,0.062065972222222224,12,8.0,4 5 4 6 9 11 9 12 11 9,0 4 9 13 19 28 39 48 60 71 80
driving,uniform,16,81,6,0.07407407407407407,0.033854166666666664,16,16.0,16 16 16 16 16,0 16 32 48 64 80
driving,segment_motion,16,81,6,0.07407407407407407,0.033854166666666664,23,16.0,7 9 23 21 20,0 7 16 39 60 80
driving,segment_gaussian,16,81,6,0.07407407407407407,0.033854166666666664,22,16.0,15 10 13 20 22,0 15 25 38 58 80
driving,segment_rd,16,81,6,0.07407407407407407,0.033854166666666664,23,16.0,8 8 23 21 20,0 8 16 39 60 80
robot,uniform,4,77,20,0.2597402597402597,0.11870941558441558,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76
robot,segment_motion,4,77,20,0.2597402597402597,0.11870941558441558,8,4.0,5 4 4 6 3 2 4 6 4 2 2 2 3 6 3 3 7 8 2,0 5 9 13 19 22 24 28 34 38 40 42 44 47 53 56 59 66 74 76
robot,segment_gaussian,4,77,20,0.2597402597402597,0.11870941558441558,7,4.0,5 4 4 6 4 2 3 6 4 2 2 2 3 5 4 4 6 7 3,0 5 9 13 19 23 25 28 34 38 40 42 44 47 52 56 60 66 73 76
robot,segment_rd,4,77,20,0.2597402597402597,0.11870941558441558,8,4.0,5 4 4 6 3 2 4 6 4 2 2 2 3 5 4 3 7 8 2,0 5 9 13 19 22 24 28 34 38 40 42 44 47 52 56 59 66 74 76
robot,uniform,8,77,11,0.14285714285714285,0.06529017857142858,8,7.6,8 8 8 8 8 8 8 8 8 4,0 8 16 24 32 40 48 56 64 72 76
robot,segment_motion,8,77,11,0.14285714285714285,0.06529017857142858,11,7.6,9 4 6 5 4 10 7 11 11 9,0 9 13 19 24 28 38 45 56 67 76
robot,segment_gaussian,8,77,11,0.14285714285714285,0.06529017857142858,11,7.6,9 4 6 8 11 4 3 11 11 9,0 9 13 19 27 38 42 45 56 67 76
robot,segment_rd,8,77,11,0.14285714285714285,0.06529017857142858,11,7.6,9 4 6 8 11 4 3 11 11 9,0 9 13 19 27 38 42 45 56 67 76
robot,uniform,16,77,6,0.07792207792207792,0.03561282467532467,16,15.2,16 16 16 16 12,0 16 32 48 64 76
robot,segment_motion,16,77,6,0.07792207792207792,0.03561282467532467,25,15.2,19 9 10 13 25,0 19 28 38 51 76
robot,segment_gaussian,16,77,6,0.07792207792207792,0.03561282467532467,24,15.2,17 9 12 14 24,0 17 26 38 52 76
robot,segment_rd,16,77,6,0.07792207792207792,0.03561282467532467,25,15.2,18 9 11 13 25,0 18 27 38 51 76
