source_scope,base_method,codec,reference_gap,keep_fraction,side_bits,gaussian_count,attr_dim,keep_count,fixed_payload_bytes,deterministic_payload_bytes,fixed_sideinfo_mib_per_intermediate_frame,deterministic_sideinfo_mib_per_intermediate_frame,saved_index_bytes_vs_fixed,deterministic_ratio_vs_fixed,entropy_reference_setting,entropy_reference_mib_per_intermediate_frame,entropy_reference_payload_bytes,deterministic_minus_entropy_reference_mib_per_intermediate_frame,deterministic_minus_entropy_reference_bytes,deterministic_ratio_vs_entropy_reference,below_entropy_reference_rate,q12_main_anchor_mib_per_frame,uniform_intermediate_frame_ratio,deterministic_direct_total_mib_per_frame,deterministic_amortized_total_mib_per_frame,comparison_note
stage96_entropy_broader,linear,q12,4,0.025,2,36860,13,922,4911,3067,0.004683494567871094,0.0029249191284179688,1844,0.6245163917735695,stage96_q6_top10_measured,0.028486092885335285,29869.833333333332,-0.025561173756917317,-26802.833333333332,0.10267884543491483,1,0.18193822076791313,0.75,0.1848631398963311,0.1841319101142266,cross_setting_rate_only_quality_unknown
stage96_entropy_broader,linear,q12,8,0.025,2,36860,13,922,4911,3067,0.004683494567871094,0.0029249191284179688,1844,0.6245163917735695,stage96_q6_top10_measured,0.02903069947895251,30440.894736842107,-0.02610578035053454,-27373.894736842107,0.10075262328896203,1,0.09762538675351436,0.875,0.10055030588193233,0.10018469099088008,cross_setting_rate_only_quality_unknown
stage96_entropy_broader,linear,q12,16,0.025,2,36860,13,922,4911,3067,0.004683494567871094,0.0029249191284179688,1844,0.6245163917735695,stage96_q6_top10_measured,0.028838696687117867,30239.565217391304,-0.025913777558699898,-27172.565217391304,0.10142341591062673,1,0.055468969746314975,0.9375,0.058393888874732944,0.05821108142920682,cross_setting_rate_only_quality_unknown
stage96_entropy_broader,stage65_adapter,q12,4,0.025,2,36860,13,922,4911,3067,0.004683494567871094,0.0029249191284179688,1844,0.6245163917735695,stage96_q6_top10_measured,0.033147705925835505,34757.88888888889,-0.030222786797417536,-31690.88888888889,0.08823896093932312,1,0.18193822076791313,0.75,0.1848631398963311,0.1841319101142266,cross_setting_rate_only_quality_unknown
stage96_entropy_broader,stage65_adapter,q12,8,0.025,2,36860,13,922,4911,3067,0.004683494567871094,0.0029249191284179688,1844,0.6245163917735695,stage96_q6_top10_measured,0.033867986578690376,35513.15789473684,-0.030943067450272407,-32446.15789473684,0.08636235642830678,1,0.09762538675351436,0.875,0.10055030588193233,0.10018469099088008,cross_setting_rate_only_quality_unknown
stage96_entropy_broader,stage65_adapter,q12,16,0.025,2,36860,13,922,4911,3067,0.004683494567871094,0.0029249191284179688,1844,0.6245163917735695,stage96_q6_top10_measured,0.03376620748768682,35406.434782608696,-0.030841288359268852,-32339.434782608696,0.08662267237102565,1,0.055468969746314975,0.9375,0.058393888874732944,0.05821108142920682,cross_setting_rate_only_quality_unknown
stage96_entropy_broader,linear,q12,4,0.025,3,36860,13,922,6409,4565,0.006112098693847656,0.004353523254394531,1844,0.7122796068029333,stage96_q6_top10_measured,0.028486092885335285,29869.833333333332,-0.024132569630940754,-25304.833333333332,0.15282977809272455,1,0.18193822076791313,0.75,0.18629174402230766,0.18520336320870903,cross_setting_rate_only_quality_unknown
stage96_entropy_broader,linear,q12,8,0.025,3,36860,13,922,6409,4565,0.006112098693847656,0.004353523254394531,1844,0.7122796068029333,stage96_q6_top10_measured,0.02903069947895251,30440.894736842107,-0.02467717622455798,-25875.894736842107,0.14996274056540976,1,0.09762538675351436,0.875,0.10197891000790889,0.10143471960110957,cross_setting_rate_only_quality_unknown
stage96_entropy_broader,linear,q12,16,0.025,3,36860,13,922,6409,4565,0.006112098693847656,0.004353523254394531,1844,0.7122796068029333,stage96_q6_top10_measured,0.028838696687117867,30239.565217391304,-0.024485173432723335,-25674.565217391304,0.15096116518813532,1,0.055468969746314975,0.9375,0.059822493000709506,0.05955039779730985,cross_setting_rate_only_quality_unknown
stage96_entropy_broader,stage65_adapter,q12,4,0.025,3,36860,13,922,6409,4565,0.006112098693847656,0.004353523254394531,1844,0.7122796068029333,stage96_q6_top10_measured,0.033147705925835505,34757.88888888889,-0.028794182671440974,-30192.88888888889,0.1313370905405967,1,0.18193822076791313,0.75,0.18629174402230766,0.18520336320870903,cross_setting_rate_only_quality_unknown
stage96_entropy_broader,stage65_adapter,q12,8,0.025,3,36860,13,922,6409,4565,0.006112098693847656,0.004353523254394531,1844,0.7122796068029333,stage96_q6_top10_measured,0.033867986578690376,35513.15789473684,-0.029514463324295845,-30948.15789473684,0.1285439051500556,1,0.09762538675351436,0.875,0.10197891000790889,0.10143471960110957,cross_setting_rate_only_quality_unknown
stage96_entropy_broader,stage65_adapter,q12,16,0.025,3,36860,13,922,6409,4565,0.006112098693847656,0.004353523254394531,1844,0.7122796068029333,stage96_q6_top10_measured,0.03376620748768682,35406.434782608696,-0.02941268423329229,-30841.434782608696,0.12893136595165702,1,0.055468969746314975,0.9375,0.059822493000709506,0.05955039779730985,cross_setting_rate_only_quality_unknown
stage96_entropy_broader,linear,q12,4,0.025,4,36860,13,922,7907,6063,0.007540702819824219,0.005782127380371094,1844,0.7667889212090553,stage96_q6_top10_measured,0.028486092885335285,29869.833333333332,-0.02270396550496419,-23806.833333333332,0.20298071075053428,1,0.18193822076791313,0.75,0.18772034814828423,0.18627481630319145,cross_setting_rate_only_quality_unknown
stage96_entropy_broader,linear,q12,8,0.025,4,36860,13,922,7907,6063,0.007540702819824219,0.005782127380371094,1844,0.7667889212090553,stage96_q6_top10_measured,0.02903069947895251,30440.894736842107,-0.023248572098581416,-24377.894736842107,0.19917285784185745,1,0.09762538675351436,0.875,0.10340751413388545,0.10268474821133906,cross_setting_rate_only_quality_unknown
stage96_entropy_broader,linear,q12,16,0.025,4,36860,13,922,7907,6063,0.007540702819824219,0.005782127380371094,1844,0.7667889212090553,stage96_q6_top10_measured,0.028838696687117867,30239.565217391304,-0.023056569306746773,-24176.565217391304,0.2004989144656439,1,0.055468969746314975,0.9375,0.06125109712668607,0.060889714165412875,cross_setting_rate_only_quality_unknown
stage96_entropy_broader,stage65_adapter,q12,4,0.025,4,36860,13,922,7907,6063,0.007540702819824219,0.005782127380371094,1844,0.7667889212090553,stage96_q6_top10_measured,0.033147705925835505,34757.88888888889,-0.02736557854546441,-28694.88888888889,0.17443522014187027,1,0.18193822076791313,0.75,0.18772034814828423,0.18627481630319145,cross_setting_rate_only_quality_unknown
stage96_entropy_broader,stage65_adapter,q12,8,0.025,4,36860,13,922,7907,6063,0.007540702819824219,0.005782127380371094,1844,0.7667889212090553,stage96_q6_top10_measured,0.033867986578690376,35513.15789473684,-0.028085859198319282,-29450.15789473684,0.17072545387180438,1,0.09762538675351436,0.875,0.10340751413388545,0.10268474821133906,cross_setting_rate_only_quality_unknown
stage96_entropy_broader,stage65_adapter,q12,16,0.025,4,36860,13,922,7907,6063,0.007540702819824219,0.005782127380371094,1844,0.7667889212090553,stage96_q6_top10_measured,0.03376620748768682,35406.434782608696,-0.027984080107315727,-29343.434782608696,0.1712400595322884,1,0.055468969746314975,0.9375,0.06125109712668607,0.060889714165412875,cross_setting_rate_only_quality_unknown
stage96_entropy_broader,linear,q12,4,0.025,5,36860,13,922,9406,7562,0.008970260620117188,0.0072116851806640625,1844,0.8039549223899638,stage96_q6_top10_measured,0.028486092885335285,29869.833333333332,-0.021274407704671223,-22307.833333333332,0.2531651220015735,1,0.18193822076791313,0.75,0.1891499059485772,0.18734698465341118,cross_setting_rate_only_quality_unknown
stage96_entropy_broader,linear,q12,8,0.025,5,36860,13,922,9406,7562,0.008970260620117188,0.0072116851806640625,1844,0.8039549223899638,stage96_q6_top10_measured,0.02903069947895251,30440.894736842107,-0.021819014298288447,-22878.894736842107,0.24841582566388357,1,0.09762538675351436,0.875,0.10483707193417842,0.10393561128659541,cross_setting_rate_only_quality_unknown
stage96_entropy_broader,linear,q12,16,0.025,5,36860,13,922,9406,7562,0.008970260620117188,0.0072116851806640625,1844,0.8039549223899638,stage96_q6_top10_measured,0.028838696687117867,30239.565217391304,-0.021627011506453804,-22677.565217391304,0.2500697330016822,1,0.055468969746314975,0.9375,0.06268065492697904,0.062229924603187534,cross_setting_rate_only_quality_unknown
