sample,frame_gap,total_frames,keyframe_count,keyframe_ratio,raw_pred_gs_mib_per_frame,all_psnr_avg,all_ssim_avg,middle_psnr_avg,middle_ssim_avg,given_psnr_avg,given_ssim_avg
n3dv,2,81,41,0.5061728395061729,3.0555555555555554,34.00257984969773,0.9667736291885376,33.58964491875268,0.9639030694961548,34.4054431969612,0.9695740938186646
meetroom,2,81,41,0.5061728395061729,3.0555555555555554,34.66535791745963,0.9765530824661255,33.18279796157019,0.9709575772285461,36.11175787442493,0.9820120334625244
driving,2,81,41,0.5061728395061729,3.0555555555555554,32.778024459768886,0.8955454230308533,28.529482820419226,0.8216785192489624,36.92294313230514,0.9676105976104736
robot,2,77,39,0.5064935064935064,3.0535714285714284,30.368206570533545,0.9119219183921814,24.683640073609688,0.8551043272018433,35.90701495215166,0.9672828316688538
n3dv,4,81,21,0.25925925925925924,1.5277777777777777,33.396097125883884,0.9628844857215881,33.05214751501394,0.9606038331985474,34.37881029979802,0.9694005846977234
meetroom,4,81,21,0.25925925925925924,1.5277777777777777,32.426306907565184,0.9657658934593201,31.16402283676168,0.9601770639419556,36.03283282414661,0.9817337989807129
driving,4,81,21,0.25925925925925924,1.5277777777777777,30.19499361377901,0.8423253893852234,27.8361707040232,0.7984945774078369,36.934487641652744,0.967556357383728
robot,4,77,20,0.2597402597402597,1.5267857142857142,26.48952270103011,0.8638617992401123,23.178616842028035,0.8275270462036133,35.92560439918602,0.9674158096313477
n3dv,8,81,11,0.13580246913580246,0.7638888888888888,32.50256187885475,0.9579448699951172,32.20737553635098,0.9561402201652527,34.381020422060516,0.9694285988807678
meetroom,8,81,11,0.13580246913580246,0.7638888888888888,29.688134084369025,0.9497024416923523,28.687150691679037,0.9446645379066467,36.05802840148719,0.981762170791626
driving,8,81,11,0.13580246913580246,0.7638888888888888,27.865137073780094,0.7772130370140076,26.441515543187688,0.7473002076148987,36.92454681391353,0.9675672650337219
robot,8,77,11,0.14285714285714285,0.8035714285714286,23.881149007028327,0.8210364580154419,21.87206191083732,0.7966614365577698,35.93567158417433,0.9672867059707642
n3dv,16,81,6,0.07407407407407407,0.3819444444444444,30.88175880266532,0.9464583396911621,30.603149369948575,0.9446261525154114,34.36437671162463,0.9693603515625
meetroom,16,81,6,0.07407407407407407,0.3819444444444444,26.799016431037238,0.9289352297782898,26.05673671423366,0.9247069358825684,36.07751289108196,0.9817876219749451
driving,16,81,6,0.07407407407407407,0.3819444444444444,25.116347694397792,0.6941215991973877,24.172064003624158,0.6722549796104431,36.91989382906817,0.9674549102783203
robot,16,77,6,0.07792207792207792,0.4017857142857143,21.820692064823202,0.7877994179725647,20.638128748705714,0.7726663947105408,35.814357972213486,0.9668741822242737
