role,setting_label,keep_fraction,adapter_delta_scale,reference_gap,task_count,q12_main_anchor_mib_per_frame,residual_payload_mib_per_frame,selected_index_payload_mib_per_frame,policy_scale_payload_mib_per_frame,direct_total_mib_per_frame,amortized_total_mib_per_frame,mean_base_psnr,mean_full_adapter_psnr,mean_final_psnr,mean_delta_psnr_vs_base,mean_delta_psnr_vs_stage132_scale1,transmitted_residual_payload_bytes,transmitted_selected_index_bytes,deployable_no_teacher
primary,q4_top20,0.2,0.75,all,60,0.11729838135687401,0.0,0.0,0.0,0.11729838135687401,0.11729838135687401,18.950802996431143,19.1876432931255,19.022109503207204,0.07130650677606927,0.011850152732368002,0,0,1
primary,q4_top20,0.2,0.75,4,23,0.18193822076791308,0.0,0.0,0.0,0.18193822076791308,0.18193822076791308,19.649148363504246,19.96518425303781,19.73213418470318,0.082985821198935,0.026550466855031374,0,0,1
primary,q4_top20,0.2,0.75,8,19,0.09762538675351438,0.0,0.0,0.0,0.09762538675351438,0.09762538675351438,19.410525223673424,19.637830581144456,19.49418148583195,0.0836562621585213,0.0024163339210936385,0,0,1
primary,q4_top20,0.2,0.75,16,18,0.05546896974631498,0.0,0.0,0.0,0.05546896974631498,0.05546896974631498,17.573210454193084,17.718921040328652,17.616557539636233,0.043347085443152605,0.0030243378764254203,0,0,1
low_rate,q4_top10,0.1,0.75,all,60,0.11729838135687401,0.0,0.0,0.0,0.11729838135687401,0.11729838135687401,18.950802996431143,19.1876432931255,18.997890662360874,0.047087665929735116,0.0030771819805366363,0,0,1
low_rate,q4_top10,0.1,0.75,4,23,0.18193822076791308,0.0,0.0,0.0,0.18193822076791308,0.18193822076791308,19.649148363504246,19.96518425303781,19.707570972100733,0.05842260859648602,0.010186504621223946,0,0,1
low_rate,q4_top10,0.1,0.75,8,19,0.09762538675351438,0.0,0.0,0.0,0.09762538675351438,0.09762538675351438,19.410525223673424,19.637830581144456,19.458984327233594,0.04845910356016949,7.500541464722232e-05,0,0,1
low_rate,q4_top10,0.1,0.75,16,18,0.05546896974631498,0.0,0.0,0.0,0.05546896974631498,0.05546896974631498,17.573210454193084,17.718921040328652,17.604366953660953,0.031156499467872675,-0.0028379883519171756,0,0,1
