model,feature_count,train_rows,eval_rows,train_rmse_log,eval_rmse_log,train_mae_log,eval_mae_log,train_pearson_log,eval_pearson_log,train_spearman_log,eval_spearman_log
length_only_ridge,2,3072,1536,0.03870648387717512,0.03748165925098028,0.031035397677388596,0.03079482991607954,0.327301802942736,0.3094398002609641,0.3484414158600082,0.3391438570632329
rgb_motion_ridge,7,3072,1536,0.021107554371402215,0.032271284148152724,0.01661410830089587,0.027284673508729138,0.8570176941854778,0.6528770726740828,0.8448057585583272,0.6576988074032709
anchor_endpoint_ridge,15,3072,1536,0.021070183353715168,0.020229501422918364,0.015861874858110112,0.01598932737117346,0.8575655700009158,0.8664301098563049,0.8641918497090181,0.8671254647839715
full_feature_ridge,18,3072,1536,0.01602411007737168,0.01746532908957139,0.012422056011834123,0.013720940971676495,0.9203109238696016,0.9103771172408511,0.9152812988029638,0.9017146144293104
