schedule,target_count,rendered_count,target_keyframe_count,mean_psnr,p10_psnr,mean_ssim,mean_ms_ssim,mean_lpips,p90_lpips,mean_original_psnr,mean_original_lpips,mean_payload_bytes,mean_side_mib_per_intermediate,mean_delta_psnr_vs_uniform_gap8,mean_delta_lpips_vs_uniform_gap8
uniform_gap8,8,8,0,27.889178289574676,24.68437651910845,0.8163857758045197,0.9782927110791206,0.21933318674564362,0.26807732731103895,17.61829238713671,0.4349194299429655,242546.25,0.23131012916564941,0.0,0.0
stage165_adaptive,8,0,8,,,,,,,,,,,,
uniform_gap4,8,7,1,28.175228642729053,25.089973693793933,0.8180668779781887,0.9779520630836487,0.23104432225227356,0.2933799624443054,19.09294003509171,0.40883312055042814,232906.14285714287,0.22211660657610213,-0.1717296028251281,0.010208676968302046
