setting_label,keep_fraction,side_bits,group_count,task_row_count,mean_keep_gaussians,mean_compressed_payload_bytes,mean_compressed_mib_per_intermediate_frame,mean_direct_total_mib_per_frame,mean_amortized_total_mib_per_frame,mean_base_psnr,mean_setting_psnr,mean_delta_psnr_vs_base,positive_delta_vs_base_count,mean_delta_psnr_vs_q6_top10,near_q6_within_0p10db_count,max_decoded_max_abs_diff_vs_raw_deterministic
q6_top10,0.1,6,6,24,3686.0,29368.583333333332,0.028008063634236652,0.13265951988895094,0.12890187420248345,19.059878569903617,20.509201246149463,1.4493226762458462,24,0.0,24,0.0
q5_top10,0.1,5,6,24,3686.0,24682.291666666668,0.023538867632548015,0.1281903238872623,0.12503963726559633,19.059878569903617,20.503631356341803,1.4437527864381863,24,-0.00556988980765986,24,0.0
q4_top10,0.1,4,6,24,3686.0,15117.083333333334,0.014416774113972982,0.11906823036868726,0.11714270480274513,19.059878569903617,20.474517727609136,1.41463915770552,24,-0.03468351854032611,23,0.0
q6_top5,0.05,6,6,24,1843.0,15099.25,0.01439976692199707,0.11905122317671135,0.11711924789149915,19.059878569903617,19.89178909516828,0.8319105252646616,24,-0.6174121509811845,0,0.0
q4_top20,0.2,4,6,24,7373.0,28241.333333333332,0.026933034261067707,0.131584490515782,0.12796449678936953,19.059878569903617,21.530766808788716,2.4708882388850957,24,1.02156556263925,24,0.0
