candidate,base_method,reference_gap,task_count,mean_precision_at_keep,mean_energy_recall_total,mean_relative_energy_recall_vs_oracle,mean_base_psnr,mean_sideinfo_psnr,mean_teacher_oracle_sideinfo_psnr,mean_delta_psnr_vs_base,mean_gap_to_teacher_oracle_psnr
endpoint_diff_baseline,linear,4,6,0.3122626145680745,0.2655188664793968,0.42121463517347973,21.358728049341565,22.458850438236322,23.885431661756513,1.1001223888947578,-1.4265812235201907
endpoint_diff_baseline,linear,8,3,0.24724181989828745,0.23293344179789224,0.34736502170562744,17.858770414441516,19.175455055729827,21.570274743383234,1.316684641288311,-2.3948196876534076
endpoint_diff_baseline,linear,16,3,0.2551998645067215,0.29756257434686023,0.38490988314151764,19.742331809311857,21.141569946002704,23.557251435789382,1.3992381366908475,-2.4156814897866785
endpoint_diff_baseline,stage65_adapter,4,6,0.27450714260339737,0.12835493932167688,0.6087801853815714,21.41300997479692,22.477210308778595,23.578794305433277,1.0642003339816728,-1.1015839966546832
endpoint_diff_baseline,stage65_adapter,8,3,0.2631578892469406,0.13744011024634042,0.5076933900515238,18.568999806229467,19.71179701504451,21.846056896259956,1.1427972088150398,-2.134259881215447
endpoint_diff_baseline,stage65_adapter,16,3,0.18972689906756082,0.11895131816466649,0.5244861443837484,19.334680196002967,20.34492281493807,22.273016824369922,1.0102426189350968,-1.9280940094318566
mlp_importance,linear,4,6,0.310047022998333,0.2947804356614749,0.46986613670984906,21.358728049341565,22.234808578712798,23.885431661756513,0.8760805293712325,-1.650623083043716
mlp_importance,linear,8,3,0.292729248603185,0.2800879975159963,0.4127636154492696,17.858770414441516,19.37854214011173,21.570274743383234,1.519771725670217,-2.1917326032715017
mlp_importance,linear,16,3,0.26433352132638294,0.3037059058745702,0.4129539728164673,19.742331809311857,21.05049723125056,23.557251435789382,1.308165421938705,-2.506754204538821
mlp_importance,stage65_adapter,4,6,0.3889039605855942,0.14692467202742895,0.6976491312185923,21.41300997479692,22.23873956177556,23.578794305433277,0.825729586978642,-1.3400547436577142
mlp_importance,stage65_adapter,8,3,0.37384698788324994,0.1679172863562902,0.6167584160963694,18.568999806229467,19.824055179121583,21.846056896259956,1.2550553728921099,-2.0220017171383766
mlp_importance,stage65_adapter,16,3,0.28431904315948486,0.14672287801901499,0.6156713565190634,19.334680196002967,20.408320198765917,22.273016824369922,1.0736400027629471,-1.8646966256040063
teacher_oracle_topk,linear,4,6,1.0,0.6100062330563863,1.0,21.358728049341565,23.885431661756513,23.885431661756513,2.5267036124149485,0.0
teacher_oracle_topk,linear,8,3,1.0,0.6551332771778107,1.0,17.858770414441516,21.570274743383234,21.570274743383234,3.7115043289417184,0.0
teacher_oracle_topk,linear,16,3,1.0,0.6923819482326508,1.0,19.742331809311857,23.557251435789382,23.557251435789382,3.814919626477526,0.0
teacher_oracle_topk,stage65_adapter,4,6,1.0,0.21536186089118323,1.0,21.41300997479692,23.578794305433277,23.578794305433277,2.165784330636356,0.0
teacher_oracle_topk,stage65_adapter,8,3,1.0,0.27263158559799194,1.0,18.568999806229467,21.846056896259956,21.846056896259956,3.2770570900304867,0.0
teacher_oracle_topk,stage65_adapter,16,3,1.0,0.2499206562836965,1.0,19.334680196002967,22.273016824369922,22.273016824369922,2.938336628366953,0.0
