stage97_task_id,source_task_id,sequence,codec,reference_gap,target_index,base_method,candidate,keep_fraction,keep_gaussians,precision_at_keep,energy_recall_total,oracle_energy_recall_total,relative_energy_recall_vs_oracle,base_psnr,sideinfo_psnr,teacher_oracle_sideinfo_psnr,delta_psnr_vs_base,gap_to_teacher_oracle_psnr
stage97_00011828,stage79_00023867,cows,q12,4,70,linear,teacher_oracle_topk,0.1,3686,1.0,0.5325462818145752,0.5325462818145752,1.0,19.03712952287814,20.95233576638824,20.95233576638824,1.9152062435101023,0.0
stage97_00011828,stage79_00023867,cows,q12,4,70,linear,mlp_importance,0.1,3686,0.24389582872390747,0.21002279222011566,0.5325462818145752,0.3943747282028198,19.03712952287814,19.661352123552412,20.95233576638824,0.6242226006742726,-1.2909836428358297
stage97_00011828,stage79_00023867,cows,q12,4,70,linear,endpoint_diff_baseline,0.1,3686,0.2655995786190033,0.19786673784255981,0.5325462818145752,0.37154844403266907,19.03712952287814,19.79546846221249,20.95233576638824,0.7583389393343509,-1.1568673041757513
stage97_00011828,stage79_00023867,cows,q12,4,70,stage65_adapter,teacher_oracle_topk,0.1,3686,1.0,0.2316221296787262,0.2316221296787262,1.0,19.96393257405462,21.396249358991,21.396249358991,1.4323167849363792,0.0
stage97_00011828,stage79_00023867,cows,q12,4,70,stage65_adapter,mlp_importance,0.1,3686,0.36082473397254944,0.15060533583164215,0.2316221296787262,0.6502199769020081,19.96393257405462,20.489387705136025,21.396249358991,0.5254551310814044,-0.9068616538549747
stage97_00011828,stage79_00023867,cows,q12,4,70,stage65_adapter,endpoint_diff_baseline,0.1,3686,0.26424309611320496,0.1264503449201584,0.2316221296787262,0.5459337830543518,19.96393257405462,20.655931604321054,21.396249358991,0.6919990302664338,-0.7403177546699453
stage97_00013647,stage79_00027310,judo,q12,16,15,linear,teacher_oracle_topk,0.1,3686,1.0,0.961725652217865,0.961725652217865,1.0,27.30718744720951,31.6466364469021,31.6466364469021,4.339448999692589,0.0
stage97_00013647,stage79_00027310,judo,q12,16,15,linear,mlp_importance,0.1,3686,0.3792729377746582,0.5330095291137695,0.961725652217865,0.5542219877243042,27.30718744720951,29.243244165477943,31.6466364469021,1.936056718268432,-2.403392281424157
stage97_00013647,stage79_00027310,judo,q12,16,15,linear,endpoint_diff_baseline,0.1,3686,0.5181769132614136,0.6011047959327698,0.961725652217865,0.6250272989273071,27.30718744720951,29.793099437407108,31.6466364469021,2.4859119901975966,-1.8535370094949926
stage97_00013647,stage79_00027310,judo,q12,16,15,stage65_adapter,teacher_oracle_topk,0.1,3686,1.0,0.15973824262619019,0.15973824262619019,1.0,25.183048493916942,27.182535773750047,27.182535773750047,1.9994872798331045,0.0
stage97_00013647,stage79_00027310,judo,q12,16,15,stage65_adapter,mlp_importance,0.1,3686,0.2740097641944885,0.12134820222854614,0.15973824262619019,0.7596690654754639,25.183048493916942,26.43063563910305,27.182535773750047,1.247587145186106,-0.7519001346469985
stage97_00013647,stage79_00027310,judo,q12,16,15,stage65_adapter,endpoint_diff_baseline,0.1,3686,0.3030385375022888,0.12428373843431473,0.15973824262619019,0.7780462503433228,25.183048493916942,26.562756912406304,27.182535773750047,1.3797084184893613,-0.6197788613437432
stage97_00013323,stage79_00026699,horsejump-high,q12,8,39,linear,teacher_oracle_topk,0.1,3686,1.0,0.7609845399856567,0.7609845399856567,1.0,19.303614300597623,23.239672119075653,23.239672119075653,3.93605781847803,0.0
stage97_00013323,stage79_00026699,horsejump-high,q12,8,39,linear,mlp_importance,0.1,3686,0.3345089554786682,0.32048311829566956,0.7609845399856567,0.4211427569389343,19.303614300597623,20.60428907352419,23.239672119075653,1.3006747729265662,-2.635383045551464
stage97_00013323,stage79_00026699,horsejump-high,q12,8,39,linear,endpoint_diff_baseline,0.1,3686,0.24199675023555756,0.24203234910964966,0.7609845399856567,0.31805160641670227,19.303614300597623,20.532052033217717,23.239672119075653,1.228437732620094,-2.7076200858579362
stage97_00013323,stage79_00026699,horsejump-high,q12,8,39,stage65_adapter,teacher_oracle_topk,0.1,3686,1.0,0.297005832195282,0.297005832195282,1.0,20.580935132048698,23.648259109441838,23.648259109441838,3.0673239773931407,0.0
stage97_00013323,stage79_00026699,horsejump-high,q12,8,39,stage65_adapter,mlp_importance,0.1,3686,0.43000543117523193,0.18864551186561584,0.297005832195282,0.635157585144043,20.580935132048698,21.628957383850587,23.648259109441838,1.0480222518018891,-2.0193017255912515
stage97_00013323,stage79_00026699,horsejump-high,q12,8,39,stage65_adapter,endpoint_diff_baseline,0.1,3686,0.227618008852005,0.13455955684185028,0.297005832195282,0.4530535936355591,20.580935132048698,21.50121251181404,23.648259109441838,0.9202773797653414,-2.1470465976277993
stage97_00012282,stage79_00024697,dog,q12,4,23,linear,teacher_oracle_topk,0.1,3686,1.0,0.5060114860534668,0.5060114860534668,1.0,20.24060665929353,23.135617459930465,23.135617459930465,2.8950108006369355,0.0
stage97_00012282,stage79_00024697,dog,q12,4,23,linear,mlp_importance,0.1,3686,0.20618556439876556,0.19001685082912445,0.5060114860534668,0.3755188584327698,20.24060665929353,20.943229482210313,23.135617459930465,0.7026228229167835,-2.192387977720152
stage97_00012282,stage79_00024697,dog,q12,4,23,linear,endpoint_diff_baseline,0.1,3686,0.1918068379163742,0.15955351293087006,0.5060114860534668,0.31531599164009094,20.24060665929353,21.06379668955188,23.135617459930465,0.823190030258349,-2.0718207703785865
stage97_00012282,stage79_00024697,dog,q12,4,23,stage65_adapter,teacher_oracle_topk,0.1,3686,1.0,0.19262994825839996,0.19262994825839996,1.0,20.70005707111893,23.30700036243657,23.30700036243657,2.606943291317638,0.0
stage97_00012282,stage79_00024697,dog,q12,4,23,stage65_adapter,mlp_importance,0.1,3686,0.34020617604255676,0.13245630264282227,0.19262994825839996,0.6876205205917358,20.70005707111893,21.39828176539219,23.30700036243657,0.6982246942732608,-1.908718597044377
