edge_id,sequence,reference_gap,left_index,right_index,represented_frame_count,intermediate_count_expected,intermediate_count_measured,keyframe_codec,keyframe_bits,setting_label,keep_fraction,side_bits,left_keyframe_bytes,right_keyframe_bytes,endpoint_keyframe_bytes,residual_payload_bytes,schedule_metadata_bytes,edge_total_bytes_once,dp_incremental_bytes,residual_mib_per_intermediate,edge_total_mib_once,dp_incremental_mib,mean_base_psnr,mean_corrected_psnr,mean_delta_psnr_vs_base,min_delta_psnr_vs_base,mean_anchor_mse_reduction,status,error
bike-packing:00012:00016:gap4,bike-packing,4,12,16,5,3,3,q12,12,topk_keep0p1_q6,0.1,6,719649,719646,1439295,90873.0,2,1530170.0,810521.0,0.02888774871826172,1.4592838287353516,0.7729730606079102,21.056759402756686,25.256215449036343,4.199456046279654,3.9453094191607576,0.8465155701431998,ok,
bike-packing:00012:00016:gap4,bike-packing,4,12,16,5,3,3,q12,12,topk_keep0p2_q6,0.2,6,719649,719646,1439295,168716.0,2,1608013.0,888364.0,0.05363337198893229,1.5335206985473633,0.8472099304199219,21.056759402756686,26.352011830039146,5.295252427282461,4.923288908504762,0.9556904368363096,ok,
bike-packing:00016:00020:gap4,bike-packing,4,16,20,5,3,3,q12,12,topk_keep0p05_q6,0.05,6,719646,719651,1439297,48072.0,2,1487371.0,767725.0,0.01528167724609375,1.4184675216674805,0.7321596145629883,19.490947703371756,23.099057155019977,3.6081094516482204,3.3816095808564697,0.6673183846499366,ok,
bike-packing:00016:00020:gap4,bike-packing,4,16,20,5,3,3,q12,12,topk_keep0p1_q6,0.1,6,719646,719651,1439297,91010.0,2,1530309.0,810663.0,0.028931299845377605,1.459416389465332,0.7731084823608398,19.490947703371756,24.780074349695482,5.289126646323727,5.1786073279848885,0.8507452359959693,ok,
bike-packing:00016:00020:gap4,bike-packing,4,16,20,5,3,3,q12,12,topk_keep0p2_q6,0.2,6,719646,719651,1439297,169268.0,2,1608567.0,888921.0,0.05380884806315104,1.5340490341186523,0.8477411270141602,19.490947703371756,26.505365152048075,7.014417448676322,6.819965400929753,0.963648347206925,ok,
bike-packing:00020:00024:gap4,bike-packing,4,20,24,5,3,3,q12,12,topk_keep0p05_q6,0.05,6,719651,719651,1439302,48118.0,2,1487422.0,767771.0,0.015296300252278646,1.4185161590576172,0.732203483581543,19.62474836180463,22.444377584233347,2.8196292224287163,2.3644360066832455,0.6697627109782872,ok,
bike-packing:00020:00024:gap4,bike-packing,4,20,24,5,3,3,q12,12,topk_keep0p1_q6,0.1,6,719651,719651,1439302,91076.0,2,1530380.0,810729.0,0.028952280680338543,1.4594841003417969,0.7731714248657227,19.62474836180463,23.789601191495347,4.164852829690713,3.4687389203460377,0.8492781117157753,ok,
bike-packing:00020:00024:gap4,bike-packing,4,20,24,5,3,3,q12,12,topk_keep0p2_q6,0.2,6,719651,719651,1439302,169710.0,2,1609014.0,889363.0,0.05394935607910156,1.534475326538086,0.8481626510620117,19.62474836180463,24.983829583487378,5.359081221682749,4.393760869505279,0.9624398116848694,ok,
bike-packing:00000:00008:gap8,bike-packing,8,0,8,9,7,7,q12,12,topk_keep0p05_q6,0.05,6,719648,719646,1439294,111222.0,2,1550518.0,830870.0,0.015152794974190848,1.478689193725586,0.7923793792724609,21.849534539204715,24.518605832395714,2.669071293190996,1.5187310205733517,0.7374196530506019,ok,
bike-packing:00000:00008:gap8,bike-packing,8,0,8,9,7,7,q12,12,topk_keep0p1_q6,0.1,6,719648,719646,1439294,208487.0,2,1647783.0,928135.0,0.02840409960065569,1.5714483261108398,0.8851385116577148,21.849534539204715,25.47990131440506,3.630366775200337,1.8905866036957413,0.8882835361181504,ok,
bike-packing:00000:00008:gap8,bike-packing,8,0,8,9,7,7,q12,12,topk_keep0p2_q6,0.2,6,719648,719646,1439294,381573.0,2,1820869.0,1101221.0,0.05198519570486886,1.736515998840332,1.050206184387207,21.849534539204715,26.179005483197418,4.3294709439927015,2.1074730982930028,0.9693195316918154,ok,
