reference_gap,setting_label,keep_fraction,side_bits,edge_count,target_count,mean_left_keyframe_bytes,mean_right_keyframe_bytes,mean_endpoint_keyframe_bytes,mean_residual_payload_bytes,mean_schedule_metadata_bytes,mean_edge_total_bytes_once,mean_dp_incremental_bytes,mean_residual_mib_per_intermediate,mean_edge_total_mib_once,mean_dp_incremental_mib,mean_base_psnr,mean_corrected_psnr,mean_delta_psnr_vs_base,min_edge_delta_psnr_vs_base
4,topk_keep0p05_q6,0.05,6,6,18,719648.5,719649.0,1439297.5,47859.166666666664,2.0,1487158.6666666667,767510.1666666666,0.015214019351535372,1.4182650248209636,0.7319547335306803,21.0448718616306,23.819193631548842,2.7743217699182448,1.6332037021592807
4,topk_keep0p1_q6,0.1,6,6,18,719648.5,719649.0,1439297.5,90104.5,2.0,1529404.0,809755.5,0.028643449147542317,1.4585533142089844,0.7722430229187012,21.0448718616306,25.001459418584705,3.9565875569541036,2.036254298974098
4,topk_keep0p2_q6,0.2,6,6,18,719648.5,719649.0,1439297.5,166117.66666666666,2.0,1605417.1666666667,885768.6666666666,0.052807384067111544,1.5310451189676921,0.8447348276774088,21.0448718616306,26.031263851493254,4.986391989862658,2.260193718945017
8,topk_keep0p05_q6,0.05,6,3,21,719646.6666666666,719647.6666666666,1439294.3333333333,112181.33333333333,2.0,1551477.6666666667,831831.0,0.015283493768601192,1.4796044031778972,0.7932958602905273,20.14428571002667,23.198553800202717,3.054268090176048,2.669071293190996
8,topk_keep0p1_q6,0.1,6,3,21,719646.6666666666,719647.6666666666,1439294.3333333333,212535.66666666666,2.0,1651832.0,932185.3333333334,0.028955686660039993,1.5753097534179688,0.889001210530599,20.14428571002667,24.56129390771515,4.417008197688476,3.630366775200337
8,topk_keep0p2_q6,0.2,6,3,21,719646.6666666666,719647.6666666666,1439294.3333333333,394089.3333333333,2.0,1833385.6666666667,1113739.0,0.05369041079566592,1.7484528223673503,1.0621442794799805,20.14428571002667,25.821074970091768,5.676789260065095,4.3294709439927015
12,topk_keep0p05_q6,0.05,6,2,22,719648.5,719650.0,1439298.5,176576.0,2.0,1615876.5,896228.0,0.015308726917613636,1.5410199165344238,0.8547096252441406,19.634028007214567,22.430422865832618,2.7963948586180525,2.6860866809503756
12,topk_keep0p1_q6,0.1,6,2,22,719648.5,719650.0,1439298.5,335070.5,2.0,1774371.0,1054722.5,0.029049830003218216,1.6921720504760742,1.005861759185791,19.634028007214567,23.85967378349992,4.225645776285356,4.0555056377232654
12,topk_keep0p2_q6,0.2,6,2,22,719648.5,719650.0,1439298.5,624597.5,2.0,2063898.0,1344249.5,0.054151144894686615,1.9682865142822266,1.2819762229919434,19.634028007214567,25.40221496330657,5.768186956092006,5.357307452458835
