sample,method,reference_gap,total_frames,keyframe_count,keyframe_ratio,estimated_q8_static_mib_per_frame,max_segment_length,mean_segment_length,segment_lengths,indices,selector_anchor_mse_cost,linear_all_psnr,adapter_all_psnr,delta_all_psnr,linear_middle_psnr,adapter_middle_psnr,delta_middle_psnr,linear_given_psnr,adapter_given_psnr,delta_given_psnr,linear_all_ssim,adapter_all_ssim,linear_middle_ssim,adapter_middle_ssim,checkpoint
meetroom,uniform,16,81,6,0.07407407407407407,0.033854166666666664,16,16.0,16 16 16 16 16,0 16 32 48 64 80,,25.931059230358613,25.9925422175848,0.06148298722618506,25.488498235474264,25.55489986167854,0.06640162620427503,31.46307166641299,31.46307166641299,0.0,0.8686625847110042,0.8821232554353313,0.8649900452295939,0.8795275696118673,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
meetroom,dense_anchor_attr_oracle,16,81,6,0.07407407407407407,0.033854166666666664,20,16.0,13 20 20 13 14,0 13 33 53 66 80,0.09335980331525207,26.081370534190345,26.13821182123584,0.056841287045493516,25.646051417830325,25.707440007839455,0.06138859000913044,31.522859488690543,31.522859488690543,0.0,0.8703748377752892,0.883708984763534,0.8667668120066325,0.8811676907539367,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
driving,uniform,4,81,21,0.25925925925925924,0.11848958333333333,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,,27.918159891285423,27.987355651411722,0.06919576012629847,26.337111877661762,26.430526153832265,0.09341427617050257,32.43543993021016,32.43543993021016,0.0,0.7710227694040463,0.7754659476103606,0.7283048699299495,0.7343031605084737,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
driving,dense_anchor_attr_oracle,4,81,21,0.25925925925925924,0.11848958333333333,6,4.0,1 3 3 3 4 2 3 4 2 3 4 5 4 6 6 6 5 5 5 6,0 1 4 7 10 14 16 19 23 25 28 32 37 41 47 53 59 64 69 74 80,0.112481891119387,28.018605305051967,28.090072234742102,0.07146692969013557,26.452330016910125,26.5488103719918,0.09648035508167396,32.49367755688583,32.49367755688583,0.0,0.7759759698385074,0.7805008343708368,0.7347989201545715,0.7409074872732162,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
driving,uniform,8,81,11,0.13580246913580246,0.062065972222222224,8,8.0,8 8 8 8 8 8 8 8 8 8,0 8 16 24 32 40 48 56 64 72 80,,25.722301850385016,25.776341229195026,0.05403937881001042,24.67251167422008,24.735042955414524,0.0625312811944454,32.40278478961645,32.40278478961645,0.0,0.70124500769156,0.7062944946465669,0.6711267301014492,0.6769697078636714,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
driving,dense_anchor_attr_oracle,8,81,11,0.13580246913580246,0.062065972222222224,9,8.0,8 9 8 9 7 6 8 7 9 9,0 8 17 25 34 41 47 55 62 71 80,0.18170267809182405,25.794055913056148,25.85054887527021,0.05649296221406175,24.748296800887477,24.813667228592323,0.06537042770484547,32.44888662685678,32.44888662685678,0.0,0.7045658444180901,0.7093058574346849,0.6747635347502572,0.6802484069551741,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
driving,uniform,16,81,6,0.07407407407407407,0.033854166666666664,16,16.0,16 16 16 16 16,0 16 32 48 64 80,,23.76875803859573,23.804673762790383,0.03591572419465194,23.079622516033428,23.118411498163656,0.03878898213022808,32.38295207062447,32.38295207062447,0.0,0.6309859112456992,0.6359695516250752,0.610102678934733,0.615485010544459,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
driving,dense_anchor_attr_oracle,16,81,6,0.07407407407407407,0.033854166666666664,19,16.0,19 15 15 13 18,0 19 34 49 62 80,0.25694060197565705,23.81355208076196,23.85164064884826,0.03808856808630168,23.125007489656777,23.166143143189984,0.041135653533206806,32.42035946957673,32.42035946957673,0.0,0.6342505407922062,0.639092731990932,0.6134741695721945,0.6187037360668183,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
robot,uniform,4,77,20,0.2597402597402597,0.11870941558441558,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76,,25.1543985695563,25.19141168744805,0.03701311789174966,22.82414386674953,22.874144043550658,0.05000017680112734,31.795624472555602,31.795624472555602,0.0,0.7914315578225372,0.8025368839115291,0.757226942924031,0.7722288746582834,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/robot/stage25_best_anchor_adapter.safetensors
robot,dense_anchor_attr_oracle,4,77,20,0.2597402597402597,0.11870941558441558,7,4.0,5 5 2 3 5 4 1 7 5 1 5 1 3 5 4 5 6 6 3,0 5 10 12 15 20 24 25 32 37 38 43 44 47 52 56 61 67 73 76,0.15723353263456374,25.50505094451009,25.546211697418755,0.04116075290866661,23.293057593912543,23.348660716262845,0.05560312235030196,31.80923199371308,31.80923199371308,0.0,0.7967018167693893,0.8079432868338251,0.7643635367092333,0.7795493822348746,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/robot/stage25_best_anchor_adapter.safetensors
robot,uniform,8,77,11,0.14285714285714285,0.06529017857142858,8,7.6,8 8 8 8 8 8 8 8 8 4,0 8 16 24 32 40 48 56 64 72 76,,22.962144328620898,22.983025497793417,0.02088116917251881,21.488095166754647,21.51245653078925,0.024361364034604094,31.806439299818383,31.806439299818383,0.0,0.7515562130259229,0.7635170430332036,0.7284991479281223,0.7424534496032831,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/robot/stage25_best_anchor_adapter.safetensors
robot,dense_anchor_attr_oracle,8,77,11,0.14285714285714285,0.06529017857142858,14,7.6,4 14 14 7 3 5 9 5 12 3,0 4 18 32 39 42 47 56 61 73 76,0.23635156557429582,23.50024752904222,23.527198509449214,0.026950980406994063,22.109269834983728,22.140712645458564,0.03144281047483588,31.84611369339315,31.84611369339315,0.0,0.7574247160515228,0.769414683441063,0.7353267127817328,0.7493150080695297,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/robot/stage25_best_anchor_adapter.safetensors
robot,uniform,16,77,6,0.07792207792207792,0.03561282467532467,16,15.2,16 16 16 16 12,0 16 32 48 64 76,,21.422427755729462,21.42626162360916,0.003833867879698971,20.55028502701207,20.55444288372667,0.004157856714599006,31.742783378885278,31.742783378885278,0.0,0.7221902554685419,0.7349693775177002,0.7080584563000102,0.7219175041561395,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/robot/stage25_best_anchor_adapter.safetensors
robot,dense_anchor_attr_oracle,16,77,6,0.07792207792207792,0.03561282467532467,29,15.2,18 13 29 13 3,0 18 31 60 73 76,0.3399813966243528,21.727240697218917,21.72846401282362,0.001223315604701014,20.877641065693517,20.878967760081714,0.0013266943881973248,31.780836336936147,31.780836336936147,0.0,0.7302495705616938,0.742072446005685,0.7167712718668119,0.7295932635455065,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/robot/stage25_best_anchor_adapter.safetensors
