target_key,source_task_id,sequence,target_index,source_gap,hard_quality_label,high_payload_label,schedule,left_index,right_index,segment_length,normalized_time,status,selected_half,psnr,ssim,ms_ssim,lpips,original_psnr,original_ssim,original_ms_ssim,original_lpips,payload_bytes,side_mib_per_intermediate,delta_psnr_vs_uniform_gap8,delta_lpips_vs_uniform_gap8,render_note
dance-twirl:00066,stage79_00024353,dance-twirl,66,4,1,0,uniform_gap8,64,72,8,0.25,rendered_middle_recovery,left,26.210709813221435,0.7946869730949402,0.9789363741874695,0.26627326011657715,16.958176509662756,0.2666465938091278,0.6039299964904785,0.4253120422363281,200324,0.19104385375976562,0.0,0.0,actual_adjacent_schedule_segment
dance-twirl:00066,stage79_00024353,dance-twirl,66,4,1,0,stage165_adaptive,64,68,4,0.5,rendered_middle_recovery,right,26.122999794968553,0.7899426817893982,0.9776554703712463,0.2735501527786255,18.264518745404857,0.37402069568634033,0.7257879376411438,0.3943515121936798,197156,0.18802261352539062,-0.08771001825288138,0.00727689266204834,actual_adjacent_schedule_segment
dance-twirl:00066,stage79_00024353,dance-twirl,66,4,1,0,uniform_gap4,64,68,4,0.5,rendered_middle_recovery,right,26.122999794968553,0.7899426817893982,0.9776554703712463,0.2735501527786255,18.264518745404857,0.37402069568634033,0.7257879376411438,0.3943515121936798,197156,0.18802261352539062,-0.08771001825288138,0.00727689266204834,actual_adjacent_schedule_segment
breakdance:00061,stage79_00022430,breakdance,61,8,1,0,uniform_gap8,56,64,8,0.625,rendered_middle_recovery,right,25.42756354330215,0.8515632152557373,0.9833353161811829,0.17937248945236206,18.670944510801316,0.6417622566223145,0.8045324683189392,0.2932969629764557,155857,0.1486368179321289,0.0,0.0,actual_adjacent_schedule_segment
breakdance:00061,stage79_00022430,breakdance,61,8,1,0,stage165_adaptive,56,64,8,0.625,rendered_middle_recovery,right,25.42756354330215,0.8515632152557373,0.9833353161811829,0.17937248945236206,18.670944510801316,0.6417622566223145,0.8045324683189392,0.2932969629764557,155857,0.1486368179321289,0.0,0.0,actual_adjacent_schedule_segment
breakdance:00061,stage79_00022430,breakdance,61,8,1,0,uniform_gap4,60,64,4,0.25,rendered_middle_recovery,left,25.777127938056964,0.8653737902641296,0.9862820506095886,0.16307392716407776,20.292353729017847,0.7538102269172668,0.8886528611183167,0.22747567296028137,120633,0.11504459381103516,0.3495643947548146,-0.016298562288284302,actual_adjacent_schedule_segment
breakdance:00006,stage79_00022382,breakdance,6,8,1,0,uniform_gap8,0,8,8,0.75,rendered_middle_recovery,right,25.242663608239635,0.8441993594169617,0.9827916026115417,0.1973235011100769,19.16457032226849,0.7028393745422363,0.8273356556892395,0.2658421993255615,142447,0.1358480453491211,0.0,0.0,actual_adjacent_schedule_segment
breakdance:00006,stage79_00022382,breakdance,6,8,1,0,stage165_adaptive,0,8,8,0.75,rendered_middle_recovery,right,25.242663608239635,0.8441993594169617,0.9827916026115417,0.1973235011100769,19.16457032226849,0.7028393745422363,0.8273356556892395,0.2658421993255615,142447,0.1358480453491211,0.0,0.0,actual_adjacent_schedule_segment
breakdance:00006,stage79_00022382,breakdance,6,8,1,0,uniform_gap4,4,8,4,0.5,rendered_middle_recovery,left,25.43353421114179,0.8589251041412354,0.9844872355461121,0.17762990295886993,19.766036135135227,0.7149108052253723,0.8492116332054138,0.26119306683540344,146547,0.13975811004638672,0.19087060290215518,-0.01969359815120697,actual_adjacent_schedule_segment
breakdance:00055,stage79_00022356,breakdance,55,4,1,0,uniform_gap8,48,56,8,0.875,rendered_middle_recovery,right,25.646853679285627,0.8635783195495605,0.9855007529258728,0.16487006843090057,20.552517493187015,0.7665308117866516,0.9036314487457275,0.20790888369083405,124240,0.1184844970703125,0.0,0.0,actual_adjacent_schedule_segment
breakdance:00055,stage79_00022356,breakdance,55,4,1,0,stage165_adaptive,48,56,8,0.875,rendered_middle_recovery,right,25.646853679285627,0.8635783195495605,0.9855007529258728,0.16487006843090057,20.552517493187015,0.7665308117866516,0.9036314487457275,0.20790888369083405,124240,0.1184844970703125,0.0,0.0,actual_adjacent_schedule_segment
breakdance:00055,stage79_00022356,breakdance,55,4,1,0,uniform_gap4,52,56,4,0.75,rendered_middle_recovery,right,25.543566837921947,0.8591480255126953,0.9847486615180969,0.17139467597007751,20.542736720954153,0.7553033232688904,0.8987454175949097,0.21556556224822998,126100,0.12025833129882812,-0.10328684136367983,0.006524607539176941,actual_adjacent_schedule_segment
breakdance:00025,stage79_00022333,breakdance,25,4,1,0,uniform_gap8,24,32,8,0.125,rendered_middle_recovery,left,25.860161576534495,0.8725733160972595,0.986964225769043,0.1530057042837143,19.535913525603398,0.7255184650421143,0.8427265286445618,0.24177256226539612,120437,0.11485767364501953,0.0,0.0,actual_adjacent_schedule_segment
breakdance:00025,stage79_00022333,breakdance,25,4,1,0,stage165_adaptive,24,32,8,0.125,rendered_middle_recovery,left,25.860161576534495,0.8725733160972595,0.986964225769043,0.1530057042837143,19.535913525603398,0.7255184650421143,0.8427265286445618,0.24177256226539612,120437,0.11485767364501953,0.0,0.0,actual_adjacent_schedule_segment
breakdance:00025,stage79_00022333,breakdance,25,4,1,0,uniform_gap4,24,28,4,0.25,rendered_middle_recovery,left,25.713629052613758,0.8658719062805176,0.9860079288482666,0.16875958442687988,20.00348477540129,0.7283596396446228,0.85687255859375,0.24625961482524872,121358,0.11573600769042969,-0.14653252392073668,0.01575388014316559,actual_adjacent_schedule_segment
bike-packing:00011,stage79_00021341,bike-packing,11,8,1,0,uniform_gap8,8,16,8,0.375,rendered_middle_recovery,left,25.622482706829217,0.7986683249473572,0.9771068096160889,0.2319265902042389,18.997018794340658,0.6225812435150146,0.7535206079483032,0.3519083261489868,180774,0.17239952087402344,0.0,0.0,actual_adjacent_schedule_segment
bike-packing:00011,stage79_00021341,bike-packing,11,8,1,0,stage165_adaptive,8,16,8,0.375,rendered_middle_recovery,left,25.622482706829217,0.7986683249473572,0.9771068096160889,0.2319265902042389,18.997018794340658,0.6225812435150146,0.7535206079483032,0.3519083261489868,180774,0.17239952087402344,0.0,0.0,actual_adjacent_schedule_segment
